label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 5468.0},{0: 410.08535316173834},{0: 0.740697606045166},{0: 0.8860800518554529},{0: 83.43904260363891},{0: 103.86120916687692},{0: 69.77796564681952},{0: 0.45556114286668753},{0: 72},{0: 104},{0: 0.6923076923076923},{0: 25.15060201378919},{0: 53.60711919035234},{0: 41.3162945108033},{0: 41.02685740156003},{0: 25.15060201378919},{0: 36.16854975571381},{0: 46.67748672920617},{0: 7.02339979365108},{0: 103.74005976477939},{0: 48.77249451353328},{0: 40.94659839063643},{0: 8670.0},{0: 6171.0},{0: 0.11391994814454708},{0: 0.6718385642391779},{0: 2.4474292504433537},{0: 0.6306805074971165},{0: 0.006719187936822481},{0: 0.1354460514756433},{0: 136},{0: 0.5},{0: 0.09695310010503955},{0: 0.07173999497405141},{0: 0.08547576661890548},{0: 17.451558018907118},{0: 180},{0: 0.38742588672279304},{0: 0.11358796734240338},{0: 0.07835547754525482},{0: 0.10110430899266569},{0: 15.220787623882053},{0: 134},{0: 8},{0: 0.2697225348350497},{0: 6.463065979868107},{0: 0.13738603064483818},{0: 4},{0: 0.2510021595617325},{0: 5.5961610026755295},{0: -0.12312263113065999},{0: 0.43893301385238137},{0: 0.32676124364566167},{0: 0.3316382771329104},{0: 9.848936080932617},{0: 96.63938903808594},{0: 131.63424682617188},{0: 150.0},{0: 150.0},{0: 120.61506652832031},{0: 150.0},{0: 32.287330627441406},{0: -0.43525624940132124},{0: -0.8281373934465056},{0: 5.557327353180029},{0: 1.6898826407929974},{0: 1.8190127970749543},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 779.3224488310207},{0: 1949.5374844048033},{0: 5161.612037047589},{0: 15.580426708637367},{0: 25.83291837114764},{0: 50.64829075893286},{0: 0.5050322713402725},{0: 0.4229008253189889},{0: 0.25630544207632705},{0: 0.13865229429907971},{0: 0.09406343668180822},{0: 0.036773061833416165},{0: 0.37233502294231385},{0: 0.3064740914905888},{0: 0.19048299194723278},{0: 0.9030005199027665},{0: 0.7519119826802797},{0: 0.31070345800451027},{0: 46.93597837300756},{0: 41.75562415220587},{0: 659523.1606616974},{0: 27538801.216264725},{0: 1389967607.138462},{0: 78113813504.16637},{0: 30955364.805315018},{0: 1386203684.8400059},{0: 72515713660.20428},{0: 4159735282012.652},{0: 1804216006.9126015},{0: 83318757720.65245},{0: 4389296415509.6587},{0: 251589832552102.97},{0: 119159624012.38571},{0: 5568792314371.604},{0: 291992333780676.9},{0: 1.6576214761218446e+16},{0: nan},{0: nan},{0: 0.0005519169890342084},{0: 7.498787278948207e-08},{0: nan},{0: 0.00021528596092756363},{0: -1.540091807201863e-06},{0: 2.500284234433758e-07},{0: 0.0008076304761759254},{0: -2.2869992900469727e-06},{0: 3.4563908607414353e-07},{0: -2.48651579814698e-09},{0: 4.246829591723201e-06},{0: 3.0703059633407367e-07},{0: -2.124567914560378e-09},{0: 3.015574315926575e-10},{0: 659523.1606616974},{0: 1.917316447643848e-09},{0: 240067773.9498023},{0: 26489036.542468708},{0: -1.6261765267699957e-09},{0: 93643106.53485054},{0: -544028609.4560196},{0: 71726483039.53572},{0: 351295673.88177645},{0: -807869399.5857869},{0: 99154630916.24153},{0: -579290495134.0125},{0: 1500168228.0094228},{0: 88078885421.44836},{0: -494966490898.10754},{0: 57054544340751.664},{0: 0.0013595474652101339},{0: 2.507815673961949e-07},{0: 1.2673344954353436e-10},{0: 1.2219423944232974e-11},{0: 8.567799206859725e-23},{0: -4.533694444458316e-15},{0: 4.731689925322115e-22},{0: 5468.0},{0: 223896.0},{0: 11223252.0},{0: 628598166.0},{0: 266688.0},{0: 11719064.0},{0: 605958526.0},{0: 34438039328.0},{0: 16302044.0},{0: 736567028.0},{0: 38123063746.0},{0: 2151647170424.0},{0: 1124801658.0},{0: 51312207668.0},{0: 2631829617562.0},{0: 146437639642832.0},{0: nan},{0: nan},{0: 0.0687471405999763},{0: 0.00032338137048902463},{0: nan},{0: 0.02672654359546826},{0: -0.0031064683030724606},{0: 0.003694827804808685},{0: 0.11020443286626462},{0: -0.004022859385822895},{0: 0.005603568832227132},{0: -0.0005241733510224313},{0: 0.0037536931340663594},{0: 0.005224887030882253},{0: -0.0006554748009585298},{0: 0.0006170714482341082},{0: 5468.0},{0: -1.7337242752546445e-11},{0: 2055472.4067300658},{0: 714967.4362710821},{0: 4.051514679304091e-11},{0: 799097.5683979518},{0: -6868125.010251561},{0: 604059502.818353},{0: 3295004.983174835},{0: -8894184.155418044},{0: 916115494.8542472},{0: -6336868694.757154},{0: 8299081.522702848},{0: 854205616.3075283},{0: -7924206254.084317},{0: 551632030771.9207},{0: 0.1789515734662409},{0: 0.004575939612294311},{0: 0.000324466553391851},{0: 1.410503756779371e-05},{0: -9.136728414850907e-10},{0: -8.059992529752657e-07},{0: -2.7518833814287867e-10}
2,{0: 4283.0},{0: 310.7888886054567},{0: 0.8269592119413867},{0: 0.9396665204036858},{0: 73.84636057451107},{0: 98.77440078247035},{0: 55.537083800682296},{0: -1.3625308354767807},{0: 56},{0: 99},{0: 0.5656565656565656},{0: 25.49609921000941},{0: 50.192672792289216},{0: 37.86997766574294},{0: 37.305305166849344},{0: 25.49609921000941},{0: 29.969381229964462},{0: 44.354747511328796},{0: 7.486343430764034},{0: 99.20181449953424},{0: 31.505486808311932},{0: 47.715619892598646},{0: 6076.0},{0: 4558.0},{0: 0.060333479596314174},{0: 0.5622619156454407},{0: 1.7946221694533766},{0: 0.7049045424621462},{0: 0.01918511168357533},{0: 0.09206802135041903},{0: 97},{0: 0.2708131845707603},{0: 0.08041182334228036},{0: 0.06789082782797856},{0: 0.05076252595542284},{0: 11.418478914603812},{0: 142},{0: 0.3090169943749474},{0: 0.08229788462928536},{0: 0.06578229954308781},{0: 0.07096741824634817},{0: 6.5838307703428285},{0: 80},{0: 8},{0: 0.21208765166564283},{0: 6.670131825857371},{0: 0.1240586350751859},{0: 3},{0: 0.24461735818794664},{0: 6.909950262750049},{0: -0.11572387970821313},{0: 0.45690179155750815},{0: 0.25740946003239895},{0: 0.31210897028928375},{0: 17.111467361450195},{0: 88.39551544189453},{0: 119.36370086669922},{0: 150.0},{0: 150.0},{0: 114.62059783935547},{0: 150.0},{0: 33.28499984741211},{0: -0.8839342488316624},{0: -0.5166021819518083},{0: 6.4897911081958},{0: 1.8393208149225528},{0: 1.4522144522144522},{0: 0.4358028830036876},{0: 0.30352556619192156},{0: 0.6586386561393738},{0: 0.3970959186553955},{0: 996.6603817144428},{0: 2393.3282044290036},{0: 5339.201278950925},{0: 19.329318464343743},{0: 31.610269610082796},{0: 53.942929028776604},{0: 0.40755386103730495},{0: 0.3074002131823186},{0: 0.15853964522604885},{0: 0.08536351596978226},{0: 0.04680941500923333},{0: 0.01827361013450586},{0: 0.2920971772780121},{0: 0.21515357650499248},{0: 0.13448581876551624},{0: 0.8555517243983797},{0: 0.6337563862197032},{0: 0.13069575631055277},{0: 32.89961597087664},{0: 44.349080015013776},{0: 490920.0202846527},{0: 21771851.26057625},{0: 1250786607.0899067},{0: 82010421625.5587},{0: 16151080.139780045},{0: 680589952.0989971},{0: 37676789134.65371},{0: 2401869418709.166},{0: 628556453.8221874},{0: 25662661279.779335},{0: 1372311217574.906},{0: 84679572831139.6},{0: 26971335980.04042},{0: 1078146210278.333},{0: 55931041261743.7},{0: 3345719365148579.0},{0: nan},{0: nan},{0: 0.001183494251404515},{0: 7.344844444629111e-06},{0: nan},{0: -0.00014811297948362983},{0: -1.820895396424413e-06},{0: -3.778995642475712e-07},{0: 0.00040328267670514025},{0: 8.024601345055661e-07},{0: 3.707068342619656e-07},{0: 3.5283534036941505e-09},{0: -6.105458771975812e-07},{0: -1.3077745942816155e-07},{0: -1.659205085532966e-09},{0: -2.5174223235822147e-10},{0: 490920.0202846527},{0: -1.862645149230957e-09},{0: 285225033.45963216},{0: 1240250643.648416},{0: 1.1641532182693481e-09},{0: -35695593.349007934},{0: -307476448.8828947},{0: -44710406827.98411},{0: 97192119.70857134},{0: 135503441.33571088},{0: 43859413828.030334},{0: 292489096033.45685},{0: -103096794.34054023},{0: -15472665142.14},{0: -137542740218.01447},{0: -14621739861345.227},{0: 0.0015867769281096553},{0: 6.964799200609506e-07},{0: 4.792181676534778e-11},{0: 7.229047857226144e-11},{0: 4.236352556582479e-21},{0: 5.89130824901308e-14},{0: -3.967389025180912e-22},{0: 4283.0},{0: 204366.0},{0: 12286758.0},{0: 827942718.0},{0: 134938.0},{0: 6077348.0},{0: 352117972.0},{0: 23116076702.0},{0: 5153288.0},{0: 223431144.0},{0: 12483844960.0},{0: 793363830462.0},{0: 219172792.0},{0: 9254548934.0},{0: 500680696486.0},{0: 30830596955576.0},{0: nan},{0: nan},{0: 0.13820842370690553},{0: -0.00022915556223586242},{0: nan},{0: -0.019695844098198394},{0: -0.0004188111155491637},{0: -0.005458608491948138},{0: 0.049171186481923666},{0: 0.0002539089821845449},{0: 0.0052131435609302475},{0: -1.8408909148720846e-05},{0: -1.665311949793826e-05},{0: -0.001989953648529975},{0: 3.1024122918569843e-06},{0: -0.00042912316296954514},{0: 4283.0},{0: 1.4551915228366852e-11},{0: 2535307.625029185},{0: -275106.3337447867},{0: 4.547473508864641e-12},{0: -361302.3170674761},{0: -502792.0309073925},{0: -428870495.56767374},{0: 902000.6210600046},{0: 304823.3632739149},{0: 409584872.36069477},{0: -94655600.45158005},{0: -19992.439222470857},{0: -156346147.31220025},{0: 15952096.670241356},{0: -144402347961.0434},{0: 0.1873796101888292},{0: 0.009479334711619842},{0: 2.5189031578559645e-06},{0: 1.9024183180431352e-07},{0: -8.74460581962372e-14},{0: -1.5980271153311652e-08},{0: -9.847029354664298e-14}
3,{0: 4499.0},{0: 684.3300858899106},{0: 0.7822672678382749},{0: 0.8572789634146342},{0: 75.68556475156605},{0: 99.1450666262482},{0: 61.76172049808719},{0: -0.2903579573269212},{0: 61},{0: 97},{0: 0.6288659793814433},{0: 0.692933963937169},{0: 49.36577583783074},{0: 34.06758015764657},{0: 33.47549576301908},{0: 0.692933963937169},{0: 28.254980419162997},{0: 41.646146745112574},{0: 10.183854894478653},{0: 97.98469268207153},{0: 47.31273616359191},{0: 32.91153589686597},{0: 6984.0},{0: 5248.0},{0: 0.14272103658536586},{0: 0.6229429521784805},{0: 8.283338520115512},{0: 0.6441867124856816},{0: 0.023745775653864726},{0: 0.1598208683395839},{0: 238},{0: 0.585786437626905},{0: 0.1233830686647297},{0: 0.09243606768863158},{0: 0.09793547212347425},{0: 40.22288038470188},{0: 326},{0: 0.38742588672279304},{0: 0.12889390796409916},{0: 0.08642504667423548},{0: 0.11720092217918057},{0: 27.067720672460823},{0: 210},{0: 8},{0: 0.6261076317519578},{0: 8.441810114112235},{0: 0.31947466082991816},{0: 7},{0: 0.5860592566463199},{0: 8.82913653602595},{0: -0.2686173940205189},{0: 0.4763782956817775},{0: 0.3068694542735376},{0: 0.3477853815100093},{0: 7.594415187835693},{0: 63.14602851867676},{0: 82.3025894165039},{0: 107.46967315673828},{0: 150.0},{0: 86.09758758544922},{0: 150.0},{0: 32.0325813293457},{0: -0.5624619488621807},{0: 0.30387927677808524},{0: 7.2980971031980095},{0: 1.9610109790331143},{0: 1.0},{0: 0.2208955223880597},{0: 0.18092909535452323},{0: 0.40466299653053284},{0: 0.2880854606628418},{0: 1145.3419480001085},{0: 2024.6752393758582},{0: 3560.1027510491085},{0: 22.282280471980826},{0: 31.889030715639844},{0: 46.687153581455696},{0: 0.33717674901319467},{0: 0.2492989506191278},{0: 0.12487600663987317},{0: 0.09521239935819281},{0: 0.05186232682240856},{0: 0.014024320802665543},{0: 0.30851118173243586},{0: 0.22709429299995332},{0: 0.11110329631035742},{0: 0.7559580843833273},{0: 0.5610364058321226},{0: 0.2084306552386661},{0: 48.30360651313496},{0: 30.631929798475703},{0: 387353.03505563736},{0: 11865370.977050781},{0: 464128212.94983673},{0: 20765415543.064842},{0: 18710548.58699608},{0: 531684154.49051285},{0: 19574187460.101433},{0: 832779381278.301},{0: 1114078996.9876986},{0: 30586009625.37719},{0: 1077587235171.5015},{0: 43763473541120.84},{0: 74089801009.02805},{0: 2007538880426.125},{0: 68658090435347.484},{0: 2687997645680939.5},{0: nan},{0: nan},{0: 0.0006709371467582845},{0: 4.078916464123553e-06},{0: nan},{0: -0.0002762956575303727},{0: -3.267418984312554e-06},{0: -4.3925463967327516e-07},{0: 0.00140155087604365},{0: 4.9749366196279584e-06},{0: 7.522367330146306e-07},{0: 1.0835811558942468e-08},{0: -4.278994706932493e-07},{0: -6.730273248091084e-07},{0: -9.879485794430263e-09},{0: -9.251993954893726e-10},{0: 387353.03505563736},{0: 4.547473508864641e-11},{0: 100669002.14794613},{0: 380901093.13648784},{0: -6.639311322942376e-10},{0: -41456056.317319766},{0: -305121096.2044027},{0: -25529202429.06553},{0: 210292020.39654666},{0: 464574063.5701417},{0: 43719524160.27678},{0: 391954644395.86743},{0: -39958498.18773004},{0: -39115923347.15988},{0: -357362281570.3395},{0: -20828749314772.04},{0: 0.0020724880228019348},{0: 8.391535829008334e-07},{0: 2.0551198173541738e-10},{0: 9.562763414606322e-11},{0: 4.019138494348606e-21},{0: -1.293729639585335e-14},{0: 1.2789166881335198e-20},{0: 4499.0},{0: 148069.0},{0: 6084407.0},{0: 281839843.0},{0: 212860.0},{0: 6541577.0},{0: 254533879.0},{0: 11263501889.0},{0: 12696354.0},{0: 376581177.0},{0: 14017601247.0},{0: 592372770753.0},{0: 852688924.0},{0: 24864994037.0},{0: 896146516879.0},{0: 36462057745817.0},{0: nan},{0: nan},{0: 0.059840360231539574},{0: 0.0013743267007597024},{0: nan},{0: -0.022922410359393314},{0: -0.002059406315955534},{0: -0.003155697744873178},{0: 0.12970529373610654},{0: 0.0019358990883878967},{0: 0.0058794856428323},{0: 0.00040281264727170494},{0: 0.0026245777338586526},{0: -0.005002640680165978},{0: -0.00039895004516226354},{0: -0.0005709983143836119},{0: 4499.0},{0: 2.5721647034515627e-12},{0: 1211228.7912869528},{0: 1865863.9208411654},{0: -2.3575807972520124e-11},{0: -463972.53100689047},{0: -2795966.8841256956},{0: -287371290.9623312},{0: 2625364.980217826},{0: 2628286.4630480967},{0: 535411029.8174679},{0: 2460419010.165471},{0: 3563275.6740758196},{0: -455561789.08945125},{0: -2436825859.048832},{0: -233936936772.35483},{0: 0.1895456539676461},{0: 0.006982856520335251},{0: 9.714400398111687e-05},{0: 1.1277013506752465e-05},{0: -3.0870076286662885e-10},{0: -9.147725693855705e-07},{0: 2.0980699339850311e-10}
4,{0: 4212.0},{0: 280.50461735799473},{0: 0.8831320910668858},{0: 0.966720220335093},{0: 73.23172101230796},{0: 107.26013073074122},{0: 50.31834527921533},{0: -0.6109602139710824},{0: 49},{0: 105},{0: 0.4666666666666667},{0: 22.467340565195627},{0: 51.821441787348874},{0: 38.46767375194853},{0: 37.708893592885325},{0: 22.467340565195627},{0: 28.39967661495895},{0: 47.47868073133357},{0: 9.73814558624332},{0: 103.58571330062848},{0: 46.43138651471985},{0: 37.329534662868},{0: 7144.0},{0: 4357.0},{0: 0.03327977966490705},{0: 0.4691244075166307},{0: 1.4865578086028024},{0: 0.589585666293393},{0: 0.020953247020171626},{0: 0.044243042760728546},{0: 92},{0: 0.12556198186509598},{0: 0.056021486864091696},{0: 0.05466908685886855},{0: 0.026128617529359695},{0: 6.666556936826912},{0: 119},{0: 0.10628605585865979},{0: 0.029135468019228276},{0: 0.021470850420540834},{0: 0.020304499004831243},{0: 1.9520763572882944},{0: 67},{0: 2},{0: 0.17238861993407562},{0: 6.662537772568669},{0: 0.1147535046565605},{0: 3},{0: 0.15768339511939333},{0: 9.752421960840735},{0: -0.06581682801546355},{0: 0.42423544083100045},{0: 0.23885524819896664},{0: 0.32798034081052135},{0: 22.119478225708008},{0: 119.61547088623047},{0: 150.0},{0: 150.0},{0: 150.0},{0: 132.71530151367188},{0: 150.0},{0: 26.004573822021484},{0: 1.3877145771286354},{0: -1.4957417514958666},{0: 4.096514688593479},{0: 1.3450802544438007},{0: 2.748815165876777},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 651.9066766908686},{0: 2059.9264926271985},{0: 6157.061960812518},{0: 11.7719578702533},{0: 22.714229041174065},{0: 52.2744656447819},{0: 0.6429131825490254},{0: 0.5597463013504953},{0: 0.3528643556307923},{0: 0.20988674705385924},{0: 0.15871071843770823},{0: 0.08255305009744318},{0: 0.4581055592787831},{0: 0.39807950251223173},{0: 0.28570396277362087},{0: 0.9297137529983871},{0: 0.7746920057434121},{0: 0.29951930234246926},{0: 46.14340996632159},{0: 38.31493804091212},{0: 558996.9236717224},{0: 21417932.495542526},{0: 1007755175.7006359},{0: 52754304755.725815},{0: 25794024.218896866},{0: 836208879.4359989},{0: 35005214369.6741},{0: 1685518357929.0654},{0: 1497139762.3646984},{0: 43114669886.68252},{0: 1629950979799.105},{0: 72081542313949.53},{0: 97572344317.8722},{0: 2585701985308.334},{0: 89884366855637.4},{0: 3675664630448071.0},{0: nan},{0: nan},{0: 0.0005988539425537915},{0: -8.449353076431638e-07},{0: nan},{0: -0.00048671514206830203},{0: 6.780246587901583e-07},{0: -5.561425841880453e-07},{0: 0.0009822002177963367},{0: -9.094402678188437e-07},{0: 6.3476395301917e-07},{0: -1.6586368938474873e-09},{0: 7.060494317932046e-07},{0: -8.695229424859122e-07},{0: 1.8083198839319006e-09},{0: -8.878763150737185e-10},{0: 558996.9236717224},{0: 2.4156179279088974e-09},{0: 187128419.16948566},{0: -197399933.99790424},{0: 1.673470251262188e-09},{0: -152087560.33682114},{0: 158405053.83478832},{0: -97143647043.97318},{0: 306915528.1509123},{0: -212470052.10757875},{0: 110876755640.56711},{0: -216612883594.61584},{0: 164952405.20129544},{0: -151883046224.2171},{0: 236161022326.79962},{0: -86694219749932.66},{0: 0.0015810541603501283},{0: 1.0945208848166029e-06},{0: 5.31079011683983e-12},{0: 4.993494748001813e-12},{0: 2.2270119154321596e-23},{0: 4.2818246193733366e-15},{0: 1.2857014624252531e-23},{0: 4212.0},{0: 157232.0},{0: 7313244.0},{0: 381095228.0},{0: 195569.0},{0: 6190604.0},{0: 256495600.0},{0: 12299189198.0},{0: 11331847.0},{0: 319777108.0},{0: 12006590776.0},{0: 530046193546.0},{0: 735937379.0},{0: 19152014030.0},{0: 662942153590.0},{0: 27124303314164.0},{0: nan},{0: nan},{0: 0.08138499314850096},{0: 0.0002596772807290311},{0: nan},{0: -0.06256125742138816},{0: -0.0001777631772571524},{0: -0.009806237455623524},{0: 0.12689895028712983},{0: -0.0001454498596183785},{0: 0.011100025862888937},{0: 4.213505803117753e-05},{0: 0.0006265355564612201},{0: -0.014967888518102376},{0: -3.0471266323815506e-05},{0: -0.0020793905858882554},{0: 4212.0},{0: -2.0179413695586845e-11},{0: 1443846.6058879392},{0: 298988.75927232543},{0: -3.2741809263825417e-11},{0: -1109895.7644824316},{0: -204674.01562126935},{0: -732769683.0284727},{0: 2251307.170702754},{0: -167468.91734826725},{0: 829447835.6214548},{0: 204339753.52275687},{0: 721384.2048115442},{0: -1118473316.055143},{0: -147774592.96549433},{0: -654469667878.9265},{0: 0.20828394343563078},{0: 0.017727164014997725},{0: 1.8296476245565351e-06},{0: 2.1444455207006993e-07},{0: 3.745328557597276e-14},{0: -4.255591935644618e-09},{0: -1.2899770384030968e-13}
