raw_image,segmented_image,status,output
008_G10_raw.tif,008_G10_segmented.tif,Success,008_G10_raw_features_20250402_142824.csv
009_G11_raw.tif,009_G11_segmented.tif,Success,009_G11_raw_features_20250402_142903.csv
