label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4307.0},{0: 330.5168106668145},{0: 0.8968644322732271},{0: 0.9426570365506676},{0: 74.05297238581545},{0: 111.86286684263152},{0: 49.47756564998436},{0: 0.03355819676692465},{0: 50},{0: 111},{0: 0.45045045045045046},{0: 22.262558517950087},{0: 56.40693849000173},{0: 38.198438438430316},{0: 38.552505024402436},{0: 22.262558517950087},{0: 28.441520625066868},{0: 48.27793452941898},{0: 10.714578789198864},{0: 110.22250223978767},{0: 54.276758764801485},{0: 25.24425354074762},{0: 5661.0},{0: 4569.0},{0: 0.05734296344933246},{0: 0.44230553933137895},{0: 2.0183773825884024},{0: 0.7608196431725843},{0: 0.019988615503818082},{0: 0.0725104585770514},{0: 137},{0: 0.22946818238253078},{0: 0.07692795335217725},{0: 0.06789082782797856},{0: 0.04082121862774714},{0: 10.462201655896106},{0: 136},{0: 0.1987625491245426},{0: 0.05783550864879943},{0: 0.04179265524867152},{0: 0.04154855289761106},{0: 5.205195778391949},{0: 90},{0: 5},{0: 0.22201343257467734},{0: 7.558896476393909},{0: 0.12400888177855587},{0: 4},{0: 0.18537825199925664},{0: 5.639247072311049},{0: -0.06468192636184392},{0: 0.4114768012120815},{0: 0.2723008243315245},{0: 0.4145023659268762},{0: 9.681849479675293},{0: 145.4497528076172},{0: 150.0},{0: 150.0},{0: 150.0},{0: 136.995849609375},{0: 150.0},{0: 26.65059471130371},{0: 3.1309372906873927},{0: -2.041165846216484},{0: 3.312591513418067},{0: 1.1786870730063574},{0: 3.6821345707656614},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 581.5308638049806},{0: 2179.9163448377417},{0: 5988.912329283776},{0: 9.711341619694572},{0: 22.440292465027266},{0: 48.39321992421621},{0: 0.7384748873813385},{0: 0.650014041380417},{0: 0.4782012337662242},{0: 0.31993307004178645},{0: 0.2880571948171557},{0: 0.21971003149566568},{0: 0.5656254478223046},{0: 0.5366138005796353},{0: 0.46671107546972324},{0: 0.9235750916270162},{0: 0.6780322350964589},{0: 0.05272813822595529},{0: 55.290569405105636},{0: 24.842844162071515},{0: 590041.1787528992},{0: 14658301.052963257},{0: 445071732.92912483},{0: 15050288984.519753},{0: 32623712.745707512},{0: 827256455.7823801},{0: 25317575668.656708},{0: 857861389121.6414},{0: 2253904093.2872705},{0: 58174444659.45125},{0: 1778616017570.3296},{0: 59806245715492.0},{0: 175005640785.76532},{0: 4584531274276.402},{0: 139865140778170.27},{0: 4664679426948990.0},{0: nan},{0: nan},{0: 0.0002324232982811315},{0: -1.0102745602358624e-07},{0: nan},{0: 4.822838411043263e-05},{0: -4.6722439892551303e-07},{0: 1.9212577007253542e-08},{0: 0.0012928974840190905},{0: 1.2127704398351e-06},{0: 2.2227903659624515e-07},{0: 3.012092291440002e-10},{0: 2.285365755170423e-06},{0: 1.4169470474980864e-07},{0: -1.1355722888646473e-10},{0: 5.1711712815151294e-11},{0: 590041.1787528992},{0: 5.71354857523132e-10},{0: 80917844.18962982},{0: -27017503.849124905},{0: -7.883500074967742e-09},{0: 16790644.052582145},{0: -124948578.2699314},{0: 3946686108.74255},{0: 450120439.4685},{0: 324327972.96905154},{0: 45661005583.36727},{0: 47528750975.71437},{0: 611169285.2343028},{0: 29107210485.470863},{0: -17918552059.560917},{0: 6267844460005.407},{0: 0.0015253207823002221},{0: 1.1339094067522007e-06},{0: 2.7576910711348026e-11},{0: 4.541610453342209e-12},{0: 3.339156484431159e-23},{0: 2.5847641355660324e-15},{0: -3.831847915664013e-23},{0: 4307.0},{0: 108727.0},{0: 3406761.0},{0: 119067793.0},{0: 233770.0},{0: 5992205.0},{0: 188052281.0},{0: 6550886717.0},{0: 16053652.0},{0: 417156853.0},{0: 13001772493.0},{0: 447136657429.0},{0: 1244323534.0},{0: 32726737157.0},{0: 1013399508737.0},{0: 34427655691865.0},{0: nan},{0: nan},{0: 0.03568841826733072},{0: -0.0002942339210052786},{0: nan},{0: 0.00489782373160753},{0: -0.0011851710895252963},{0: 0.00029843013147354876},{0: 0.1814193493333894},{0: 0.001668844599267675},{0: 0.004718689503418207},{0: 3.9768473264318484e-05},{0: 0.006292156963671966},{0: 0.00226452331191693},{0: -8.475856972665883e-05},{0: 0.0001227292148471216},{0: 4307.0},{0: -9.265477274311706e-12},{0: 662029.0452751335},{0: -358203.57726001594},{0: 5.985612006043084e-11},{0: 90855.84977942884},{0: -1442840.1813178286},{0: 23843350.638864946},{0: 3365374.1035523573},{0: 2031669.5753716808},{0: 377004050.5976993},{0: 208521562.07381892},{0: 7660140.358284469},{0: 180926178.89928052},{0: -444422124.05481637},{0: 42232563419.75483},{0: 0.21710776760072012},{0: 0.021333458978603944},{0: 0.00012507474741186073},{0: 2.797085923552663e-05},{0: 1.5829461927802839e-09},{0: 3.6630194698088213e-06},{0: -4.809975225966157e-10}
2,{0: 4171.0},{0: 291.74725804511405},{0: 0.8352168739504442},{0: 0.9381466486729645},{0: 72.87442720934665},{0: 98.72813476210082},{0: 54.292644724925495},{0: 1.4282869272064398},{0: 55},{0: 98},{0: 0.5612244897959183},{0: 21.447123800938257},{0: 50.04750298426207},{0: 36.235483809637245},{0: 36.606740788330036},{0: 21.447123800938257},{0: 29.68720859307368},{0: 43.9645623152071},{0: 7.968386446973488},{0: 97.86725703727473},{0: 29.281707024694317},{0: 47.02637257252457},{0: 5782.0},{0: 4446.0},{0: 0.06185335132703554},{0: 0.5499206974359556},{0: 1.6239158184608953},{0: 0.7213766862677274},{0: 0.021939587778306825},{0: 0.05807031056216092},{0: 91},{0: 0.16265941452915686},{0: 0.06738368730468412},{0: 0.0587846414775233},{0: 0.03361237880487822},{0: 8.4903446003902},{0: 126},{0: 0.12385242107009331},{0: 0.044460552966507916},{0: 0.037562556751545254},{0: 0.023903680724779015},{0: 3.3345414724880937},{0: 75},{0: 9},{0: 0.18597618738508515},{0: 8.06333771651437},{0: 0.11935844821493902},{0: 9},{0: 0.1840240886063479},{0: 7.61085780064007},{0: -0.06891925504959828},{0: 0.4318806656291389},{0: 0.25707182477924934},{0: 0.3119138140654892},{0: 15.774776458740234},{0: 105.5069808959961},{0: 140.5653533935547},{0: 150.0},{0: 150.0},{0: 126.03068542480469},{0: 150.0},{0: 29.270280838012695},{0: -0.02452938863365084},{0: -1.0224448592882012},{0: 5.559617900095897},{0: 1.537225577110501},{0: 2.1610978520286395},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 979.5404502514807},{0: 2986.2576174607016},{0: 6099.620686251465},{0: 17.45613761827255},{0: 33.6054676134839},{0: 58.65608920157959},{0: 0.4828912331132853},{0: 0.3466937346294141},{0: 0.15373051032752189},{0: 0.10969743218410724},{0: 0.05875072893484032},{0: 0.02098035919697288},{0: 0.33113395554901076},{0: 0.2413731735481724},{0: 0.142519489917421},{0: 0.8683470039705571},{0: 0.5665260032709981},{0: 0.017775342762066923},{0: 29.433653536276566},{0: 46.89031431539635},{0: 525674.005449295},{0: 24649019.34295082},{0: 1476188941.9014988},{0: 99488215090.94832},{0: 15472506.54942131},{0: 760703091.8462238},{0: 46590848208.11061},{0: 3173336321343.8823},{0: 561046940.7502804},{0: 28204424515.18584},{0: 1725257987841.7852},{0: 116629331934489.0},{0: 22712916928.80349},{0: 1156982772508.0874},{0: 70265516275052.05},{0: 4691307432465132.0},{0: nan},{0: nan},{0: 0.0011594289926635329},{0: 1.11304751326962e-06},{0: nan},{0: 0.00012735495260930572},{0: -7.943600168556026e-07},{0: 2.4294049209021734e-07},{0: 0.00038227241216686337},{0: -8.730907171563773e-07},{0: 3.139681717559117e-07},{0: -1.3133235715193014e-09},{0: -9.565947785796057e-08},{0: 1.0978310676333966e-07},{0: -7.732296369562754e-10},{0: 1.5357365979143167e-10},{0: 525674.005449295},{0: 9.313225746154785e-10},{0: 320388677.34425026},{0: 223000048.74266434},{0: 4.656612873077393e-10},{0: 35192396.4968299},{0: -159150728.39762306},{0: 35289817463.2296},{0: 105634543.63684349},{0: -174924493.48429275},{0: 45607380536.69319},{0: -138318253000.47217},{0: -19165460.56723064},{0: 15947221333.468723},{0: -81435965112.73727},{0: 11726887014177.582},{0: 0.0015417014048303961},{0: 6.688494864257503e-07},{0: 1.9162502956247256e-11},{0: 8.497139649711187e-13},{0: -3.3377275359389225e-24},{0: -6.796594581639207e-16},{0: 7.847742573327076e-25},{0: 4171.0},{0: 196147.0},{0: 11729311.0},{0: 789965107.0},{0: 122134.0},{0: 5992719.0},{0: 365658921.0},{0: 24862726887.0},{0: 4380474.0},{0: 219551189.0},{0: 13389373111.0},{0: 904306874969.0},{0: 175363456.0},{0: 8907793629.0},{0: 540029050059.0},{0: 36062137969521.0},{0: nan},{0: nan},{0: 0.14400151719557272},{0: 0.0024515444161610288},{0: nan},{0: 0.014324111060327546},{0: -0.0010976366212928578},{0: 0.003471240874634734},{0: 0.04622468552605464},{0: -0.0009261693095260339},{0: 0.004844085503768606},{0: -0.00015536846286715676},{0: 5.0377434650800025e-08},{0: 0.001536487646880986},{0: -0.00012043443727307683},{0: 0.0002742119416794829},{0: 4171.0},{0: 1.4551915228366852e-11},{0: 2505229.0990170226},{0: 2754483.915180117},{0: -9.094947017729282e-13},{0: 249200.01222728385},{0: -1233272.5436801687},{0: 251886748.6654122},{0: 804181.9942459844},{0: -1040616.8654361293},{0: 351505698.3563328},{0: -728120960.877573},{0: 56.60261854482815},{0: 111493523.9918049},{0: -564405649.4592469},{0: 82994081584.2049},{0: 0.19022620272162735},{0: 0.010381029442003666},{0: 3.8197034679580924e-05},{0: 3.5314647786484896e-06},{0: 1.0604889585243362e-11},{0: 1.3785338828825798e-08},{0: -3.9620712265131515e-11}
3,{0: 4170.0},{0: 315.4396462005391},{0: 0.8636062912435486},{0: 0.9436524100475221},{0: 72.86569083969236},{0: 102.87949438340071},{0: 51.8684266424702},{0: 0.1831843313413415},{0: 53},{0: 103},{0: 0.5145631067961165},{0: 24.681438817978357},{0: 52.13918646326646},{0: 34.8500631182188},{0: 36.26749203783935},{0: 46.552173278953525},{0: 28.49047574526433},{0: 44.51315705290079},{0: 8.510603098804786},{0: 102.25947388873072},{0: 51.372182254196645},{0: 28.91031175059952},{0: 5814.0},{0: 4419.0},{0: 0.05634758995247793},{0: 0.5041668114072595},{0: 1.898832406085803},{0: 0.717234262125903},{0: 0.021168030111220117},{0: 0.09857614948188562},{0: 100},{0: 0.34479282453136456},{0: 0.08260157901852998},{0: 0.06789082782797856},{0: 0.06091019356977366},{0: 12.225033694742436},{0: 148},{0: 0.3567891723253309},{0: 0.08174518019468509},{0: 0.054669086858868565},{0: 0.07753503427632401},{0: 6.784849956158863},{0: 83},{0: 9},{0: 0.23689604720377597},{0: 7.24804705882429},{0: 0.13714679743399752},{0: 7},{0: 0.21971925775211368},{0: 5.618598536709594},{0: -0.09040889892415793},{0: 0.46918642530403354},{0: 0.263124819596181},{0: 0.31701785493515783},{0: 20.533302307128906},{0: 85.91268157958984},{0: 112.10345458984375},{0: 142.02735137939453},{0: 150.0},{0: 110.42960357666016},{0: 150.0},{0: 31.873443603515625},{0: -0.9032398549850567},{0: -0.34000992177294576},{0: 7.061802660583286},{0: 1.8738741486419255},{0: 1.02874251497006},{0: 0.3314176245210728},{0: 0.2489208633093525},{0: 0.5072378516197205},{0: 0.33653467893600464},{0: 1237.0422692852537},{0: 2781.5904873332556},{0: 5505.846612822942},{0: 22.95180962562208},{0: 36.21314638058905},{0: 57.71564153384183},{0: 0.3368474399380269},{0: 0.23577461658564508},{0: 0.09629258295691558},{0: 0.06749607095315745},{0: 0.03460299796851183},{0: 0.009458209173403799},{0: 0.2596929943145917},{0: 0.18442329049554032},{0: 0.09411843571578286},{0: 0.8030409718829379},{0: 0.5316970052798771},{0: 0.006738960387602362},{0: 51.39464590372737},{0: 29.36295727089992},{0: 460491.39797592163},{0: 13521389.242383957},{0: 480303366.0916996},{0: 19000355333.54264},{0: 23666792.34068489},{0: 730552452.504364},{0: 26703394708.81809},{0: 1076425840267.9469},{0: 1520352304.4494076},{0: 48195976903.66376},{0: 1771931007660.316},{0: 71377650182929.45},{0: 109530621509.27808},{0: 3527120955619.4565},{0: 129526602447346.19},{0: 5184510646725109.0},{0: nan},{0: nan},{0: 0.00039271151825129866},{0: 4.728770906262939e-08},{0: nan},{0: 0.00016800306163638874},{0: -5.126092109820806e-07},{0: 1.46034894159468e-07},{0: 0.0014336361965440847},{0: -7.503708234893795e-07},{0: 4.098192992215857e-07},{0: -3.294995229975632e-10},{0: 1.0014253287086265e-06},{0: 4.641363684707056e-07},{0: -9.351273384869212e-10},{0: 3.173586507301766e-10},{0: 460491.39797592163},{0: 5.20001576195285e-10},{0: 83275391.52437365},{0: 6804591.827377449},{0: -1.583430275786668e-09},{0: 35625440.265572056},{0: -73763278.3831274},{0: 14260055181.025988},{0: 304005892.42286056},{0: -107976623.82535402},{0: 40018146722.98526},{0: -21833839677.77964},{0: 144102785.74575108},{0: 45322114717.91013},{0: -61964946720.06918},{0: 14270409274132.512},{0: 0.0018263477147953833},{0: 1.196424300755741e-06},{0: 1.173044898854009e-11},{0: 7.332670627412711e-13},{0: -1.1845836948042774e-24},{0: -4.967922699958312e-16},{0: 1.7948952382698827e-24},{0: 4170.0},{0: 120556.0},{0: 4254748.0},{0: 167490364.0},{0: 214222.0},{0: 6561722.0},{0: 239480014.0},{0: 9638113622.0},{0: 13695288.0},{0: 433229050.0},{0: 15963643038.0},{0: 644038800130.0},{0: 981143350.0},{0: 31634347886.0},{0: 1167308909638.0},{0: 46912680356942.0},{0: nan},{0: nan},{0: 0.04424871363885722},{0: -4.4730394713249345e-06},{0: nan},{0: 0.02119151850681007},{0: -0.0003583704847663777},{0: 0.001995445355657125},{0: 0.15470998011038578},{0: -0.0005049488557608383},{0: 0.00512193038485832},{0: 1.1752195353803004e-06},{0: 0.0010507568530154726},{0: 0.006055141316244046},{0: -2.8499364424442357e-05},{0: 0.0004560935663139453},{0: 4170.0},{0: 3.396394276933279e-12},{0: 769436.4565947243},{0: -5022.765100031556},{0: -5.5507598517579027e-11},{0: 368497.19616306963},{0: -402413.3422709952},{0: 144693160.93659237},{0: 2690236.373141487},{0: -567005.8371439234},{0: 371399946.072826},{0: 5502945.281380234},{0: 1179892.3045009088},{0: 439068669.2979305},{0: -133447784.23128453},{0: 137910764509.70264},{0: 0.198958693749243},{0: 0.013998013216991937},{0: 6.800544253557486e-06},{0: 7.389095502791005e-07},{0: 4.666007487921373e-13},{0: -5.609285563704419e-09},{0: 1.5892963840608072e-12}
4,{0: 4020.0},{0: 298.2680733252854},{0: 0.8860142030194722},{0: 0.936190032603633},{0: 71.54315459801415},{0: 105.85496772336316},{0: 49.080513022071656},{0: -0.8230221778269048},{0: 49},{0: 102},{0: 0.4803921568627451},{0: 22.273757782652066},{0: 52.927133681979264},{0: 37.00784284779219},{0: 37.03127882253198},{0: 22.273757782652066},{0: 27.00724793962915},{0: 46.36174440624117},{0: 9.793608319293705},{0: 101.91172650877817},{0: 41.73855721393035},{0: 41.041044776119406},{0: 7310.0},{0: 4294.0},{0: 0.06380996739636702},{0: 0.4636580982230004},{0: 1.7610740621706662},{0: 0.5499316005471956},{0: 0.019902771373878247},{0: 0.06483326632215285},{0: 90},{0: 0.18320875339340026},{0: 0.07262915710947422},{0: 0.06789082782797856},{0: 0.036382954656267154},{0: 8.78812801024638},{0: 121},{0: 0.1642489144740091},{0: 0.04501409359181507},{0: 0.037050270282991085},{0: 0.035569331010651996},{0: 4.051268423263356},{0: 90},{0: 5},{0: 0.22704062432432065},{0: 8.806416229549816},{0: 0.13193722871677016},{0: 7},{0: 0.21570463857696778},{0: 7.9538416987578895},{0: -0.0932159131613496},{0: 0.405675333102245},{0: 0.3017419832991905},{0: 0.3017419832991905},{0: 8.178072929382324},{0: 108.9099349975586},{0: 145.03204345703125},{0: 150.0},{0: 150.0},{0: 127.47378540039062},{0: 150.0},{0: 29.088111877441406},{0: 0.3868955687307576},{0: -1.157740203691817},{0: 4.407759691965817},{0: 1.4890731396753605},{0: 2.3146766169154227},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 695.7287249489411},{0: 2147.1132922898014},{0: 6212.943252063067},{0: 12.743939774952452},{0: 24.688482491665773},{0: 54.13159388938908},{0: 0.6196845565769793},{0: 0.5225439310673378},{0: 0.3263044931016429},{0: 0.21496046329573038},{0: 0.15783831716530816},{0: 0.07838873866516023},{0: 0.46360202905446696},{0: 0.3969098523661122},{0: 0.27751079807996404},{0: 0.9223775196459838},{0: 0.759167511163564},{0: 0.2883095225662504},{0: 42.663037586756666},{0: 41.10936736658754},{0: 512444.62318611145},{0: 21066274.269590378},{0: 1097491480.5475235},{0: 64410125000.17078},{0: 21862444.22012043},{0: 760841209.1972189},{0: 34870631819.75899},{0: 1854780662615.1953},{0: 1129715607.5473928},{0: 35127621293.909935},{0: 1450462135694.047},{0: 70370640644335.34},{0: 64903987349.08537},{0: 1868509999670.0093},{0: 71025104305200.28},{0: 3179648977761540.5},{0: nan},{0: nan},{0: 0.0008814574275772528},{0: 1.3924256180645642e-06},{0: nan},{0: -0.0005251725386707237},{0: -3.2604068027266167e-06},{0: -8.796133129561174e-07},{0: 0.0007501816803658841},{0: 2.410064914972434e-06},{0: 7.616957143170342e-07},{0: 7.47818381237681e-09},{0: -5.432469309775928e-07},{0: -7.772499228006799e-07},{0: -6.865706208041373e-09},{0: -1.1868046360789328e-09},{0: 512444.62318611145},{0: -2.346496330574155e-09},{0: 231470272.5536421},{0: 261751606.93893754},{0: 2.179149305447936e-09},{0: -137910041.77924022},{0: -612899323.8967857},{0: -118367538338.78554},{0: 196997328.0460239},{0: 453049955.5143474},{0: 102499638578.58087},{0: 720377978361.7327},{0: -102120899.89099701},{0: -104592732602.85156},{0: -661377639579.9066},{0: -81840259320690.84},{0: 0.001631639107943137},{0: 1.1204581033013143e-06},{0: 1.1941970234392734e-10},{0: 2.8926715979757968e-11},{0: 1.6583165169139705e-21},{0: 3.038187085332946e-14},{0: -3.7481865626057525e-22},{0: 4020.0},{0: 164985.0},{0: 8564511.0},{0: 500887239.0},{0: 167789.0},{0: 5784318.0},{0: 263143358.0},{0: 13923519672.0},{0: 8630477.0},{0: 264829378.0},{0: 10828972282.0},{0: 521871630400.0},{0: 496675313.0},{0: 14084834238.0},{0: 529433334014.0},{0: 23514165619356.0},{0: nan},{0: nan},{0: 0.1109721434872862},{0: 0.0021358997910298936},{0: nan},{0: -0.06818629872653513},{0: -0.0037860213354045705},{0: -0.014424143314377625},{0: 0.10069096208211682},{0: 0.0025477685448928858},{0: 0.012741220783491415},{0: 0.0011133307785123182},{0: 0.0006023418926824868},{0: -0.01334782835211995},{0: -0.0009387012040419522},{0: -0.0025633866764371528},{0: 4020.0},{0: -1.318767317570746e-11},{0: 1793354.2276119401},{0: 2188497.2537034806},{0: 2.511058028176194e-11},{0: -1101917.8619402982},{0: -3879253.7598407026},{0: -937061700.983026},{0: 1627206.2236318407},{0: 2610508.455025246},{0: 827730961.8851293},{0: 4585803076.1138525},{0: 617174.8241477914},{0: -867139106.112429},{0: -3866504862.8220716},{0: -669450291523.281},{0: 0.21166310556940304},{0: 0.018703188027183144},{0: 0.0001733828283930075},{0: 3.2072563874936856e-05},{0: 2.338476935831235e-09},{0: 4.188312588461878e-06},{0: 5.016689109336653e-10}
