label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4138.0},{0: 274.747258045114},{0: 0.7232555207036238},{0: 0.9560998151571165},{0: 72.58557181778004},{0: 87.44342079182587},{0: 60.386722821716106},{0: -1.0510331752712616},{0: 63},{0: 89},{0: 0.7078651685393258},{0: 28.77170365823821},{0: 44.60507558600853},{0: 36.38195822802569},{0: 36.12807889511664},{0: 28.77170365823821},{0: 31.418781325605384},{0: 40.486399041222555},{0: 4.815214734943911},{0: 88.23831367382311},{0: 34.586031899468345},{0: 41.59328177863702},{0: 5964.0},{0: 4328.0},{0: 0.04390018484288355},{0: 0.6905805179497392},{0: 1.4516649245537934},{0: 0.6938296445338699},{0: 0.02354906268771672},{0: 0.05340125075171281},{0: 92},{0: 0.178692873426711},{0: 0.0622893864911078},{0: 0.0587846414775233},{0: 0.0313230253131204},{0: 7.723883924897367},{0: 124},{0: 0.09805198742241039},{0: 0.03924527665113821},{0: 0.03370623582501704},{0: 0.02403719297878238},{0: 2.5901882589751217},{0: 66},{0: 4},{0: 0.17938314042782735},{0: 5.930670156045206},{0: 0.11458190664985995},{0: 7},{0: 0.182495604710376},{0: 7.226726830052881},{0: -0.06020682005806434},{0: 0.4513238853857423},{0: 0.24022077770531447},{0: 0.33485320528619594},{0: 13.520256042480469},{0: 114.77455139160156},{0: 149.4987335205078},{0: 150.0},{0: 150.0},{0: 130.13987731933594},{0: 150.0},{0: 27.252302169799805},{0: 0.7129121956933231},{0: -1.2937328897237594},{0: 4.958774163958412},{0: 1.4050339331188182},{0: 2.477683956574186},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 838.8485939374057},{0: 2546.135101250141},{0: 5972.296895596795},{0: 15.15843123139295},{0: 29.260298053797285},{0: 54.40250052192252},{0: 0.5418377202431326},{0: 0.4254323107017116},{0: 0.2384625884764901},{0: 0.13937377867800266},{0: 0.08719727753886466},{0: 0.04316909303371132},{0: 0.37328794060907733},{0: 0.29498948104769773},{0: 0.20773740034643712},{0: 0.8959746029942739},{0: 0.6646185889751076},{0: 0.13365779195627603},{0: 35.114947738645476},{0: 42.18415402962234},{0: 538518.7960014343},{0: 22716959.838371277},{0: 1185903542.6771317},{0: 69055581203.63506},{0: 18910059.377868652},{0: 734536632.9149208},{0: 36297575109.01083},{0: 2034847896752.6045},{0: 818115409.358551},{0: 30037033450.660435},{0: 1408904642706.3652},{0: 75557689686078.53},{0: 39521950995.217514},{0: 1394752966067.2178},{0: 62512981662427.52},{0: 3212416132726702.0},{0: nan},{0: nan},{0: 0.000784847767715109},{0: -8.159309463597179e-07},{0: nan},{0: -0.00021781959112158949},{0: -7.503975729610789e-08},{0: -3.2521961668804934e-07},{0: 0.0005313390951653718},{0: -1.7938203329724755e-07},{0: 3.2680173104758294e-07},{0: -1.9134361918366205e-10},{0: -1.307696802395481e-07},{0: -2.2254335628241188e-07},{0: -2.726389382065064e-11},{0: -2.6077876273607e-10},{0: 538518.7960014343},{0: -7.8580342233181e-10},{0: 227607809.77053308},{0: -173642316.34217417},{0: 1.9472281564958394e-09},{0: -63168224.590394825},{0: -15969583.373181919},{0: -50790130889.837395},{0: 154089662.57001048},{0: -38175181.25874685},{0: 51037212527.22977},{0: -21928908513.55487},{0: -27829745.011423692},{0: -34754995130.226906},{0: -3124574709.4521923},{0: -21931871116004.07},{0: 0.0013161868628804808},{0: 2.540481441634356e-07},{0: 8.606626637152727e-14},{0: 1.0330054520523699e-12},{0: 2.9565059898554346e-25},{0: 6.192299497806038e-17},{0: 8.639053004139756e-26},{0: 4138.0},{0: 172113.0},{0: 8881099.0},{0: 513466053.0},{0: 143117.0},{0: 5506774.0},{0: 269771408.0},{0: 15036171940.0},{0: 6148123.0},{0: 224451322.0},{0: 10464168204.0},{0: 558600776044.0},{0: 295926851.0},{0: 10410222412.0},{0: 464630852798.0},{0: 23789066496610.0},{0: nan},{0: nan},{0: 0.10058693379713597},{0: 0.0007219822439867513},{0: nan},{0: -0.02604278236470074},{0: -0.00026785705807892706},{0: -0.005241388699236119},{0: 0.06998019000849319},{0: -0.000384277663905204},{0: 0.0054933553666418646},{0: 2.796281977997921e-05},{0: 0.0003636892200193692},{0: -0.003587126910038054},{0: 2.2373263949693906e-06},{0: -0.0005649704927308705},{0: 4138.0},{0: 2.120259523508139e-11},{0: 1722354.4932334463},{0: 795248.2695079339},{0: -1.1084466677857563e-12},{0: -445931.7083131948},{0: -295038.9205370288},{0: -371379414.3183923},{0: 1198273.8726437893},{0: -423273.77131005004},{0: 389232551.8623681},{0: 127452296.68231682},{0: 400596.03302986623},{0: -254166437.06081742},{0: 10197554.814231582},{0: -165648577750.5981},{0: 0.17056712380562916},{0: 0.003649678818524295},{0: 4.877428996020732e-06},{0: 1.232281866702333e-07},{0: 1.751753980262567e-14},{0: -1.6184518644391797e-10},{0: 9.391480364239024e-14}
2,{0: 4475.0},{0: 291.8477631085023},{0: 0.7481446786758053},{0: 0.9590655807972568},{0: 75.4834217738561},{0: 92.84046324206015},{0: 61.602955790775056},{0: -1.5494033987692348},{0: 62},{0: 92},{0: 0.6739130434782609},{0: 27.606072700784285},{0: 46.15962889090923},{0: 37.157292850423865},{0: 37.328107714698326},{0: 27.606072700784285},{0: 31.79597047651167},{0: 42.63438017535905},{0: 5.566716862921782},{0: 92.22797840135064},{0: 30.696312849162013},{0: 45.62078212290503},{0: 5796.0},{0: 4666.0},{0: 0.04093441920274325},{0: 0.6635356356436903},{0: 1.5146414382293643},{0: 0.7720841959972394},{0: 0.021724736708761617},{0: 0.06237019835472711},{0: 111},{0: 0.19609123158936828},{0: 0.06598605032913016},{0: 0.06708599516473308},{0: 0.038070766152517053},{0: 8.57818654278692},{0: 130},{0: 0.20799159651347807},{0: 0.054612491441820864},{0: 0.037562556751545254},{0: 0.0407870989995513},{0: 3.3859744693928935},{0: 62},{0: 7},{0: 0.1832427054805128},{0: 6.156582658953811},{0: 0.11082309188663164},{0: 5},{0: 0.18780564500293623},{0: 5.918068672634047},{0: -0.07253525215961326},{0: 0.44543771250927483},{0: 0.2124395244275003},{0: 0.38033527760407315},{0: 17.944610595703125},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 142.7075958251953},{0: 150.0},{0: 19.095903396606445},{0: 8.648169778669434},{0: -2.962818435421581},{0: 2.707578786224133},{0: 1.0},{0: 0.80268156424581},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 591.3607420019651},{0: 2232.07357204938},{0: 5386.2769069378355},{0: 8.796596595177785},{0: 20.811722008566115},{0: 42.14810212140219},{0: 0.7670041507509137},{0: 0.676810796036548},{0: 0.5277848562729965},{0: 0.356609876926592},{0: 0.31579506872688656},{0: 0.26186959322164294},{0: 0.5971665004970506},{0: 0.5619392912811035},{0: 0.5112247180064615},{0: 0.9199257560167471},{0: 0.6586559440973931},{0: 0.05901940117456634},{0: 30.409872911861537},{0: 45.450801692741535},{0: 638616.4544048309},{0: 29025629.826875687},{0: 1659604558.9509678},{0: 106746779154.83456},{0: 19420245.217874527},{0: 877619576.4727306},{0: 49942337753.02641},{0: 3203268469752.146},{0: 736234676.7350636},{0: 33004939077.874092},{0: 1844292553994.0378},{0: 116213744491771.3},{0: 31310528446.631104},{0: 1391554179918.3032},{0: 76185116209086.62},{0: 4701889687199267.0},{0: nan},{0: nan},{0: 0.0008345771504592363},{0: 1.1554308952797988e-06},{0: nan},{0: -1.2373110548911323e-05},{0: -2.065710080351248e-07},{0: -9.349956393076375e-09},{0: 0.0003571761253384438},{0: -4.621260643902708e-07},{0: 2.0857707348334572e-07},{0: -2.0975621964051265e-10},{0: 1.910513499196996e-07},{0: -1.4570007502675982e-08},{0: 1.454372485443262e-10},{0: -1.1132473696839775e-11},{0: 638616.4544048309},{0: -8.931237971410155e-10},{0: 340366413.6827172},{0: 376568715.25874245},{0: 1.3915268937125802e-09},{0: -5046137.749296604},{0: -67323956.30346473},{0: -2435173438.874531},{0: 145667487.7423124},{0: -150612398.42723954},{0: 54323392318.806915},{0: -43657133033.87018},{0: 62265914.54462345},{0: -3794723074.9645452},{0: 30270250477.72821},{0: -1851620987360.8274},{0: 0.00119175327579768},{0: 2.2852411424500587e-07},{0: 7.118132312318398e-12},{0: 4.809124483227768e-13},{0: 8.639309635617608e-25},{0: 2.2989065385263717e-16},{0: 2.129075205338337e-25},{0: 4475.0},{0: 204153.0},{0: 11723727.0},{0: 756777801.0},{0: 137366.0},{0: 6237887.0},{0: 356791919.0},{0: 22980404459.0},{0: 5278640.0},{0: 238088057.0},{0: 13382346329.0},{0: 847269250193.0},{0: 227549654.0},{0: 10186750379.0},{0: 561508153991.0},{0: 34845577071263.0},{0: nan},{0: nan},{0: 0.1203511734221813},{0: 0.0015155237953591208},{0: nan},{0: -0.001441021545892928},{0: -0.0003361261675045333},{0: -9.014547163308314e-05},{0: 0.0530325664822951},{0: -0.0007136331745049838},{0: 0.004482602095002309},{0: -5.333621306018327e-05},{0: 0.00023534156165917717},{0: -0.00027486707470971675},{0: 3.540389782940933e-05},{0: -2.9902189922275653e-05},{0: 4475.0},{0: -2.1742607714259066e-12},{0: 2410107.4672625693},{0: 2030230.5510366932},{0: -6.338041202980094e-12},{0: -28857.357094972067},{0: -450282.3488224246},{0: -8078356.861415867},{0: 1062010.289162011},{0: -955999.4224768991},{0: 401706915.8898195},{0: -319740622.21545553},{0: 315268.9716072241},{0: -24632122.709352378},{0: 212239746.15622735},{0: -11991545348.573273},{0: 0.1733837399044764},{0: 0.004540101012709805},{0: 1.491627108483202e-05},{0: 6.53186104589237e-07},{0: 2.0365791479654436e-12},{0: 4.306983942592721e-08},{0: -9.622761500742094e-14}
3,{0: 5063.0},{0: 487.0975464705581},{0: 0.7286756131149962},{0: 0.9050768680729353},{0: 80.28954984924333},{0: 99.35650164060003},{0: 68.04519442747662},{0: -0.20499893099581132},{0: 70},{0: 101},{0: 0.693069306930693},{0: 19.970493529749305},{0: 53.252764753686066},{0: 38.09314435927141},{0: 38.166048513239176},{0: 19.970493529749305},{0: 32.998541848133456},{0: 44.44861962113432},{0: 7.870772872702309},{0: 100.31948963187563},{0: 45.212917242741455},{0: 39.40786095200474},{0: 7623.0},{0: 5594.0},{0: 0.09492313192706471},{0: 0.6848590007085286},{0: 3.7291864078080414},{0: 0.6641742096287551},{0: 0.04219961543716882},{0: 0.12360990183505088},{0: 169},{0: 0.38742588672279304},{0: 0.10853278925340057},{0: 0.08765073077597552},{0: 0.0739661648929044},{0: 28.001459627377347},{0: 258},{0: 0.5},{0: 0.10592012811914114},{0: 0.06789082782797856},{0: 0.10670344199145021},{0: 11.12161345250982},{0: 105},{0: 10},{0: 0.4082150916238946},{0: 10.350829916124194},{0: 0.1989052248081563},{0: 7},{0: 0.2583288049108826},{0: 6.527408040112102},{0: -0.11884212766114628},{0: 0.5296680343997472},{0: 0.21556257213943197},{0: 0.34695309230060956},{0: 14.522773742675781},{0: 87.14350891113281},{0: 131.30006408691406},{0: 150.0},{0: 150.0},{0: 117.62336730957031},{0: 150.0},{0: 35.850040435791016},{0: -0.8247065873468182},{0: -0.6895336255885293},{0: 5.451818196854366},{0: 1.8738741486419255},{0: 2.0757128810226155},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 834.3010213768788},{0: 1988.2653754812359},{0: 5023.64741677276},{0: 15.446062880609128},{0: 25.894945240122464},{0: 49.91836396669501},{0: 0.5393489598535564},{0: 0.4470149688262166},{0: 0.2641433645489779},{0: 0.14127408080407458},{0: 0.09556008201654898},{0: 0.04212293309982104},{0: 0.3758371748458582},{0: 0.3089346786529255},{0: 0.20478682110833402},{0: 0.8931826794585767},{0: 0.7378395520828952},{0: 0.29792957607726034},{0: 40.947508380951625},{0: 41.79939626133217},{0: 595527.1640462875},{0: 24892675.91435814},{0: 1210830086.3353233},{0: 64527966800.15621},{0: 24385353.540869713},{0: 989166738.5686302},{0: 46900883680.69945},{0: 2444367545451.681},{0: 1322728034.456256},{0: 52192171241.04254},{0: 2388807964580.573},{0: 120110779700512.88},{0: 83447691193.44177},{0: 3215570691987.6655},{0: 142294585764172.6},{0: 6901858328361404.0},{0: nan},{0: nan},{0: 0.0004802763614001994},{0: -1.1819624924779351e-06},{0: nan},{0: -8.494599163825254e-05},{0: -5.885109017994725e-07},{0: -9.367740818328737e-08},{0: 0.0009141581455192527},{0: -2.3014140575967645e-06},{0: 3.042467807453465e-07},{0: -1.905904114796117e-09},{0: 9.990278734108012e-06},{0: -2.063383624308211e-07},{0: 3.0543882667372165e-09},{0: -1.701998758848399e-10},{0: 595527.1640462875},{0: -1.8241942867825052e-09},{0: 170331261.78614843},{0: -323487597.90085816},{0: 1.291482476517558e-09},{0: -30126317.05886236},{0: -161067698.14874908},{0: -19785161253.669582},{0: 324208565.9690249},{0: -629866776.6575872},{0: 64258520113.822525},{0: -310639417718.9438},{0: 2734207972.4386487},{0: -43579747269.73974},{0: 497828503176.4684},{0: -21407479795369.34},{0: 0.0013944345069194521},{0: 2.1711668857195702e-07},{0: 1.7094358734094595e-10},{0: 1.0052715056224194e-10},{0: 1.0790307305300927e-20},{0: 4.421542260948529e-14},{0: 7.565085711453924e-21},{0: 5063.0},{0: 199522.0},{0: 9396620.0},{0: 490757542.0},{0: 228913.0},{0: 8690401.0},{0: 393858549.0},{0: 19857226111.0},{0: 13404873.0},{0: 497199737.0},{0: 21689304365.0},{0: 1048992343523.0},{0: 895702531.0},{0: 32704209499.0},{0: 1382609598747.0},{0: 64467365393953.0},{0: nan},{0: nan},{0: 0.05983797386718031},{0: -0.00023979861257742883},{0: nan},{0: -0.012895805331833751},{0: -0.0027061097065725404},{0: -0.0016003980633902772},{0: 0.1191796898565464},{0: -0.0006389904939212881},{0: 0.00485722243753327},{0: 5.7545762233890906e-05},{0: 0.007332217153245885},{0: -0.0031448839709746685},{0: -0.00010754499999373727},{0: -0.00030025289645811486},{0: 5063.0},{0: -5.4569682106375694e-12},{0: 1533884.7671341102},{0: -437387.61806514696},{0: -2.2012613953847904e-11},{0: -330570.6741062611},{0: -4935887.101509219},{0: -207707318.64674222},{0: 3055048.475212325},{0: -1165505.200795356},{0: 630393569.9807208},{0: 531423912.9260592},{0: 13373809.636863982},{0: -408158090.1707031},{0: -993157141.2680998},{0: -197296288363.25095},{0: 0.1790176637237267},{0: 0.004186646437188794},{0: 0.00024153228896612157},{0: 2.217314040186739e-05},{0: 1.4575388527032717e-09},{0: 1.4338415378972107e-06},{0: 7.13173625925373e-10}
