label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4477.0},{0: 400.34523779156063},{0: 0.8203763340403051},{0: 0.9282604188264566},{0: 75.50028769335468},{0: 104.20642932225265},{0: 59.587735743759794},{0: -1.1660913252506495},{0: 61},{0: 111},{0: 0.5495495495495496},{0: 1.54001999893409},{0: 59.30706812015183},{0: 35.81694060188125},{0: 33.26565695557578},{0: 1.54001999893409},{0: 24.047357272132302},{0: 42.57762210563512},{0: 13.341283356216639},{0: 110.9414259868693},{0: 28.180701362519546},{0: 46.30399821308912},{0: 6565.0},{0: 4823.0},{0: 0.07173958117354344},{0: 0.5718239856342069},{0: 2.8488683164058624},{0: 0.681949733434882},{0: 0.03482869141778704},{0: 0.10140765828313879},{0: 136},{0: 0.38742588672279304},{0: 0.09330200292819418},{0: 0.07142857142857142},{0: 0.06184065334567206},{0: 18.380494576854254},{0: 197},{0: 0.3333333333333333},{0: 0.09728815872312464},{0: 0.037296984589673975},{0: 0.10285370854814181},{0: 6.7128829518956},{0: 69},{0: 6},{0: 0.29427049244729314},{0: 10.967102175438107},{0: 0.14788231466504112},{0: 2},{0: 0.2649565826540883},{0: 18.782767264031662},{0: -0.09431893238632325},{0: 0.4920752925318119},{0: 0.1723512445923605},{0: 0.33970680093566713},{0: 11.10093879699707},{0: 89.56511688232422},{0: 118.1116943359375},{0: 149.66583251953125},{0: 150.0},{0: 114.05957794189453},{0: 150.0},{0: 32.367366790771484},{0: -0.7719636851821079},{0: -0.5256252370105392},{0: 6.577149145446701},{0: 1.8133647661698562},{0: 1.2364039955604884},{0: 0.375},{0: 0.2727272727272727},{0: 0.558329164981842},{0: 0.3582870662212372},{0: 1067.4717181906897},{0: 2851.5036171881097},{0: 5476.645060166378},{0: 20.20409743907078},{0: 35.58522659365107},{0: 55.852074337043014},{0: 0.3936064548820189},{0: 0.28956521572166444},{0: 0.15645644227308816},{0: 0.09264542438530664},{0: 0.05450813998674351},{0: 0.01786522234545036},{0: 0.3043247126656454},{0: 0.2329900002412464},{0: 0.13202621076198146},{0: 0.8478910540337923},{0: 0.5863377618211022},{0: 0.1772108846918976},{0: 27.874497158238324},{0: 46.90545963623506},{0: 510644.7350797653},{0: 23952026.009739876},{0: 1447130074.3851442},{0: 98812844747.10953},{0: 14233965.21685028},{0: 579514097.2926712},{0: 31754897453.517155},{0: 1997865235001.2253},{0: 544029337.6524868},{0: 20326138156.544235},{0: 1043258829353.307},{0: 62104096606301.734},{0: 23699081160.660316},{0: 833596893766.5188},{0: 40715408549035.96},{0: 2326991240884059.5},{0: nan},{0: nan},{0: 0.0012411861908324987},{0: 3.0735123203983525e-06},{0: nan},{0: -0.0003380013970146527},{0: -1.690234225949629e-06},{0: -9.796160662933336e-07},{0: 0.0005647561685105343},{0: -1.4934410876357321e-06},{0: 7.469722369724158e-07},{0: 1.5217263594963163e-09},{0: 1.7424271791556803e-06},{0: -3.7028642361908157e-07},{0: 6.606016090082253e-10},{0: -9.771387769059044e-10},{0: 510644.7350797653},{0: 9.313225746154785e-10},{0: 323649285.1792383},{0: 572706490.1131334},{0: 9.313225746154785e-10},{0: -88136583.64987342},{0: -314951758.803179},{0: -130440505998.92691},{0: 147264714.6649305},{0: -278282080.6717138},{0: 99462881337.28552},{0: 144794667674.79834},{0: 324677193.3950281},{0: -49305386184.77811},{0: 62857286952.3291},{0: -66440314936418.18},{0: 0.001805942359343033},{0: 9.145373526339208e-07},{0: 1.0347917046802016e-10},{0: 2.499349204968356e-12},{0: 2.703876160748585e-23},{0: 1.575451520264386e-15},{0: 2.974062949959563e-23},{0: 4477.0},{0: 207303.0},{0: 12320393.0},{0: 831255135.0},{0: 126165.0},{0: 5101795.0},{0: 275284703.0},{0: 17100651427.0},{0: 4865991.0},{0: 181359865.0},{0: 9177249013.0},{0: 539176703077.0},{0: 213245595.0},{0: 7501909183.0},{0: 361627150583.0},{0: 20394457680415.0},{0: nan},{0: nan},{0: 0.13577625269641813},{0: 0.006520677424260157},{0: nan},{0: -0.03692707679143674},{0: -0.0025120065056747827},{0: -0.012213183354516419},{0: 0.06538633055075889},{0: -0.0016696051754290899},{0: 0.009399869984236704},{0: 0.0004366794465469295},{0: 0.0016798147837814483},{0: -0.00467533507950974},{0: -1.4651261036126041e-05},{0: -0.0014021283693043517},{0: 4477.0},{0: 0.0},{0: 2721435.258431985},{0: 8745012.856499463},{0: -2.7284841053187847e-11},{0: -740148.9345543892},{0: -3368902.915823769},{0: -1095948534.589335},{0: 1310572.8125977218},{0: -2239141.3919792306},{0: 843496198.7813692},{0: 2621908802.110626},{0: 2252833.7049847813},{0: -419540629.20114845},{0: -87969036.73026657},{0: -563295334269.3945},{0: 0.201162583247177},{0: 0.010409177141114632},{0: 0.00021786080955663148},{0: 2.4225445025366702e-05},{0: 1.7361362610678183e-09},{0: 2.2040327952417593e-06},{0: 2.884619147271737e-10}
2,{0: 4371.0},{0: 342.9726547895302},{0: 0.8038977185076864},{0: 0.9325794751440154},{0: 74.60113973685252},{0: 97.29419543207092},{0: 57.86743185316451},{0: 1.4715445167419388},{0: 58},{0: 95},{0: 0.6105263157894737},{0: 8.650471313253384},{0: 49.30105107642672},{0: 35.66071056313979},{0: 36.098518463709816},{0: 8.650471313253384},{0: 30.15721761432138},{0: 44.250604792547186},{0: 8.502429572980265},{0: 96.51942809610924},{0: 29.62571493937314},{0: 48.54060855639442},{0: 5820.0},{0: 4687.0},{0: 0.06742052485598464},{0: 0.5947675665149678},{0: 2.141550498832384},{0: 0.7510309278350515},{0: 0.036974745779379585},{0: 0.08337557242436561},{0: 102},{0: 0.25168542722751286},{0: 0.0853625524204584},{0: 0.06789082782797856},{0: 0.05368688455412326},{0: 14.682359016318845},{0: 172},{0: 0.28172904669025317},{0: 0.06265570207848481},{0: 0.047379402727051635},{0: 0.05196415260546869},{0: 4.699177655886361},{0: 75},{0: 6},{0: 0.2706536761057275},{0: 9.096524091728712},{0: 0.16121623425762135},{0: 6},{0: 0.2700591455631562},{0: 7.93333609346467},{0: -0.10798697546733571},{0: 0.5014977071730401},{0: 0.21867632580219773},{0: 0.2973998030909889},{0: 14.440375328063965},{0: 82.63675689697266},{0: 108.09567260742188},{0: 136.5186538696289},{0: 150.0},{0: 107.38145446777344},{0: 150.0},{0: 31.915250778198242},{0: -0.8881845723012747},{0: -0.2676825626033308},{0: 7.597543962971898},{0: 1.8544044023070503},{0: 0.9977246871444824},{0: 0.2985739750445633},{0: 0.2299245024021963},{0: 0.4654153287410736},{0: 0.3175996243953705},{0: 1207.6054602484246},{0: 2676.564981868566},{0: 4486.745412388338},{0: 23.792527100381964},{0: 36.88253247872065},{0: 51.80329518008594},{0: 0.27871762263080546},{0: 0.17949142763380824},{0: 0.08239038168210866},{0: 0.04781374552810601},{0: 0.01980882618461384},{0: 0.004614413513527568},{0: 0.21854219971268735},{0: 0.13897215622275066},{0: 0.06520627947733483},{0: 0.7879181109905214},{0: 0.49451353288129146},{0: 0.09131720325693143},{0: 30.43880513655416},{0: 50.413527612580495},{0: 469364.3597307205},{0: 23662313.109645844},{0: 1471518941.5591736},{0: 101508504305.63837},{0: 14286890.28388691},{0: 733804714.4611244},{0: 45904108435.60857},{0: 3170069987406.9365},{0: 531967701.87668896},{0: 27605432625.93161},{0: 1715991371480.1794},{0: 117321999807117.78},{0: 22067940867.818985},{0: 1154147854191.8384},{0: 71151484792119.08},{0: 4806933197711116.0},{0: nan},{0: nan},{0: 0.0012647053827461795},{0: -5.089884925406837e-06},{0: nan},{0: 6.151610578909593e-05},{0: -1.6802234016828749e-06},{0: 1.479354122430886e-07},{0: 0.00044071971614974043},{0: -2.5150702573769176e-07},{0: 4.0538862588557564e-07},{0: -1.481279683394219e-09},{0: -2.3347984860319112e-07},{0: 7.178126007658045e-08},{0: -1.5841167832824703e-09},{0: 1.4525829895638714e-10},{0: 469364.3597307205},{0: 1.862645149230957e-09},{0: 278618266.2285174},{0: -768215802.8515782},{0: 1.7462298274040222e-10},{0: 13552176.63648372},{0: -253595943.40743318},{0: 15296866408.80549},{0: 97091832.5181264},{0: -37959929.25801754},{0: 41918128727.900925},{0: -104935502973.33057},{0: -35239089.28648889},{0: 7422349587.554369},{0: -112220597693.83945},{0: 7049874581629.892},{0: 0.0017054250988959199},{0: 6.940893038421989e-07},{0: 4.19044588193274e-11},{0: 3.219272810590701e-11},{0: 1.1599671176676432e-21},{0: 2.3006277769791063e-14},{0: 2.2926251738337134e-22},{0: 4371.0},{0: 212171.0},{0: 12868537.0},{0: 872325449.0},{0: 129494.0},{0: 6450503.0},{0: 396172535.0},{0: 27021436481.0},{0: 4767568.0},{0: 241560063.0},{0: 14811581939.0},{0: 1003343359317.0},{0: 196720502.0},{0: 10099353845.0},{0: 616334656049.0},{0: 41355585024011.0},{0: nan},{0: nan},{0: 0.13449575138469522},{0: -0.0014121438192906011},{0: nan},{0: 0.008624962418076492},{0: -0.0008428544775124681},{0: 0.002016616235550105},{0: 0.04874035211070984},{0: 0.0002973841434195744},{0: 0.00481015442151198},{0: 4.6068468528562315e-05},{0: 0.0002391113882873469},{0: 0.0009956464279441016},{0: -5.903960142443285e-05},{0: 0.00020013874004963584},{0: 4371.0},{0: 1.4551915228366852e-11},{0: 2569627.54198124},{0: -1783737.5125608146},{0: -1.3642420526593924e-11},{0: 164785.43559826136},{0: -1064644.49911631},{0: 168409148.02813914},{0: 931215.6696408144},{0: 375638.2636187421},{0: 401699636.1182434},{0: 254352843.89009666},{0: 302031.52621019585},{0: 83147186.7137807},{0: -325968954.56014276},{0: 73055747262.66476},{0: 0.18323610349540506},{0: 0.007651548411493578},{0: 1.2969805119514402e-05},{0: 1.6071948527351695e-06},{0: 6.003575848234515e-12},{0: 9.852834994027999e-08},{0: 4.2191577309956105e-12}
3,{0: 4542.0},{0: 389.05591591021545},{0: 0.45555059598762654},{0: 0.9280751941152432},{0: 76.04639381448084},{0: 81.1786158814319},{0: 72.26600699874453},{0: -0.08650424631865516},{0: 71},{0: 83},{0: 0.8554216867469879},{0: 20.851253436921404},{0: 43.706083210062175},{0: 37.5084285400813},{0: 36.6002585420789},{0: 20.851253436921404},{0: 34.910644586274536},{0: 39.080157189334344},{0: 3.9726425598694366},{0: 83.19855767980596},{0: 39.15896081021577},{0: 37.347424042272124},{0: 6142.0},{0: 4894.0},{0: 0.07192480588475685},{0: 0.8902098935056374},{0: 2.651960512061892},{0: 0.7394985346792575},{0: 0.04068738014563872},{0: 0.12732617031229637},{0: 109},{0: 0.38742588672279304},{0: 0.11252242770746072},{0: 0.08971704363089542},{0: 0.08085206665206975},{0: 21.82935097524738},{0: 194},{0: 0.38742588672279304},{0: 0.10083050274674436},{0: 0.06789082782797856},{0: 0.09984097617996389},{0: 9.175575749953737},{0: 91},{0: 8},{0: 0.38974335008399297},{0: 9.378563946104475},{0: 0.20402395175774174},{0: 5},{0: 0.19416484342493834},{0: 7.779937671552943},{0: -0.08986135887399935},{0: 0.4986429766686042},{0: 0.2338995406022834},{0: 0.2801653837983395},{0: 5.257495880126953},{0: 91.08777618408203},{0: 130.1739501953125},{0: 150.0},{0: 150.0},{0: 118.31167602539062},{0: 150.0},{0: 34.58957290649414},{0: -0.6414535573759141},{0: -0.7547501075206801},{0: 6.173969632339761},{0: 1.8151728798724815},{0: 1.8475877192982457},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 876.8294869661133},{0: 2030.0506275055088},{0: 4566.326938340156},{0: 17.836820138393044},{0: 28.06315955136544},{0: 48.05349233185126},{0: 0.43327169013419364},{0: 0.3453967111483483},{0: 0.207521334576878},{0: 0.08704790754314448},{0: 0.05546316339780369},{0: 0.02847686234636152},{0: 0.2950097620190039},{0: 0.23529319927613973},{0: 0.1684552266877831},{0: 0.874756385114659},{0: 0.6914178754058904},{0: 0.2537788044283822},{0: 35.657185969152835},{0: 37.70721783096091},{0: 537371.672829628},{0: 20262790.72357464},{0: 934946418.4837332},{0: 47946632325.36244},{0: 19161161.6726408},{0: 724217238.0695658},{0: 33631031527.15591},{0: 1732930095637.0671},{0: 878320769.0072527},{0: 33463925781.696037},{0: 1550195760181.0288},{0: 79289269568495.78},{0: 46095391376.98448},{0: 1772846677852.1533},{0: 81771822726690.4},{0: 4142063863841045.0},{0: nan},{0: nan},{0: 0.0005917995364170484},{0: -9.230370818346169e-07},{0: nan},{0: 5.897949664100434e-06},{0: 7.796159266796565e-07},{0: -1.7047182510344715e-08},{0: 0.0006755854222553141},{0: 1.0555136945588016e-06},{0: 2.984409700042055e-07},{0: 1.435827590987457e-10},{0: 4.083409067086942e-06},{0: 2.7840970122777037e-08},{0: 2.4843881380319805e-09},{0: -1.7705892154831057e-12},{0: 537371.672829628},{0: -1.4879333321005106e-09},{0: 170892954.80673033},{0: -195391682.0283011},{0: 2.724846126511693e-09},{0: 1703140.9850398963},{0: 165031795.84857047},{0: -2645312099.2548294},{0: 195087663.860896},{0: 223434789.61195517},{0: 46310849806.78772},{0: 16332925707.33946},{0: 864390154.7724481},{0: 4320247939.862354},{0: 282605844471.6586},{0: -147644370101.97083},{0: 0.0012673849586723625},{0: 7.159217906663935e-09},{0: 1.976814365609097e-11},{0: 2.3666562142917497e-11},{0: 2.3861559390606177e-22},{0: 1.995181691879338e-15},{0: 4.528850919815048e-22},{0: 4542.0},{0: 169632.0},{0: 7820718.0},{0: 401677668.0},{0: 177860.0},{0: 6609197.0},{0: 303313601.0},{0: 15492705695.0},{0: 8832642.0},{0: 328924505.0},{0: 14928043321.0},{0: 750784078835.0},{0: 493761278.0},{0: 18482621939.0},{0: 830363613551.0},{0: 41132675754905.0},{0: nan},{0: nan},{0: 0.07200275121234032},{0: -0.0009765404317487585},{0: nan},{0: -0.001619787805547387},{0: -0.00031762073453510945},{0: -0.0005044644280287746},{0: 0.09054050401618866},{0: 0.0011976568355159757},{0: 0.004652586910154336},{0: 4.0528007284954265e-05},{0: 0.001150585161508729},{0: 1.8006598781572282e-07},{0: 2.2697657700385005e-05},{0: -3.653604502118383e-05},{0: 4542.0},{0: 2.113154096150538e-11},{0: 1485399.7648612945},{0: -1357713.2421625191},{0: -3.603872755775228e-11},{0: -33415.840158520485},{0: -441597.56549092056},{0: -47268512.68288712},{0: 1867829.230295024},{0: 1665137.9628333198},{0: 435949199.09461004},{0: 255929415.66703585},{0: 1599692.8127375387},{0: 16872.25293978231},{0: 143332935.94788906},{0: -15549271736.687836},{0: 0.16254325522852897},{0: 0.000354143129156587},{0: 2.5304921033018327e-05},{0: 7.427222006184373e-07},{0: 3.012387089954332e-12},{0: 1.0762344064254298e-08},{0: 1.1372187737352073e-12}
4,{0: 5714.0},{0: 1420.1982310026956},{0: 0.7075231888745622},{0: 0.6993024109656101},{0: 85.29531498632689},{0: 117.32565097779153},{0: 82.91287932312635},{0: 1.2286369656445806},{0: 76},{0: 108},{0: 0.7037037037037037},{0: 0.8805210792756819},{0: 62.74230477473395},{0: 38.463571879431846},{0: 35.76797433674745},{0: 59.546751123664585},{0: 24.21190852480698},{0: 47.417786641145476},{0: 14.956903341673698},{0: 117.15374513859982},{0: 43.260938046902346},{0: 62.521351067553375},{0: 10764.0},{0: 8171.0},{0: 0.3006975890343899},{0: 0.7066901281359254},{0: 28.0897474558455},{0: 0.530843552582683},{0: 0.009103682838811779},{0: 0.12003369336144651},{0: 587},{0: 0.585786437626905},{0: 0.10641028079901911},{0: 0.062374235687982955},{0: 0.10498058447218381},{0: 48.62949832515174},{0: 457},{0: 0.5},{0: 0.05295187989367867},{0: 0.016434984148571093},{0: 0.08689510038266676},{0: 37.59583472451186},{0: 710},{0: 18},{0: 0.4176534945801757},{0: 11.657445490329938},{0: 0.17639036262589483},{0: 21},{0: 0.5486144635622738},{0: 10.070971397998102},{0: -0.20426866733453694},{0: 0.32178606480684496},{0: 0.4999302100937854},{0: 0.41332258214796064},{0: 5.506980895996094},{0: 60.265506744384766},{0: 77.87823486328125},{0: 99.83291625976562},{0: 150.0},{0: 81.22511291503906},{0: 150.0},{0: 30.485145568847656},{0: -0.285134844326143},{0: 0.39922475796150136},{0: 6.3019175216954135},{0: 1.9272725818055507},{0: 1.0017497812773404},{0: 0.1956476250261561},{0: 0.16363318165908294},{0: 0.3622737526893616},{0: 0.26593315601348877},{0: 1140.1492978987715},{0: 2249.656947932749},{0: 3857.2563618237714},{0: 20.767540816623246},{0: 32.64771310518164},{0: 47.36513510785268},{0: 0.43123193999857784},{0: 0.326673350699589},{0: 0.2070154209002102},{0: 0.1679211196323544},{0: 0.09762394975016588},{0: 0.039316984883431855},{0: 0.4097453460491577},{0: 0.3121089035937849},{0: 0.19732458708152117},{0: 0.7336908466944938},{0: 0.47739407035406045},{0: 0.1174417792996352},{0: 42.529006522932384},{0: 64.48864637356256},{0: 464120.30636548996},{0: 29930490.3119936},{0: 2295583754.413128},{0: 192115913436.46225},{0: 19738575.5368433},{0: 1338292058.4885798},{0: 106448804416.92604},{0: 9147129841833.322},{0: 1053635364.6184587},{0: 73687313879.88116},{0: 5936277920461.605},{0: 513005842735080.5},{0: 64084019043.10866},{0: 4562782641078.037},{0: 368352032179857.56},{0: 3.1745351814451388e+16},{0: nan},{0: nan},{0: 0.0016963507749159416},{0: -2.0799907190277694e-05},{0: nan},{0: 0.00030350843208304666},{0: 2.6414088623878284e-06},{0: 8.598031359642916e-07},{0: 0.0009942699255489525},{0: 1.2188749086633025e-06},{0: 1.2027296757482633e-06},{0: -7.081354038082799e-09},{0: 7.201346951950216e-06},{0: 5.253170486296326e-07},{0: 1.1972610098621717e-08},{0: 1.1123336163100048e-09},{0: 464120.30636548996},{0: 0.0},{0: 365406948.8956325},{0: -3052374542.3267975},{0: 5.820766091346741e-10},{0: 65378040.77523939},{0: 387625247.250988},{0: 85958877489.1896},{0: 214173356.85865644},{0: 178869199.14833975},{0: 120242981824.3317},{0: -482306709675.27295},{0: 1056793566.6977392},{0: 52518607966.57132},{0: 815447180276.0708},{0: 51612790871171.48},{0: 0.002690620700464894},{0: 8.613869924299103e-07},{0: 5.986445083384219e-10},{0: 4.802966672343103e-10},{0: 5.1924443811683295e-20},{0: -3.281019365029745e-14},{0: -2.5225379555107723e-19},{0: 5714.0},{0: 357247.0},{0: 26974469.0},{0: 2241730381.0},{0: 247193.0},{0: 16232652.0},{0: 1270175668.0},{0: 108270881916.0},{0: 13425905.0},{0: 907752518.0},{0: 71758377558.0},{0: 6136371434642.0},{0: 826306049.0},{0: 56787981918.0},{0: 4487808617626.0},{0: 381838764498114.0},{0: nan},{0: nan},{0: 0.14208063949832211},{0: -0.010052930601722021},{0: nan},{0: 0.02382286448461357},{0: 0.0024210245367290504},{0: 0.005625978189215712},{0: 0.083679050900412},{0: 0.00042506499822520243},{0: 0.00821499915792892},{0: -0.00024635989494488624},{0: 0.0036879789215723876},{0: 0.0033394750400972733},{0: 0.0006251736967815097},{0: 0.0006108315271890233},{0: 5714.0},{0: 1.4551915228366852e-11},{0: 4638903.895169759},{0: -24810943.20693405},{0: -2.7284841053187847e-11},{0: 777811.6655582782},{0: 5975163.3292971235},{0: 1049587747.5790484},{0: 2732103.941372068},{0: 1049073.5436306},{0: 1532597918.5383925},{0: -3474248161.64196},{0: 9102045.880614005},{0: 623015583.6990142},{0: 8816404826.101967},{0: 651152014709.341},{0: 0.22575969039873411},{0: 0.005680861039768595},{0: 0.0001411077315603206},{0: 0.0001300157193325361},{0: 3.1573872236982344e-09},{0: -2.3706867461548923e-06},{0: -1.7325041541301075e-08}
