label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4537.0},{0: 311.3036072312181},{0: 0.7415229490721016},{0: 0.9573749736231273},{0: 76.00452496044846},{0: 92.98924657471326},{0: 62.38904312925157},{0: 0.05047469318412262},{0: 62},{0: 94},{0: 0.6595744680851063},{0: 15.496069185680232},{0: 47.2522026496984},{0: 38.31165724034696},{0: 37.680512650490265},{0: 15.496069185680232},{0: 32.643865519624924},{0: 43.4002897289612},{0: 6.52601037362965},{0: 93.90420650854784},{0: 46.99757549041217},{0: 30.89883182719859},{0: 5922.0},{0: 4739.0},{0: 0.04262502637687276},{0: 0.6709275042800179},{0: 1.699768054799611},{0: 0.7661263086795002},{0: 0.022412565853950125},{0: 0.09179242039212658},{0: 110},{0: 0.27023105944531345},{0: 0.07736764448319207},{0: 0.06591242078975897},{0: 0.057284522206896414},{0: 11.21830845006285},{0: 145},{0: 0.3333333333333333},{0: 0.07656149943301013},{0: 0.037562556751545254},{0: 0.0874953667027711},{0: 5.435866459743719},{0: 71},{0: 3},{0: 0.2049883910703129},{0: 5.259228132023975},{0: 0.12987786180202918},{0: 5},{0: 0.155033985234896},{0: 5.827710643527951},{0: -0.06371133602557164},{0: 0.46578323100606567},{0: 0.2280731682857287},{0: 0.353352795935636},{0: 14.85694694519043},{0: 110.26551055908203},{0: 143.8223876953125},{0: 150.0},{0: 150.0},{0: 128.22085571289062},{0: 150.0},{0: 28.06538963317871},{0: 0.43262879318060277},{0: -1.1798961680824511},{0: 5.679015032706339},{0: 1.4643252814857157},{0: 2.23568281938326},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 960.2420104847807},{0: 2488.4195946091895},{0: 5174.305740327732},{0: 17.98742598455609},{0: 30.97866561730995},{0: 50.63489513999255},{0: 0.4475390754979194},{0: 0.3383307884076242},{0: 0.1959417017947379},{0: 0.09357375541073337},{0: 0.05589340362520907},{0: 0.031075051028395778},{0: 0.30585867722155724},{0: 0.23630981437024418},{0: 0.1761356905370156},{0: 0.8599784976124789},{0: 0.6037057795986471},{0: 0.07350859454383306},{0: 48.369195812484946},{0: 30.675281068264447},{0: 581737.9375534058},{0: 17844974.742523193},{0: 688017659.6017532},{0: 29816024573.67878},{0: 28138196.213071823},{0: 871004188.3168659},{0: 33737460864.660904},{0: 1466800995574.57},{0: 1665003555.985609},{0: 51799877161.51466},{0: 1987975053607.7646},{0: 85414060028308.47},{0: 109553996099.5119},{0: 3418843708478.8457},{0: 129571501694125.23},{0: 5479251143195859.0},{0: nan},{0: nan},{0: 0.00041551459016480176},{0: 3.250196530893552e-07},{0: nan},{0: 2.321710683233621e-05},{0: -9.080414942096309e-08},{0: 2.3369596507132145e-08},{0: 0.0008982403718605175},{0: -1.342763329682486e-07},{0: 2.5411021674142565e-07},{0: -3.467427700312717e-11},{0: -1.5015655019995032e-06},{0: 4.1277730270455033e-08},{0: -6.444580702477364e-10},{0: 2.775682248214786e-11},{0: 581737.9375534058},{0: 1.4030654504708622e-09},{0: 140618043.7187743},{0: 83893456.77970767},{0: 2.5438566808588803e-09},{0: 7857110.726913441},{0: -23438194.929004367},{0: 4600800212.742273},{0: 303981633.54541564},{0: -34659152.544576816},{0: 50026980093.00831},{0: -5206588662.85576},{0: -387581241.1542479},{0: 8126395770.327873},{0: -96769950875.54816},{0: 3178917779916.871},{0: 0.0013137549620253193},{0: 2.3518031651239633e-07},{0: 2.0405808897196736e-12},{0: 2.57202412093576e-12},{0: 3.698255180566528e-24},{0: 1.1782490291858322e-15},{0: 4.5872481371365355e-24},{0: 4537.0},{0: 140188.0},{0: 5438814.0},{0: 236697538.0},{0: 213228.0},{0: 6656432.0},{0: 260184612.0},{0: 11388603836.0},{0: 12469732.0},{0: 391223522.0},{0: 15159279498.0},{0: 656087071262.0},{0: 814939164.0},{0: 25635485480.0},{0: 981033559680.0},{0: 41805230255264.0},{0: nan},{0: nan},{0: 0.053786859524753185},{0: 0.00016163526090544024},{0: nan},{0: 0.0033003628700058354},{0: 0.0002706524055017167},{0: 0.00037503643133798083},{0: 0.11895108241260124},{0: -0.00033340913093884533},{0: 0.004359600580935729},{0: -3.579447388696964e-05},{0: -0.0009074846847750316},{0: 0.000747713179329092},{0: 7.996732871639905e-06},{0: 6.565356190431933e-05},{0: 4537.0},{0: -6.448175327022909e-12},{0: 1107168.5638086842},{0: 224108.35961569328},{0: 3.61808361049043e-11},{0: 67935.88715009915},{0: 375261.35252453235},{0: 35025133.17673958},{0: 2448532.9733303944},{0: -462273.96792653453},{0: 407148687.9285514},{0: -225168021.0382932},{0: -1258233.5249254499},{0: 69829892.50023992},{0: 50304092.222864196},{0: 27818480860.694588},{0: 0.17273794193735442},{0: 0.004289945524871994},{0: 4.3064052779918785e-06},{0: 4.350616143506985e-07},{0: 5.840843586260331e-13},{0: 2.5949068580177697e-08},{0: -1.16054760832833e-13}
2,{0: 4538.0},{0: 369.7300141024109},{0: 0.7092345853384988},{0: 0.9401284441682204},{0: 76.01290057620594},{0: 91.41082336479222},{0: 64.44212167986115},{0: -0.6239088157032744},{0: 66},{0: 92},{0: 0.717391304347826},{0: 13.563463291671395},{0: 46.75669769458459},{0: 35.32582920481115},{0: 35.53047956274997},{0: 13.563463291671395},{0: 31.92883600504849},{0: 41.547587186097026},{0: 7.481799548939462},{0: 92.45539465060976},{0: 42.04054649625385},{0: 38.27016306743059},{0: 6545.0},{0: 4827.0},{0: 0.059871555831779576},{0: 0.7049725547563732},{0: 2.397149164140668},{0: 0.693353705118411},{0: 0.05230207206567443},{0: 0.10978343527068468},{0: 123},{0: 0.38742588672279304},{0: 0.10198706012758336},{0: 0.07274024014849512},{0: 0.08010299105690118},{0: 21.009334386282173},{0: 206},{0: 0.4590290622280599},{0: 0.0802170557299769},{0: 0.041516527746673665},{0: 0.09472317382852934},{0: 5.2141086224484985},{0: 65},{0: 7},{0: 0.3523644162188044},{0: 6.390252127919939},{0: 0.19812778197303832},{0: 3},{0: 0.27953531504904444},{0: 7.1290781738811155},{0: -0.07626432764803277},{0: 0.5571633141553404},{0: 0.17580395834998605},{0: 0.33267518272381974},{0: 10.849164962768555},{0: 83.8040771484375},{0: 110.84916687011719},{0: 140.40054321289062},{0: 150.0},{0: 109.27594757080078},{0: 150.0},{0: 32.326324462890625},{0: -0.8860495025577078},{0: -0.3309784683823715},{0: 6.9757912833183715},{0: 1.9111326271025553},{0: 1.0},{0: 0.3195696423378889},{0: 0.24217717055971794},{0: 0.4939015209674835},{0: 0.33061185479164124},{0: 1081.444835637604},{0: 2361.2725065105606},{0: 4708.428185027614},{0: 21.032438573515535},{0: 32.38474035825319},{0: 51.83651645597109},{0: 0.3534848773385012},{0: 0.26241508977962424},{0: 0.1261682489217412},{0: 0.07921987271997825},{0: 0.043131004646187264},{0: 0.011239289296204342},{0: 0.2813918442901639},{0: 0.20710332864456527},{0: 0.10371083966081471},{0: 0.8320458676992498},{0: 0.6170434771289095},{0: 0.18687912616894245},{0: 42.089998894944394},{0: 35.70775069452377},{0: 495894.25019073486},{0: 17707268.256658554},{0: 799362087.2896862},{0: 40720257181.52054},{0: 20872188.442537308},{0: 682202997.7430096},{0: 29054749209.26232},{0: 1422691069503.173},{0: 1089333134.179739},{0: 33994676457.613617},{0: 1387280070900.339},{0: 65535404855562.39},{0: 63339892459.03998},{0: 1921547180402.4656},{0: 75715048894187.48},{0: 3461720764819816.0},{0: nan},{0: nan},{0: 0.0006794136657152668},{0: 1.4151639599683476e-06},{0: nan},{0: -0.00025658012883788026},{0: -4.872354594659861e-07},{0: -3.348695848037143e-07},{0: 0.0008573128231217069},{0: 2.35868500447519e-06},{0: 4.887213879646017e-07},{0: 4.271026270743197e-09},{0: -1.4852238089084676e-06},{0: -4.6264184997189116e-07},{0: -3.342969663938288e-09},{0: -5.011389103319718e-10},{0: 495894.25019073486},{0: -1.406906843467743e-09},{0: 167075366.89986813},{0: 245063957.0131235},{0: -1.3533281162381172e-09},{0: -63095903.61223288},{0: -84374569.3583891},{0: -40835974309.28217},{0: 210822745.69827268},{0: 408453505.6680892},{0: 59597571559.14101},{0: 366770162226.622},{0: -257196221.7504134},{0: -56417278717.39928},{0: -287074217819.7769},{0: -30305008860727.41},{0: 0.0015367264888369737},{0: 2.949815602637743e-07},{0: 3.204624058864984e-11},{0: 1.8132531571827845e-11},{0: -5.670844946407408e-23},{0: 5.7981923128583476e-15},{0: 4.334011026106416e-22},{0: 4538.0},{0: 173670.0},{0: 8231088.0},{0: 434866596.0},{0: 190780.0},{0: 6735942.0},{0: 303144018.0},{0: 15460938276.0},{0: 9983574.0},{0: 336627734.0},{0: 14532741178.0},{0: 715734946220.0},{0: 583510234.0},{0: 19092408558.0},{0: 795873211326.0},{0: 37949825343252.0},{0: nan},{0: nan},{0: 0.0769521008763435},{0: -0.0010326829426540547},{0: nan},{0: -0.02744755612535752},{0: 0.0002654218506768914},{0: -0.004064140345205124},{0: 0.09532541227415332},{0: 0.0014998526041192998},{0: 0.005964009902121958},{0: 0.00018816042072830288},{0: -0.0009100330084461748},{0: -0.005393274642899375},{0: -0.00013483757112732649},{0: -0.0006402340776910026},{0: 4538.0},{0: -1.7564616427989677e-11},{0: 1584708.7800793306},{0: -1432610.8384210083},{0: 1.2107648217352107e-11},{0: -565239.7100044071},{0: 368211.96935452655},{0: -379806306.3031214},{0: 1963078.5394446892},{0: 2080701.6441784028},{0: 557354908.8560953},{0: 1184551633.3419204},{0: -1262462.1724362208},{0: -504017958.7829937},{0: -848861118.0635331},{0: -271516828892.8721},{0: 0.17227751315049683},{0: 0.0033510519207394936},{0: 3.3517142548900606e-05},{0: 6.337710373142078e-07},{0: 2.394579372663149e-12},{0: 3.668714735970947e-08},{0: 1.6727973638578267e-12}
3,{0: 4002.0},{0: 304.445742854949},{0: 0.8683601666097529},{0: 0.9472189349112426},{0: 71.3828036576746},{0: 101.84480551667097},{0: 50.50831088572197},{0: -1.4228768333862576},{0: 50},{0: 100},{0: 0.5},{0: 22.45492513417275},{0: 50.10407234526854},{0: 36.62312313332485},{0: 36.15162700969676},{0: 22.45492513417275},{0: 27.534871952336122},{0: 45.21816089013261},{0: 8.945262951403684},{0: 98.99494936611666},{0: 25.91354322838581},{0: 49.09895052473763},{0: 5346.0},{0: 4225.0},{0: 0.0527810650887574},{0: 0.4959340894166101},{0: 1.8430319449534478},{0: 0.7485970819304153},{0: 0.021785110844434616},{0: 0.06498778650551867},{0: 118},{0: 0.19180266893087558},{0: 0.0692033989698878},{0: 0.0622975593172197},{0: 0.03670925481789277},{0: 9.0656452650553},{0: 131},{0: 0.15871717502734295},{0: 0.05759707124231978},{0: 0.046263038037944106},{0: 0.0379808382480493},{0: 3.8590037732354254},{0: 67},{0: 5},{0: 0.25300221099375797},{0: 8.03038178916663},{0: 0.14399823193060893},{0: 6},{0: 0.19213467790423824},{0: 6.216710050094327},{0: -0.07480448842679134},{0: 0.4302901356791644},{0: 0.22007205412598485},{0: 0.3875895878636748},{0: 14.106203079223633},{0: 92.31861114501953},{0: 122.87022399902344},{0: 150.0},{0: 150.0},{0: 117.13371276855469},{0: 150.0},{0: 32.12416458129883},{0: -0.7015539780593949},{0: -0.6139339863921163},{0: 6.599732570677137},{0: 1.7600849389948587},{0: 1.5466998754669987},{0: 0.4611171960569551},{0: 0.315592203898051},{0: 0.678202748298645},{0: 0.4041244387626648},{0: 1072.6374202816255},{0: 2620.137312163847},{0: 5348.900234803365},{0: 20.81910297948032},{0: 34.11990072253178},{0: 55.37964570312204},{0: 0.3787883004069114},{0: 0.2726306376088599},{0: 0.1283145622479092},{0: 0.06772299073099805},{0: 0.03539769885449119},{0: 0.014735422916775771},{0: 0.26012166247334817},{0: 0.18637832460296894},{0: 0.12031257522812651},{0: 0.8354102001910164},{0: 0.5634288445158113},{0: 0.061083093950518544},{0: 25.034121392855454},{0: 47.413426700839054},{0: 468769.10942459106},{0: 22225949.80932045},{0: 1348381117.4320965},{0: 92253789597.59598},{0: 11735222.790555954},{0: 521390682.8393173},{0: 30085507779.41942},{0: 1980257578951.8408},{0: 371075565.19348335},{0: 16010740330.776913},{0: 890928428838.192},{0: 56652309875791.164},{0: 13273083314.730291},{0: 563332638683.4902},{0: 30437853258806.637},{0: 1877177365140723.8},{0: nan},{0: nan},{0: 0.0013405236756730192},{0: 2.5856809844898414e-06},{0: nan},{0: -0.00015935072901615964},{0: -2.3232002129132794e-06},{0: -4.2096560768278107e-07},{0: 0.0003517475114884766},{0: 1.1298498802902605e-06},{0: 3.8598354600332346e-07},{0: 3.969194462675143e-09},{0: 7.54587775264018e-07},{0: -1.254356038046839e-07},{0: -1.3236839748208827e-09},{0: -2.7908674508686807e-10},{0: 468769.10942459106},{0: -9.313225746154785e-10},{0: 294572675.2913536},{0: 389020425.44049835},{0: 0.0},{0: -35016442.758723326},{0: -349529714.08005923},{0: -43363424447.0414},{0: 77294573.28250167},{0: 169987977.53897476},{0: 39759942450.04654},{0: 279936046526.93317},{0: 113529108.62796375},{0: -12921049200.418839},{0: -93355682682.444},{0: -13476439044708.23},{0: 0.001692271187161496},{0: 1.0792489222114234e-06},{0: 6.030929147174309e-11},{0: 1.6265714586681527e-11},{0: 4.528025872835745e-22},{0: 1.4932223899513676e-14},{0: 2.334725670284944e-22},{0: 4002.0},{0: 196494.0},{0: 12199544.0},{0: 849061290.0},{0: 103706.0},{0: 4806684.0},{0: 285177518.0},{0: 19151090646.0},{0: 3367974.0},{0: 151454664.0},{0: 8666897162.0},{0: 562682469618.0},{0: 122998070.0},{0: 5423044854.0},{0: 301015839308.0},{0: 18954027303552.0},{0: nan},{0: nan},{0: 0.15933405208891083},{0: -0.0005075353292842371},{0: nan},{0: -0.01780542531822799},{0: -0.002914173933129527},{0: -0.005519636636973},{0: 0.042494000748065586},{0: 0.000858963460354907},{0: 0.005506797941773445},{0: 0.00035789050230029975},{0: 0.0004433897061896778},{0: -0.00170369594759897},{0: -0.00022223350991828675},{0: -0.00044495379531933436},{0: 4002.0},{0: -1.4551915228366852e-11},{0: 2551894.815592204},{0: -514231.87055198103},{0: 9.094947017729282e-13},{0: -285171.76311844075},{0: -2952624.2337856544},{0: -353786894.8701371},{0: 680584.0859570215},{0: 870296.827566728},{0: 352963985.2462663},{0: 1451175602.3886728},{0: 449239.8949230993},{0: -109200177.24833864},{0: -901113177.225404},{0: -114136158864.1717},{0: 0.2018280528369764},{0: 0.01491973028038333},{0: 9.389465215097673e-05},{0: 6.228276427402573e-06},{0: -1.1042929049944996e-10},{0: -6.370102174866881e-07},{0: -1.0242397263820762e-10}
