label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 6468.0},{0: 472.8843430349616},{0: 0.7746518042170636},{0: 0.7893580668782035},{0: 90.74862740200004},{0: 127.43293698146434},{0: 80.5870601195168},{0: 0.9699272185616872},{0: 84},{0: 123},{0: 0.6829268292682927},{0: 6.7424785479744616},{0: 69.91074115015134},{0: 47.168335397996465},{0: 43.70114445231113},{0: 6.7424785479744616},{0: 37.2944083048698},{0: 53.246387449299704},{0: 14.913945962284458},{0: 125.41929676090518},{0: 51.775510204081634},{0: 56.07854050711194},{0: 11750.0},{0: 8194.0},{0: 0.21064193312179644},{0: 0.6323879997463963},{0: 2.751249614459989},{0: 0.550468085106383},{0: 0.021365961245849916},{0: 0.0675664195991686},{0: 163},{0: 0.2669581106344336},{0: 0.06651776537307452},{0: 0.05255480363370354},{0: 0.04452432187928137},{0: 14.301319555211023},{0: 215},{0: 0.20855744201314821},{0: 0.04855679680992467},{0: 0.03370623582501704},{0: 0.04443040212651231},{0: 6.118156398050508},{0: 126},{0: 8},{0: 0.19075315489593572},{0: 10.015874689710964},{0: 0.10896003924860903},{0: 8},{0: 0.22722699459028928},{0: 10.196508021343163},{0: -0.07200354797644604},{0: 0.45465662622732356},{0: 0.26644992978903614},{0: 0.3446931631397848},{0: 19.363698959350586},{0: 120.0955581665039},{0: 150.0},{0: 150.0},{0: 150.0},{0: 132.39071655273438},{0: 150.0},{0: 29.122779846191406},{0: 1.0825846930595597},{0: -1.512406153843374},{0: 3.4641055236761735},{0: 1.4050339331188182},{0: 3.1879815100154083},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 532.4023591689363},{0: 1832.141396291604},{0: 5781.523678653579},{0: 8.977392884554373},{0: 19.36706404173878},{0: 47.778019886908226},{0: 0.7504841522199511},{0: 0.6716284694845701},{0: 0.47845689399988284},{0: 0.28260138932642515},{0: 0.22620543803072596},{0: 0.1295861013895125},{0: 0.5315909897942191},{0: 0.4754693601908404},{0: 0.3598502514663624},{0: 0.9445156613871204},{0: 0.808489779229111},{0: 0.3928902926418225},{0: 51.863664940340726},{0: 57.63460473818339},{0: 856303.105966568},{0: 49352691.048461914},{0: 3468649095.363949},{0: 277491433244.8137},{0: 44411017.37522316},{0: 2800146051.7247066},{0: 211518156431.85733},{0: 17870900052291.836},{0: 2841584838.4192333},{0: 189839647926.36212},{0: 14821276453908.232},{0: 1276506599429877.0},{0: 199825684485.1437},{0: 13809691339169.031},{0: 1094277016587740.2},{0: 9.48379992528677e+16},{0: nan},{0: nan},{0: 0.0008513085435669969},{0: 8.287253524879367e-06},{0: nan},{0: 0.0003280367897066125},{0: 5.740451905783418e-06},{0: 6.50942830954505e-07},{0: 0.0007340784676448097},{0: 1.6447552638394642e-06},{0: 4.6910343241149125e-07},{0: 7.080914724929817e-09},{0: -4.984732336871918e-06},{0: 2.837706801226651e-07},{0: 3.2233445641243207e-09},{0: 5.046819098684924e-10},{0: 856303.105966568},{0: 1.862645149230957e-09},{0: 624226254.0201647},{0: 5623146822.757046},{0: -1.210719347000122e-08},{0: 240534619.28312504},{0: 3895066537.820867},{0: 408719545000.5537},{0: 538266713.6110094},{0: 1116015131.9500556},{0: 294544670185.97986},{0: 4114202670498.586},{0: -3382288440.7031155},{0: 178176358581.54108},{0: 1872850235996.709},{0: 271348743600877.9},{0: 0.0015853870112118066},{0: 4.441754323048031e-07},{0: 5.043528734119378e-10},{0: 9.921591064602388e-11},{0: 8.184663402730569e-21},{0: 2.1345917443612783e-14},{0: -2.0629910469159488e-20},{0: 6468.0},{0: 362716.0},{0: 25646116.0},{0: 2084619292.0},{0: 334884.0},{0: 20616866.0},{0: 1567725486.0},{0: 134437684046.0},{0: 21223246.0},{0: 1393695396.0},{0: 109649411740.0},{0: 9580679167992.0},{0: 1477426758.0},{0: 101003396906.0},{0: 8074430666346.0},{0: 709879322549618.0},{0: nan},{0: nan},{0: 0.12682034319909524},{0: 0.015267948161695303},{0: nan},{0: 0.043912011161182235},{0: 0.010059474865079748},{0: 0.012860361605630932},{0: 0.09285177034477919},{0: 0.003952193811097781},{0: 0.008693024512506817},{0: 0.0019087107903153842},{0: -0.0070312895579855},{0: 0.004849416715309983},{0: 0.0008485683720833259},{0: 0.0012910753358616968},{0: 6468.0},{0: -1.4551915228366852e-11},{0: 5305532.101422386},{0: 51369543.321112305},{0: -2.546585164964199e-11},{0: 1837060.0408163266},{0: 33845453.52110864},{0: 3479871553.566168},{0: 3884456.0408163257},{0: 13297293.71900595},{0: 2352236246.7848954},{0: 41537003966.10319},{0: -23657018.593919232},{0: 1312198505.491991},{0: 18466384753.29771},{0: 2259600330414.313},{0: 0.21967211354387445},{0: 0.00886692283863815},{0: 0.0013962002503203415},{0: 0.00037858376370842397},{0: 1.4625871046344417e-07},{0: 2.2460067010675653e-05},{0: -2.3316794471842759e-07}
2,{0: 5062.0},{0: 292.94826817189073},{0: 0.8177172342044876},{0: 0.9714066398004222},{0: 80.28162040871743},{0: 105.91514634147997},{0: 60.96688946182806},{0: -1.0601253155162471},{0: 61},{0: 105},{0: 0.580952380952381},{0: 28.913383620716935},{0: 52.921383278481564},{0: 39.64669205572032},{0: 40.44714624904409},{0: 28.913383620716935},{0: 32.67660494413867},{0: 48.57637313738886},{0: 7.900289184780028},{0: 104.65180361560904},{0: 37.37988937178981},{0: 48.3064006321612},{0: 7350.0},{0: 5211.0},{0: 0.028593360199577818},{0: 0.5756201220292452},{0: 1.3491177772614267},{0: 0.6887074829931973},{0: 0.021536109880101677},{0: 0.044330811540266406},{0: 95},{0: 0.1397519322625346},{0: 0.05034104535000632},{0: 0.037562556751545254},{0: 0.02669280913328716},{0: 7.3497926211009235},{0: 146},{0: 0.11654689095463854},{0: 0.0381795362520771},{0: 0.03370623582501704},{0: 0.02396872270793632},{0: 2.138054030116318},{0: 56},{0: 6},{0: 0.1534843653353997},{0: 7.421405590213239},{0: 0.1031935664240989},{0: 3},{0: 0.16966698806189182},{0: 8.298577220437485},{0: -0.05969498978560789},{0: 0.4983815091691644},{0: 0.19116003091420006},{0: 0.32428933815801797},{0: 31.634241104125977},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 145.6389617919922},{0: 150.0},{0: 15.243158340454102},{0: 16.59125628380936},{0: -4.0120366745262785},{0: 1.9312010673036617},{0: 1.0},{0: 0.8858158830501778},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 432.04132402389774},{0: 1855.9775532248939},{0: 5743.7746107321},{0: 5.528556933221882},{0: 15.505740127041802},{0: 41.692524486312536},{0: 0.8733655830077907},{0: 0.8074912106393308},{0: 0.630046602056263},{0: 0.42224991493724606},{0: 0.385819623096736},{0: 0.31920510571937355},{0: 0.6498030510713548},{0: 0.621048134705193},{0: 0.5633958510036747},{0: 0.9532080842824099},{0: 0.7891249441433302},{0: 0.28452054896431156},{0: 37.258807829810074},{0: 48.23859892528638},{0: 737224.4746894836},{0: 35562675.75245094},{0: 2146287955.714594},{0: 145205032601.6781},{0: 27468105.029888153},{0: 1176545092.573286},{0: 65840398520.623505},{0: 4236188833043.455},{0: 1271037206.379116},{0: 50090128601.510284},{0: 2619662471881.914},{0: 159615384205954.53},{0: 65820877617.38647},{0: 2438117024741.9644},{0: 120139918789394.83},{0: 6942562048214403.0},{0: nan},{0: nan},{0: 0.0007926299208323277},{0: 2.3417861661121104e-07},{0: nan},{0: -0.0002731882785554439},{0: 4.22130795549287e-07},{0: -4.1424037614290454e-07},{0: 0.0004555812204185791},{0: -3.401053017689867e-07},{0: 3.295560919701269e-07},{0: -7.96956133084082e-10},{0: 2.6490503945568124e-08},{0: -2.517972045130771e-07},{0: 6.326471030161407e-10},{0: -3.232278492414493e-10},{0: 737224.4746894836},{0: 0.0},{0: 430794303.3821057},{0: 109281487.49389172},{0: 3.725290298461914e-09},{0: -148477809.20112997},{0: 196991005.93455935},{0: -165978433525.45883},{0: 247608359.62147385},{0: -158713096.09612942},{0: 132047011962.69574},{0: -274178580430.4265},{0: 12362023.9863348},{0: -100890468380.49516},{0: 217650981550.43213},{0: -95478975678816.81},{0: 0.0012482111412509067},{0: 4.121291686109441e-07},{0: 3.1111131842513914e-12},{0: 2.1248153298896702e-13},{0: -1.4484346289700574e-26},{0: -1.2124255021541232e-17},{0: -1.7215034072690602e-25},{0: 5062.0},{0: 244527.0},{0: 14794401.0},{0: 1002747831.0},{0: 189217.0},{0: 8128471.0},{0: 456719601.0},{0: 29457949243.0},{0: 8815783.0},{0: 349314079.0},{0: 18382592261.0},{0: 1124117722771.0},{0: 459535243.0},{0: 17153299411.0},{0: 852458416413.0},{0: 49525656080551.0},{0: nan},{0: nan},{0: 0.11638307556897075},{0: -1.8301873643867058e-05},{0: nan},{0: -0.03949138967657025},{0: 0.0008069158626616566},{0: -0.00889583779812398},{0: 0.06801760394490569},{0: -0.0004901933036408606},{0: 0.007164059056762973},{0: -0.00020879938410329446},{0: -0.00016154582351285594},{0: -0.005421720561435061},{0: 0.000155143411792855},{0: -0.0010290671584073936},{0: 5062.0},{0: 0.0},{0: 2982181.7726195175},{0: -33365.751020498574},{0: -2.546585164964199e-11},{0: -1011921.2084156466},{0: 1471070.9019172825},{0: -1153860424.6614447},{0: 1742872.472738048},{0: -893660.8371065538},{0: 929235043.7503994},{0: -1926889038.503292},{0: -294510.70587724075},{0: -703239979.345446},{0: 1431729029.5826015},{0: -675666336354.9846},{0: 0.18440067951387645},{0: 0.00857749827976512},{0: 8.777350760627196e-06},{0: 6.750698327527511e-07},{0: 1.3304044162310638e-12},{0: 4.4200563141268965e-08},{0: -9.645251653015119e-13}
3,{0: 6455.0},{0: 902.5676759431467},{0: 0.9244788290657939},{0: 0.6319757196005482},{0: 90.65738393129087},{0: 163.48917019313208},{0: 62.32752992879772},{0: 1.0809144347211253},{0: 57},{0: 158},{0: 0.36075949367088606},{0: 15.241705759444633},{0: 93.41349190426382},{0: 60.047188085809196},{0: 57.37406770201514},{0: 15.241705759444633},{0: 40.77165261505161},{0: 72.91730683397952},{0: 19.142266431330214},{0: 172.28464818433474},{0: 65.16219984508133},{0: 76.44523625096824},{0: 19782.0},{0: 10214.0},{0: 0.36802428039945173},{0: 0.3812333860106411},{0: 10.042768255620974},{0: 0.32630674350419575},{0: 0.001079387581244788},{0: 0.15743799475026793},{0: 340},{0: 0.5},{0: 0.1664888509510396},{0: 0.1462777698287902},{0: 0.10589707467625774},{0: 43.45359009822133},{0: 261},{0: 0.5},{0: 0.09475016241511172},{0: 0.053374230670884995},{0: 0.10042447481654167},{0: 42.63757308680027},{0: 450},{0: 13},{0: 0.4551390387245109},{0: 10.700696175850624},{0: 0.20468649242766057},{0: 15},{0: 0.5146802332041767},{0: 10.958317362379832},{0: -0.21576964747181895},{0: 0.28917499147891107},{0: 0.49857757151536386},{0: 0.3767030540338305},{0: 6.8436713218688965},{0: 71.70061492919922},{0: 94.98970031738281},{0: 122.0347900390625},{0: 150.0},{0: 96.72440338134766},{0: 150.0},{0: 33.01581954956055},{0: -0.8552962725895159},{0: 0.005183999387008854},{0: 4.071903456300988},{0: 1.9304959496322152},{0: 1.0015467904098994},{0: 0.2512114750920721},{0: 0.2007745933384973},{0: 0.42854002118110657},{0: 0.2999846041202545},{0: 535.1597675910992},{0: 957.4588037358589},{0: 2951.535501076428},{0: 10.611505510059654},{0: 15.366538279262674},{0: 33.12396114324366},{0: 0.6746478912382577},{0: 0.6309969850124382},{0: 0.502118483091011},{0: 0.42608665076520624},{0: 0.37411111085600784},{0: 0.24295258297193673},{0: 0.6527493171027836},{0: 0.611585991433679},{0: 0.4912741111619665},{0: 0.8897731080384084},{0: 0.806796440214444},{0: 0.4422105919510074},{0: 65.35240209988521},{0: 76.61632702178179},{0: 624355.9804806709},{0: 47835861.97851229},{0: 4401152835.540146},{0: 451640219228.6981},{0: 40803163.08984089},{0: 3440349206.171831},{0: 338624655424.7649},{0: 36560497068709.91},{0: 2962241030.2914143},{0: 268842268154.38666},{0: 27825115596904.445},{0: 3123732118187744.0},{0: 230985007994.41644},{0: 22246464897961.777},{0: 2399824905428595.0},{0: 2.7841760434957907e+17},{0: nan},{0: nan},{0: 0.0018884204341955036},{0: 5.319873897344808e-06},{0: nan},{0: 0.0008059114585200682},{0: 9.282037252578254e-06},{0: 3.513513529449504e-06},{0: 0.0007584423914367252},{0: 2.674897684220782e-06},{0: 2.0564699559279425e-06},{0: 5.981889522061823e-08},{0: -4.052509016910654e-06},{0: 1.4890874726255094e-06},{0: 3.433850652193308e-08},{0: 6.7864061603892305e-09},{0: 624355.9804806709},{0: 0.0},{0: 736144790.8256308},{0: 1638634249.556923},{0: -4.656612873077393e-10},{0: 314160719.3574856},{0: 2859064790.1126633},{0: 855142435355.7849},{0: 295656309.0969378},{0: 823925349.3606968},{0: 500517419844.33374},{0: 11504065717731.266},{0: -1248258924.9084306},{0: 362424074114.2903},{0: 6603806944614.099},{0: 1031261850838038.6},{0: 0.0026468628256322286},{0: 3.8748234930127344e-06},{0: 1.0248380539876129e-09},{0: 9.126433820905345e-11},{0: 2.7816532196977325e-20},{0: 1.760985308948583e-13},{0: 2.2974783414756475e-21},{0: 6455.0},{0: 493454.0},{0: 46465208.0},{0: 4924525454.0},{0: 420622.0},{0: 35980924.0},{0: 3656334742.0},{0: 409023854296.0},{0: 31016260.0},{0: 2883961858.0},{0: 309068346024.0},{0: 35935844316526.0},{0: 2476928902.0},{0: 245700826786.0},{0: 27450035604640.0},{0: 3291887329183282.0},{0: nan},{0: nan},{0: 0.20983020484459156},{0: 0.01068216304862496},{0: nan},{0: 0.09183223034630467},{0: 0.013007066286018852},{0: 0.04113004675966951},{0: 0.0865817796389879},{0: 0.004255636618840951},{0: 0.024519114349289023},{0: 0.007697603562587105},{0: -0.004276967643689592},{0: 0.01793856070297501},{0: 0.004473876649560063},{0: 0.00822891238421772},{0: 6455.0},{0: 2.9103830456733704e-11},{0: 8743000.391014718},{0: 35760190.122765124},{0: 2.9103830456733704e-11},{0: 3826375.8376452355},{0: 43543162.673155054},{0: 11062363961.914686},{0: 3607605.1767622},{0: 14246400.648485057},{0: 6594676843.927313},{0: 166338355553.31653},{0: -14317809.547659181},{0: 4824766881.709333},{0: 96676488829.99762},{0: 14286551948123.852},{0: 0.29641198448357947},{0: 0.048922808437168314},{0: 0.001879077391665973},{0: 0.0002993524812101439},{0: 2.243990476409748e-07},{0: 6.601085817680014e-05},{0: -7.235075618132602e-09}
