label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 6456.0},{0: 336.64675298172574},{0: 0.7349402592467703},{0: 0.9657442034405386},{0: 90.66440591991},{0: 110.37292045261437},{0: 74.8473934976532},{0: 1.4169113637428004},{0: 74},{0: 110},{0: 0.6727272727272727},{0: 33.656402981328704},{0: 55.3002455178145},{0: 46.248578042306036},{0: 45.500869440974824},{0: 33.656402981328704},{0: 39.063440022608816},{0: 51.323177195139365},{0: 6.401533988131253},{0: 109.83624174196785},{0: 37.74426889714994},{0: 53.17781908302354},{0: 8284.0},{0: 6685.0},{0: 0.03425579655946148},{0: 0.6781318568967911},{0: 1.3969326697475273},{0: 0.779333655239015},{0: 0.01920101068761111},{0: 0.04766150397419555},{0: 120},{0: 0.15722378175024979},{0: 0.05216906020651693},{0: 0.037562556751545254},{0: 0.027724206805459412},{0: 8.294880572836192},{0: 159},{0: 0.1367717774102018},{0: 0.044420904662207675},{0: 0.037562556751545254},{0: 0.025687096499718703},{0: 2.976200612367914},{0: 67},{0: 7},{0: 0.18085850450501748},{0: 6.310982730141788},{0: 0.11026174465031138},{0: 5},{0: 0.13401693791545702},{0: 6.649865401259499},{0: -0.04953160000684827},{0: 0.47230516436506675},{0: 0.1990216730343363},{0: 0.3564567278226919},{0: 20.61570167541504},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 145.8390655517578},{0: 150.0},{0: 14.079302787780762},{0: 17.362212242066576},{0: -4.042111676070422},{0: 2.0747485769632115},{0: 1.0},{0: 0.872366790582404},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 472.38883661274735},{0: 1902.7944753814954},{0: 4617.46479145877},{0: 6.320200814749251},{0: 16.33058302329883},{0: 34.433324614498844},{0: 0.8376191325807785},{0: 0.7684662380297407},{0: 0.65122716959058},{0: 0.44510824732211635},{0: 0.4174453461008833},{0: 0.3856213309407237},{0: 0.6671640050794884},{0: 0.6460782051428337},{0: 0.6205006374314446},{0: 0.9354259200563597},{0: 0.7097458977633487},{0: 0.1701749238027081},{0: 37.77644124799396},{0: 53.38936333724673},{0: 941536.9649581909},{0: 50268059.117601395},{0: 3382776093.023367},{0: 255057890445.79196},{0: 35567915.83955765},{0: 1957549026.476242},{0: 134814873985.0784},{0: 10340454941563.014},{0: 1674411627.1118698},{0: 93938976966.90894},{0: 6493736795298.115},{0: 497423402640989.5},{0: 87933421406.93683},{0: 5003696195042.031},{0: 345330789221674.0},{0: 2.6286349329729708e+16},{0: nan},{0: nan},{0: 0.0007884972834243438},{0: -2.1427778956640342e-07},{0: nan},{0: 6.610398521719641e-05},{0: 8.932109483846266e-07},{0: 9.716905781360439e-08},{0: 0.0003731363595769278},{0: 1.345736072033754e-07},{0: 2.1598697737820366e-07},{0: -6.01029492301185e-11},{0: -3.620726890104636e-07},{0: 5.3899648634771937e-08},{0: 3.551935615694885e-10},{0: 6.319964821804829e-11},{0: 941536.9649581909},{0: 0.0},{0: 698996420.535548},{0: -184319207.99905396},{0: 1.0128132998943329e-08},{0: 58600644.5694858},{0: 768329442.4283695},{0: 81103597251.07196},{0: 330782344.08522654},{0: 115758617.57531881},{0: 180276738489.74652},{0: -48677312922.24951},{0: -311450624.0312649},{0: 44988142246.21202},{0: 287670877485.36096},{0: 49666569228441.3},{0: 0.0011616336430012716},{0: 1.900036445057602e-07},{0: 9.633894839982114e-12},{0: 2.884606072571746e-13},{0: -4.663485103268165e-25},{0: -1.2573165930858964e-16},{0: -1.1729560153251195e-25},{0: 6456.0},{0: 343316.0},{0: 23109928.0},{0: 1745097020.0},{0: 243677.0},{0: 13360364.0},{0: 920935074.0},{0: 70771325414.0},{0: 11520249.0},{0: 643457454.0},{0: 44499678236.0},{0: 3414115550040.0},{0: 607801289.0},{0: 34416706130.0},{0: 2375328165312.0},{0: 181045571588888.0},{0: nan},{0: nan},{0: 0.11643808339083556},{0: 1.0490828910487825e-06},{0: nan},{0: 0.009648589175042684},{0: 0.0017607134329235255},{0: 0.002049533473499519},{0: 0.05573038279015579},{0: 0.00014267951141472355},{0: 0.004768738044617713},{0: -1.2378280571092925e-05},{0: -0.0007076217573697637},{0: 0.0011977516397325564},{0: 0.00010381994866230213},{0: 0.00020253207756798988},{0: 6456.0},{0: -1.4551915228366852e-11},{0: 4853131.863692689},{0: 3513.3272864967585},{0: 9.094947017729282e-12},{0: 402152.57930607186},{0: 5896543.162006399},{0: 551500081.3783308},{0: 2322838.7879491947},{0: 477826.70459551364},{0: 1283199056.6067853},{0: -267628677.71802902},{0: -2369790.65229115},{0: 322297798.6573923},{0: 2244673274.4233084},{0: 351842181353.744},{0: 0.17216846618099135},{0: 0.004057806004496778},{0: 3.605956948074539e-05},{0: 1.1296599859417426e-06},{0: -6.4014999522778245e-12},{0: -6.022925377860648e-08},{0: 3.3172412968452277e-12}
2,{0: 4358.0},{0: 391.18585822512665},{0: 0.7305521885649091},{0: 0.930600042707666},{0: 74.49011972037526},{0: 90.96191248055257},{0: 62.11396650446041},{0: -0.607400682304354},{0: 64},{0: 93},{0: 0.6881720430107527},{0: 18.159895564328338},{0: 46.81665564838653},{0: 34.17489072623472},{0: 34.251534515443716},{0: 18.159895564328338},{0: 29.131954050286275},{0: 40.09308556897364},{0: 7.17508719112441},{0: 92.41753080449618},{0: 41.70766406608536},{0: 37.45410738871042},{0: 6384.0},{0: 4683.0},{0: 0.06939995729233397},{0: 0.6828568662487194},{0: 2.7942753685367103},{0: 0.6826441102756893},{0: 0.04258549193113407},{0: 0.12143200452715268},{0: 121},{0: 0.38742588672279304},{0: 0.10594926066173584},{0: 0.09418242656651009},{0: 0.07260526323284401},{0: 22.037446217641055},{0: 208},{0: 0.5},{0: 0.10412006433501896},{0: 0.06789082782797856},{0: 0.10643874492440952},{0: 8.537845275471554},{0: 82},{0: 11},{0: 0.31737982222533606},{0: 7.492187612576683},{0: 0.17185853085435396},{0: 3},{0: 0.2288484522253298},{0: 5.622047866775742},{0: -0.1014386406693148},{0: 0.5317165629241547},{0: 0.2096190296143302},{0: 0.3093158851626092},{0: 17.695125579833984},{0: 88.89677429199219},{0: 117.65277862548828},{0: 150.0},{0: 150.0},{0: 114.60409545898438},{0: 150.0},{0: 32.219783782958984},{0: -0.8799403416716762},{0: -0.47598858554643764},{0: 6.3748188809880775},{0: 1.8089698804969143},{0: 1.4025229357798166},{0: 0.42791612057667106},{0: 0.2996787517209729},{0: 0.6445948481559753},{0: 0.391947478055954},{0: 990.6995260993847},{0: 2278.4458091625424},{0: 4843.135710331335},{0: 19.144350409155383},{0: 31.418131666646946},{0: 52.11580159852005},{0: 0.41388100282075135},{0: 0.3124197458189537},{0: 0.1743660345329045},{0: 0.09302712819147531},{0: 0.052429387421195114},{0: 0.017742133820687057},{0: 0.3049463817138467},{0: 0.22845863860835972},{0: 0.1312241428238812},{0: 0.858653083177053},{0: 0.6624880501058472},{0: 0.24869522759337503},{0: 41.23455295970953},{0: 36.240552569885},{0: 499444.63909721375},{0: 18100149.698949814},{0: 814243660.5873852},{0: 41118295542.382996},{0: 20594376.421297073},{0: 677622082.9665356},{0: 28516569608.36313},{0: 1375515976168.255},{0: 1050431900.9405308},{0: 32544855313.948242},{0: 1297101692442.7627},{0: 59794288377764.67},{0: 60126942981.20227},{0: 1791348768411.7861},{0: 68386311816500.086},{0: 3029506908448754.0},{0: nan},{0: nan},{0: 0.0006345457603836457},{0: 7.773673363766881e-07},{0: nan},{0: -0.00027552972732453816},{0: -4.3573306039977894e-07},{0: -3.2768172308789093e-07},{0: 0.0008067190685666316},{0: 8.207281313602464e-07},{0: 4.4174485277749886e-07},{0: 1.5677859883888459e-09},{0: 1.2333939058217924e-06},{0: -4.4149186402854406e-07},{0: 3.6566121849456457e-11},{0: -4.460489303834077e-10},{0: 499444.63909721375},{0: -4.0336090023629367e-10},{0: 158284233.8998064},{0: 137039156.91046202},{0: -1.5170371625572443e-09},{0: -68729498.37348107},{0: -76813738.42322892},{0: -40823880714.9012},{0: 201231995.72436336},{0: 144683067.97985488},{0: 55034315024.56177},{0: 138036050388.245},{0: 217430361.53298932},{0: -55002796688.9884},{0: 3219471965.878036},{0: -27754405287319.85},{0: 0.0014412648289502772},{0: 3.333101706088108e-07},{0: 9.293221751750086e-12},{0: 3.1901719483206927e-12},{0: -1.597431250674203e-23},{0: -1.735080561973504e-15},{0: -6.822349318278851e-24},{0: 4358.0},{0: 163225.0},{0: 7556103.0},{0: 390961861.0},{0: 181762.0},{0: 6244047.0},{0: 272505363.0},{0: 13531388607.0},{0: 9442724.0},{0: 307651419.0},{0: 12780097515.0},{0: 608226768747.0},{0: 549631426.0},{0: 17281431591.0},{0: 689417934243.0},{0: 31584228849699.0},{0: nan},{0: nan},{0: 0.07596060783161634},{0: -8.936386432333802e-05},{0: nan},{0: -0.029679949435292546},{0: -0.0003328325276433032},{0: -0.004296278518228447},{0: 0.09803282890881698},{0: 0.0007997570889397092},{0: 0.006114621820391846},{0: 0.0001247504129877303},{0: 0.00039095888109691766},{0: -0.005900091535489861},{0: 2.046296594439823e-05},{0: -0.000699510814736149},{0: 4358.0},{0: -6.963318810448982e-13},{0: 1442656.321477742},{0: -112041.78141554556},{0: -3.40207861881936e-11},{0: -563686.4671867834},{0: -417295.62158667354},{0: -355593739.01390463},{0: 1861855.5640201932},{0: 1002711.8860963873},{0: 506094105.99053},{0: 681627781.1994281},{0: 490172.7317860341},{0: -488337895.3965597},{0: 111808255.69540583},{0: -252315155135.45724},{0: 0.17399343674043333},{0: 0.004010780537206909},{0: 8.123894081382411e-06},{0: 5.080372065466605e-07},{0: -9.962729763074186e-13},{0: -1.596660518645804e-08},{0: 2.696077903219389e-13}
3,{0: 5210.0},{0: 571.1635636485403},{0: 0.7647750407283743},{0: 0.9001382170006911},{0: 81.44678034195212},{0: 105.2131585001766},{0: 67.78856425778822},{0: -0.6496250805264864},{0: 66},{0: 101},{0: 0.6534653465346535},{0: 0.8134438753609842},{0: 52.558545018579345},{0: 37.21753608558649},{0: 34.26584001876849},{0: 0.8134438753609842},{0: 26.449480779792708},{0: 45.94895688371446},{0: 13.924600073882042},{0: 102.00490184299969},{0: 44.79904030710173},{0: 42.152399232245685},{0: 8188.0},{0: 5788.0},{0: 0.09986178299930891},{0: 0.6442973980072506},{0: 4.982799382001319},{0: 0.6362970200293112},{0: 0.03879514358494121},{0: 0.11826477675738255},{0: 204},{0: 0.38742588672279304},{0: 0.0953668893664787},{0: 0.07274024014849512},{0: 0.06925577375554079},{0: 30.040570150440793},{0: 315},{0: 0.4142135623730951},{0: 0.10091138960756278},{0: 0.048636118472688866},{0: 0.10945474184100717},{0: 12.31118953212266},{0: 122},{0: 13},{0: 0.3629866443739929},{0: 8.961484464160959},{0: 0.17962257588182814},{0: 2},{0: 0.3505837067463511},{0: 6.084083064815772},{0: -0.13122176007214545},{0: 0.5515057683088344},{0: 0.21359905947199298},{0: 0.3571656404285784},{0: 10.933852195739746},{0: 74.2069091796875},{0: 95.07438659667969},{0: 120.6156997680664},{0: 150.0},{0: 97.42247772216797},{0: 150.0},{0: 31.321435928344727},{0: -0.7961680961179636},{0: 0.07190916960494613},{0: 7.067208168678124},{0: 1.841334989180934},{0: 1.0028790786948176},{0: 0.24670973917205072},{0: 0.1978886756238004},{0: 0.41293665766716003},{0: 0.29225417971611023},{0: 1155.7524025383807},{0: 2306.999403526444},{0: 4226.00630725426},{0: 21.73648503960018},{0: 32.547286716169275},{0: 49.32729259829898},{0: 0.3660134702495172},{0: 0.2875795014274584},{0: 0.15498239172400013},{0: 0.10893503133324947},{0: 0.06853307093153414},{0: 0.020212477562303478},{0: 0.3300103506141221},{0: 0.2613816709383301},{0: 0.13854691510252817},{0: 0.7939541895009585},{0: 0.5813512367564765},{0: 0.19654681038094116},{0: 46.440621025608856},{0: 40.74878899631961},{0: 507571.08943367004},{0: 20682907.22396469},{0: 1057622046.6166382},{0: 61301636183.17627},{0: 23571916.60794449},{0: 859346630.8928471},{0: 40315046606.62311},{0: 2183557507090.6724},{0: 1383034326.366785},{0: 47407363549.28502},{0: 2077715840074.6604},{0: 104987655441127.7},{0: 90621292660.6059},{0: 3004268079507.6387},{0: 125408407487469.34},{0: 5980531045195855.0},{0: nan},{0: nan},{0: 0.0008338312673889423},{0: 3.800820314093851e-06},{0: nan},{0: -0.00039273783849223473},{0: -3.0271536751303573e-06},{0: -6.988650999021851e-07},{0: 0.0011192083955425852},{0: 2.4416549091698475e-06},{0: 7.563924479819757e-07},{0: 5.9456533452980765e-09},{0: -2.119626797464881e-06},{0: -7.358285541653862e-07},{0: -7.087643485844786e-09},{0: -1.0865683480983792e-09},{0: 507571.08943367004},{0: -2.779975454480707e-10},{0: 214818624.31684634},{0: 697620978.205517},{0: -1.5052137314341962e-09},{0: -101180425.20312482},{0: -555618454.3089454},{0: -91386908298.99013},{0: 288339880.3299798},{0: 448153173.6344304},{0: 98909456619.67137},{0: 553909297688.9982},{0: -389046573.5501658},{0: -96220424532.14853},{0: -660299448607.9424},{0: -72118146926135.89},{0: 0.0019530396629315275},{0: 6.984121444074313e-07},{0: 6.08867296637337e-11},{0: 6.545784614614883e-11},{0: 4.130668878031214e-21},{0: 4.691128223179084e-14},{0: -1.2010536135166725e-22},{0: 5210.0},{0: 219614.0},{0: 11524990.0},{0: 681538394.0},{0: 233403.0},{0: 8822990.0},{0: 427670832.0},{0: 23825170676.0},{0: 13289445.0},{0: 469388186.0},{0: 21218074192.0},{0: 1105385969960.0},{0: 852255507.0},{0: 28896613748.0},{0: 1237192724514.0},{0: 60678273591926.0},{0: nan},{0: nan},{0: 0.08354423226445515},{0: 0.002323131090566031},{0: nan},{0: -0.03741168202312248},{0: -0.0015442454676372725},{0: -0.006444288775905669},{0: 0.1043768109902902},{0: 9.882378274532038e-05},{0: 0.006924473299627016},{0: 0.0001415606442257308},{0: 0.0015569752767105702},{0: -0.006645408829225996},{0: -0.00018675923199156245},{0: -0.0009351659993581374},{0: 5210.0},{0: -1.4338752407638822e-11},{0: 2267732.995009597},{0: 4551641.256799353},{0: -2.0612844764400506e-11},{0: -1015506.4380038389},{0: -3025593.9536372186},{0: -911356222.7923381},{0: 2833214.595201536},{0: 193622.48153933493},{0: 979264283.5574337},{0: 1445022342.054785},{0: 3050535.087783498},{0: -939798773.7852595},{0: -1906400357.8739526},{0: -689032332783.7827},{0: 0.18792104325474535},{0: 0.006032532143565018},{0: 4.2419880388035194e-05},{0: 5.866027456395646e-06},{0: 2.7403518105912486e-11},{0: -1.2681148877007165e-07},{0: 8.838308356466052e-11}
4,{0: 4523.0},{0: 320.48127676088177},{0: 0.7589723146792758},{0: 0.9522105263157895},{0: 75.88716927674362},{0: 94.27100353977374},{0: 61.3820088231438},{0: -0.4701551815294685},{0: 62},{0: 93},{0: 0.6666666666666666},{0: 27.662465340259878},{0: 46.46251588610198},{0: 37.260663241296335},{0: 37.491477255222364},{0: 27.662465340259878},{0: 31.518257888782404},{0: 43.392235466785905},{0: 5.964979594203557},{0: 92.70382947861431},{0: 45.49922617731594},{0: 36.32323678974132},{0: 6808.0},{0: 4750.0},{0: 0.04778947368421053},{0: 0.6511228958886197},{0: 1.8070446037537524},{0: 0.6643654524089306},{0: 0.02605164810340478},{0: 0.08796121772823472},{0: 105},{0: 0.25641025641025633},{0: 0.0821834607498427},{0: 0.06789082782797856},{0: 0.05868865409133358},{0: 12.16315219097672},{0: 148},{0: 0.3090169943749474},{0: 0.06602420919895127},{0: 0.04716846788776005},{0: 0.05585718203454388},{0: 5.546033572711907},{0: 84},{0: 5},{0: 0.24350255980560745},{0: 5.88901712209727},{0: 0.15713375561549903},{0: 5},{0: 0.21774671190958023},{0: 5.875456781582156},{0: -0.07740354705998434},{0: 0.46180544927879236},{0: 0.2621057955366119},{0: 0.32763224442076483},{0: 20.949874877929688},{0: 97.87022399902344},{0: 128.6289825439453},{0: 150.0},{0: 150.0},{0: 120.532958984375},{0: 150.0},{0: 30.33574867248535},{0: -0.541417504857097},{0: -0.7361117718976975},{0: 5.969566542527321},{0: 1.6426046572714506},{0: 1.5995599559955995},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 945.6893784406406},{0: 2185.802896074644},{0: 5490.6152164078685},{0: 18.235501114149088},{0: 29.98420794081089},{0: 54.60861725019345},{0: 0.44473351376258236},{0: 0.3466309484514807},{0: 0.17853466187413888},{0: 0.10901646933577885},{0: 0.0660349132855455},{0: 0.021049831853462094},{0: 0.33011918593447154},{0: 0.2564321441332926},{0: 0.14441004597524804},{0: 0.8756450140946416},{0: 0.7014768296973383},{0: 0.19103951664013757},{0: 45.143776235529785},{0: 36.934569799815044},{0: 545170.5810432434},{0: 20135640.878347397},{0: 903334488.7580357},{0: 45125749657.4355},{0: 24611058.720809937},{0: 834689785.6623707},{0: 35229977576.76276},{0: 1682696034035.0493},{0: 1368029364.0831108},{0: 43736360645.70656},{0: 1743506874781.8958},{0: 79066380105198.0},{0: 85307552665.25882},{0: 2620976774990.2935},{0: 99595916043934.34},{0: 4300666440050976.5},{0: nan},{0: nan},{0: 0.0005371041968467149},{0: -1.3895014118094711e-07},{0: nan},{0: -0.0002500213313126871},{0: -2.7708018091322096e-07},{0: -2.691117852886988e-07},{0: 0.0008646828978509283},{0: -3.7380380538670226e-07},{0: 3.648534732074141e-07},{0: -4.922845533851751e-10},{0: 1.577828646973537e-06},{0: -3.974221561765741e-07},{0: 3.2529248162439124e-10},{0: -3.3330987993199313e-10},{0: 545170.5810432434},{0: -7.185008144006133e-10},{0: 159633255.27270466},{0: -30492288.66120878},{0: -1.4788383850827813e-09},{0: -74309080.50873065},{0: -60804607.94713023},{0: -43604363704.92944},{0: 256993236.2713831},{0: -82030384.70947988},{0: 59117453840.51344},{0: -58895166113.93606},{0: 346250864.8968444},{0: -64394579463.43736},{0: 38916830944.913315},{0: -29442713656077.246},{0: 0.0014017870946976432},{0: 3.573504697970817e-07},{0: 6.76884451765909e-12},{0: 1.954863181678965e-12},{0: 5.254813495650811e-24},{0: 1.1351405970529403e-15},{0: 4.790983392414515e-24},{0: 4523.0},{0: 164290.0},{0: 7329642.0},{0: 365725840.0},{0: 205793.0},{0: 6890605.0},{0: 290148037.0},{0: 13868837089.0},{0: 11578671.0},{0: 367360983.0},{0: 14669247003.0},{0: 667701122247.0},{0: 729952679.0},{0: 22345889125.0},{0: 853592535253.0},{0: 37121913358285.0},{0: nan},{0: nan},{0: 0.06658171804685689},{0: 0.00039099390834766983},{0: nan},{0: -0.028569573024740003},{0: -0.0006438530586368867},{0: -0.003906810250898746},{0: 0.10828525513964178},{0: -2.079386556905301e-05},{0: 0.005611500719092278},{0: 2.3442921803565635e-05},{0: 0.0011250624824705752},{0: -0.005777844797017098},{0: -5.535191536759523e-05},{0: -0.0006060266756370483},{0: 4523.0},{0: -6.821210263296962e-13},{0: 1362097.4278133982},{0: 537943.2476395384},{0: -1.9554136088117957e-11},{0: -584462.8686712363},{0: -885835.8096407952},{0: -361494822.7557837},{0: 2215248.747291621},{0: -28608.93568001548},{0: 519228815.2145502},{0: 145883037.04413745},{0: 1547900.7541965693},{0: -534620533.54847074},{0: -344449620.55910087},{0: -253628522662.2261},{0: 0.1748669731864987},{0: 0.005004067017313091},{0: 9.548485311068975e-06},{0: 3.6861058125964017e-07},{0: -3.577362683097422e-13},{0: -1.641637704950749e-08},{0: -5.918242399832543e-13}
