label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4386.0},{0: 391.5939751330899},{0: 0.8339858363424143},{0: 0.8814308681672026},{0: 74.72903480715125},{0: 102.58416346613882},{0: 56.604489883041715},{0: -1.3333458025965588},{0: 56},{0: 99},{0: 0.5656565656565656},{0: 20.09140332540851},{0: 51.40650659078846},{0: 36.658492360429115},{0: 36.6820448779288},{0: 20.09140332540851},{0: 30.41601071525446},{0: 43.85503011959748},{0: 8.166468531283828},{0: 98.49365461794989},{0: 34.55403556771546},{0: 50.707934336525305},{0: 6370.0},{0: 4976.0},{0: 0.11856913183279742},{0: 0.5517858504712166},{0: 2.7822330888183724},{0: 0.6885400313971742},{0: 0.024988991774589454},{0: 0.1299795785601754},{0: 140},{0: 0.45902906222806117},{0: 0.10998665905918317},{0: 0.08379520495223358},{0: 0.08856450652045464},{0: 19.79759863065297},{0: 180},{0: 0.38742588672279304},{0: 0.1071872253408615},{0: 0.07650849250048597},{0: 0.09297757826321762},{0: 11.576220336813043},{0: 108},{0: 5},{0: 0.2770694240735587},{0: 9.18333119188254},{0: 0.15130931147360088},{0: 4},{0: 0.22450128889729773},{0: 7.377602422415167},{0: -0.08992907014441663},{0: 0.4596597788278636},{0: 0.2757958672967181},{0: 0.35751316131056055},{0: 17.445640563964844},{0: 94.32364654541016},{0: 126.4179458618164},{0: 150.0},{0: 150.0},{0: 118.65538024902344},{0: 150.0},{0: 31.876216888427734},{0: -0.6587796049807277},{0: -0.6761829979701139},{0: 6.093707355263138},{0: 1.7065961510618137},{0: 1.6605922551252847},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 1104.784931866161},{0: 2593.907607612602},{0: 5480.798237973692},{0: 19.750698970235383},{0: 32.63984732114123},{0: 55.25207810935055},{0: 0.43082649039779986},{0: 0.32273652731701596},{0: 0.17020442128554708},{0: 0.09587296113382818},{0: 0.05399832004298854},{0: 0.020215318801347262},{0: 0.3095606467760049},{0: 0.23167189907534508},{0: 0.14014381927978486},{0: 0.8492318253654476},{0: 0.6302469690627649},{0: 0.17525033422197867},{0: 35.4597959222362},{0: 52.16529036805441},{0: 520422.49667549133},{0: 27147990.653144836},{0: 1748290929.9633522},{0: 124152202233.74591},{0: 18454075.525453568},{0: 907038383.717804},{0: 56160367860.356735},{0: 3885657206252.003},{0: 764298021.7375011},{0: 36223384796.64041},{0: 2173413811820.0767},{0: 146746207474898.78},{0: 34676643686.496864},{0: 1601748477746.5686},{0: 93470462294800.3},{0: 6163516884446365.0},{0: nan},{0: nan},{0: 0.0012262170865409087},{0: -8.685100709654987e-06},{0: nan},{0: -0.00020537554207892362},{0: -1.556203710494178e-07},{0: -4.1079938112388887e-07},{0: 0.0004058501038953943},{0: 1.5271194293094095e-06},{0: 4.156961053045396e-07},{0: 7.545118809977391e-10},{0: -1.1296127626907821e-06},{0: -2.0635539211879588e-07},{0: -2.009037463351212e-09},{0: -3.359621224902398e-10},{0: 520422.49667549133},{0: 0.0},{0: 332108114.6328248},{0: -1696934242.445054},{0: -1.280568540096283e-09},{0: -55623824.541487664},{0: -30405811.66343808},{0: -57902586791.08032},{0: 109920269.67138398},{0: 298375498.28495073},{0: 58592784999.47685},{0: 76720654533.96814},{0: -220708848.6126598},{0: -29086000493.1764},{0: -204283952384.87952},{0: -24644190868412.773},{0: 0.001632067190436303},{0: 8.417184393517525e-07},{0: 1.7643817408352798e-10},{0: 5.2888520217841365e-11},{0: 4.265392503421251e-21},{0: 3.312023894097182e-14},{0: 2.812224765897436e-21},{0: 4386.0},{0: 222405.0},{0: 14051437.0},{0: 986099991.0},{0: 151554.0},{0: 7226267.0},{0: 437815489.0},{0: 29891401427.0},{0: 6226136.0},{0: 286947901.0},{0: 16840979679.0},{0: 1120749830821.0},{0: 281705856.0},{0: 12691681613.0},{0: 724696570291.0},{0: 47060408794541.0},{0: nan},{0: nan},{0: 0.14418773408722904},{0: -0.006060009445650939},{0: nan},{0: -0.023845889474518607},{0: -0.0009391985968532972},{0: -0.0054729492043746625},{0: 0.051428699864077096},{0: 0.0023036673262062297},{0: 0.006163517335337431},{0: 0.0002960056153121475},{0: -0.0014153871103171009},{0: -0.003012271816624996},{0: -0.00038487498565855467},{0: -0.0005678944393222803},{0: 4386.0},{0: 2.1827872842550278e-11},{0: 2773738.863885089},{0: -7720490.082928948},{0: -3.637978807091713e-12},{0: -458723.28043775656},{0: -1196544.909366521},{0: -461771685.1647991},{0: 989333.6935704517},{0: 2934886.6376943756},{0: 520037310.8170326},{0: 1654017672.5940008},{0: -1803212.0653790263},{0: -254155809.05181962},{0: -2150601188.248768},{0: -210156160581.96838},{0: 0.19561643395130612},{0: 0.010878744209335703},{0: 0.00017021332655148142},{0: 1.9654179970725492e-05},{0: -1.4322146088064692e-12},{0: -4.905534661779682e-08},{0: 1.1367862914814776e-09}
2,{0: 4171.0},{0: 272.9482681718907},{0: 0.7498755723659281},{0: 0.9527181361352216},{0: 72.87442720934665},{0: 90.38328030104309},{0: 59.795670138306704},{0: -0.7137842904794075},{0: 59},{0: 89},{0: 0.6629213483146067},{0: 24.01749577067742},{0: 46.25046234713453},{0: 37.27490677554511},{0: 36.3314317823331},{0: 24.01749577067742},{0: 31.170695624285194},{0: 41.52231419279762},{0: 5.868670771771916},{0: 88.72992730753249},{0: 40.376888036442104},{0: 38.75833133541117},{0: 6640.0},{0: 4378.0},{0: 0.04728186386477844},{0: 0.6615788886964818},{0: 1.4213814140782515},{0: 0.6281626506024096},{0: 0.024108755929856326},{0: 0.05052614839489621},{0: 75},{0: 0.14999999999999988},{0: 0.05421456296084381},{0: 0.046263038037944106},{0: 0.028102485322933253},{0: 7.5358242515572895},{0: 139},{0: 0.12891076630320458},{0: 0.0496291007983906},{0: 0.03370623582501704},{0: 0.039621722575501915},{0: 2.1836804351291863},{0: 44},{0: 6},{0: 0.17353965712857475},{0: 8.38820729326874},{0: 0.11015981081705677},{0: 6},{0: 0.170398851320788},{0: 6.98485169543729},{0: -0.07197294020002554},{0: 0.5092540096735986},{0: 0.16120270809811754},{0: 0.274777343349064},{0: 22.870222091674805},{0: 145.03204345703125},{0: 150.0},{0: 150.0},{0: 150.0},{0: 140.22865295410156},{0: 150.0},{0: 20.814125061035156},{0: 5.0153034755412556},{0: -2.3497070074241337},{0: 3.101365618137831},{0: 1.1127052068070338},{0: 3.609580838323353},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 625.8046665881649},{0: 2478.844910715932},{0: 6794.12924166079},{0: 9.392750050448779},{0: 23.26341792533996},{0: 53.108735582268864},{0: 0.7476556746551317},{0: 0.6313266186930857},{0: 0.42966594471186415},{0: 0.2746634554157726},{0: 0.20059336558908658},{0: 0.13527217589646778},{0: 0.5240613094559851},{0: 0.4477247011495288},{0: 0.3673610695552557},{0: 0.9349700255592936},{0: 0.7332536871094829},{0: 0.20828867913688226},{0: 40.29167569788987},{0: 38.757839291503515},{0: 584893.6826324463},{0: 22669215.354084015},{0: 1080110768.8452911},{0: 57806086640.37428},{0: 23566346.578371048},{0: 830852959.8326435},{0: 37384194313.404945},{0: 1929870064394.441},{0: 1173500786.5181332},{0: 38365029871.58422},{0: 1619964683291.603},{0: 79354186657017.19},{0: 65320102599.636185},{0: 2016025530824.3193},{0: 80304923867797.44},{0: 3726345699890260.0},{0: nan},{0: nan},{0: 0.0005890108100272633},{0: 1.2377769055629478e-06},{0: nan},{0: -0.00024123812913216366},{0: 1.0010714685077375e-06},{0: -2.8874451778452494e-07},{0: 0.0006546997570750806},{0: -1.7848111277817808e-06},{0: 3.0308382295087647e-07},{0: -1.9906081918218653e-09},{0: -4.0977343358279555e-08},{0: -2.861919504636712e-07},{0: 2.3981464041738753e-09},{0: -2.7106408583059867e-10},{0: 584893.6826324463},{0: 5.175024853087962e-10},{0: 201500963.2872189},{0: 323843140.1078296},{0: -1.8267201085109264e-09},{0: -82527713.53973538},{0: 261913214.22858378},{0: -57775609956.872246},{0: 223973192.7983303},{0: -466965280.67581886},{0: 60644797253.31099},{0: -304617636499.2739},{0: -10721020.473706923},{0: -57264860402.041374},{0: 366982157824.8838},{0: -31723398212686.566},{0: 0.001243710567102344},{0: 2.370983775529968e-07},{0: 5.2724339897146486e-11},{0: 1.2210271694250665e-12},{0: 8.822881173665791e-24},{0: 5.4769087441424945e-16},{0: -4.258894185383168e-24},{0: 4171.0},{0: 161661.0},{0: 7711089.0},{0: 413240169.0},{0: 168412.0},{0: 5934750.0},{0: 267332164.0},{0: 13820525508.0},{0: 8416260.0},{0: 274865542.0},{0: 11613641708.0},{0: 569556085336.0},{0: 470472064.0},{0: 14497345140.0},{0: 577315191622.0},{0: 26796726487614.0},{0: nan},{0: nan},{0: 0.08308089759669908},{0: 0.002074027474203338},{0: nan},{0: -0.03406391259736337},{0: 0.0017089833407843086},{0: -0.005751981928790887},{0: 0.0929059689410932},{0: -0.0030959351641310037},{0: 0.006043039950575883},{0: -0.00047336647245622493},{0: 0.00011280088525654056},{0: -0.005754792059055468},{0: 0.0005600889022504011},{0: -0.0007669551643622606},{0: 4171.0},{0: 9.251266419596504e-12},{0: 1445378.3979860947},{0: 2330316.872773922},{0: 5.314859663485549e-12},{0: -592618.0968592665},{0: 1920163.9148241957},{0: -417386196.6804018},{0: 1616307.532006713},{0: -3478502.5944556356},{0: 438506499.60035515},{0: -2218391328.6620593},{0: 126739.78982757709},{0: -417590110.6700197},{0: 2624808549.6740427},{0: -232129713580.8559},{0: 0.17598686653779227},{0: 0.004737932592685678},{0: 0.00015423293992988005},{0: 4.363193092984554e-06},{0: 1.017804141055817e-10},{0: 2.760146365367257e-07},{0: -4.951732773664657e-11}
3,{0: 5331.0},{0: 571.0153313703994},{0: 0.8643948208339896},{0: 0.7607020547945206},{0: 82.38713499681339},{0: 133.71228836137527},{0: 67.23236736270593},{0: 0.2350716386674584},{0: 58},{0: 118},{0: 0.4915254237288136},{0: 0.29293304738359577},{0: 80.23500052300199},{0: 43.02898525453567},{0: 41.26454348509722},{0: 0.29293304738359577},{0: 26.8583343706065},{0: 54.51316808163458},{0: 18.756901915884995},{0: 135.5949851580065},{0: 52.095666854248734},{0: 43.72312886888014},{0: 10640.0},{0: 7008.0},{0: 0.23929794520547945},{0: 0.5028136769374667},{0: 4.867175332059468},{0: 0.5010338345864662},{0: 0.01108043694791629},{0: 0.1286528489262385},{0: 217},{0: 0.4444444444444444},{0: 0.09690602010028079},{0: 0.06684314918413978},{0: 0.08277753619744362},{0: 24.42031706527076},{0: 252},{0: 0.4590290622280629},{0: 0.09880510284514657},{0: 0.06794871022155868},{0: 0.09939269471884778},{0: 19.168189951958436},{0: 194},{0: 11},{0: 0.3892777139139749},{0: 8.13520592969124},{0: 0.21004826382396533},{0: 3},{0: 0.38219519748855973},{0: 11.20622074285514},{0: -0.15952132946055075},{0: 0.44131914881377443},{0: 0.3397456939280644},{0: 0.3800248225896391},{0: 13.854429244995117},{0: 86.80934143066406},{0: 122.87022399902344},{0: 150.0},{0: 150.0},{0: 115.72146606445312},{0: 150.0},{0: 34.49082946777344},{0: -0.9109649737889858},{0: -0.5714636269933231},{0: 4.7585487919996785},{0: 1.8718937919635614},{0: 1.7268475210477081},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 769.6934743720631},{0: 2054.0375116248915},{0: 5197.20223592898},{0: 13.671631799939965},{0: 24.73521261166399},{0: 49.84951177574833},{0: 0.607091512094379},{0: 0.5225814377855843},{0: 0.3437568614644893},{0: 0.2375298300384412},{0: 0.17790816311617796},{0: 0.0850890490237281},{0: 0.4873530710943178},{0: 0.421647435479151},{0: 0.28989752895804355},{0: 0.9026358770052845},{0: 0.7417489607647796},{0: 0.3485406138376378},{0: 48.8672062990088},{0: 42.98804991382902},{0: 616911.1400165558},{0: 26519806.879428864},{0: 1360034139.223133},{0: 76092875264.89355},{0: 30146723.947345734},{0: 1430822305.0617332},{0: 75928169718.44034},{0: 4289424254990.4585},{0: 2034099684.9370918},{0: 100514595834.96371},{0: 5348859189622.861},{0: 299485901449594.9},{0: 164461239593.523},{0: 8189379202967.354},{0: 431297121856102.0},{0: 2.3769247048777828e+16},{0: nan},{0: nan},{0: 0.0005780643502644209},{0: -4.3055743730538866e-06},{0: nan},{0: 0.00035438977342700553},{0: -7.121581327820202e-06},{0: 4.165049851247217e-07},{0: 0.0014738411310819199},{0: -3.651750967029937e-07},{0: 6.331923677724601e-07},{0: -6.262303332679768e-09},{0: 3.4256261998533395e-05},{0: 7.210009235234607e-07},{0: -5.912726559337423e-09},{0: 7.085704877118091e-10},{0: 616911.1400165558},{0: -2.7030182536691427e-09},{0: 219999357.38513887},{0: -1287026909.1072936},{0: 3.245077095925808e-09},{0: 134873431.2748102},{0: -2128790728.0532157},{0: 97788557968.59451},{0: 560913506.562879},{0: -109158531.5385583},{0: 148663211180.16702},{0: -1154817202145.1174},{0: 10239918574.736065},{0: 169279223835.15125},{0: -1090352539563.3107},{0: 102629806614109.48},{0: 0.002051905481346341},{0: 1.304784487090339e-06},{0: 3.104000721563928e-09},{0: 7.581067957108104e-10},{0: 9.796843392987443e-19},{0: 4.603496698806694e-13},{0: 6.266122795133945e-19},{0: 5331.0},{0: 233088.0},{0: 11938866.0},{0: 663901080.0},{0: 277722.0},{0: 13151053.0},{0: 687144637.0},{0: 38141122459.0},{0: 20183706.0},{0: 978262475.0},{0: 50668699767.0},{0: 2759429777141.0},{0: 1736654466.0},{0: 84107869633.0},{0: 4286649146461.0},{0: 228416513174383.0},{0: nan},{0: nan},{0: 0.06149037060109643},{0: -0.0052618346707606475},{0: nan},{0: 0.0354747986528318},{0: -0.01107458751065945},{0: 0.005194434274823049},{0: 0.20111476070669543},{0: -0.004470196726509704},{0: 0.008978803341100966},{0: -0.001421503010960102},{0: 0.04320714149331985},{0: 0.009353625353127289},{0: -0.0018860589565269637},{0: 0.0011677215341721755},{0: 5331.0},{0: -2.0662582755903713e-11},{0: 1747529.3382104668},{0: -10918397.579741657},{0: -4.907008133159252e-11},{0: 1008178.2042768712},{0: -22979959.850304775},{0: 786981100.9830179},{0: 5715593.209904334},{0: -9275735.20903443},{0: 1360330724.2019825},{0: -15724548079.872955},{0: 89655562.86473411},{0: 1417118013.0751667},{0: -20863427312.30111},{0: 943135341703.1986},{0: 0.26260513130779184},{0: 0.024528815670196314},{0: 0.005908085306466029},{0: 0.0011272134605660403},{0: 2.0760546816033604e-06},{0: 8.656414989134456e-05},{0: 2.0376078294095177e-06}
4,{0: 6809.0},{0: 513.7544007200504},{0: 0.7945503247489643},{0: 0.7929428205426808},{0: 93.11008570558683},{0: 131.9798650497088},{0: 80.13795033562337},{0: -0.054000702907915185},{0: 74},{0: 132},{0: 0.5606060606060606},{0: 21.67676948805872},{0: 72.80300507298827},{0: 44.66789105327451},{0: 45.65502691020542},{0: 21.67676948805872},{0: 36.178146574015},{0: 56.590874364901794},{0: 12.945554415633218},{0: 133.9290857132983},{0: 70.5987663386694},{0: 41.22103098839771},{0: 12052.0},{0: 8587.0},{0: 0.2070571794573192},{0: 0.6071983048735523},{0: 3.0847353599828717},{0: 0.5649684699634915},{0: 0.023391095631783314},{0: 0.08182991243710015},{0: 180},{0: 0.38742588672279304},{0: 0.0727588281613959},{0: 0.06789082782797856},{0: 0.04287785679820496},{0: 18.55350118115595},{0: 255},{0: 0.38742588672279304},{0: 0.06890840336939201},{0: 0.037562556751545254},{0: 0.071248375141086},{0: 8.682458824543394},{0: 126},{0: 10},{0: 0.2217085574135659},{0: 8.501384558603457},{0: 0.12191555794326829},{0: 4},{0: 0.18570025067929818},{0: 7.670576791740155},{0: -0.05016805441901641},{0: 0.49634611332303097},{0: 0.24525337364196825},{0: 0.3503619623456689},{0: 20.867475509643555},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 141.6814727783203},{0: 150.0},{0: 20.241201400756836},{0: 6.958198526917476},{0: -2.708220101670464},{0: 2.5653043517005005},{0: 1.0341938113961837},{0: 3.9185022026431717},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 489.9504236975782},{0: 2187.06573957351},{0: 7365.65780035299},{0: 7.150938289320525},{0: 19.570811311894957},{0: 54.56472504548631},{0: 0.8159173456424971},{0: 0.7307569100533184},{0: 0.5041578053778575},{0: 0.3293214904748385},{0: 0.2667195546437554},{0: 0.173545181968258},{0: 0.5738468590129899},{0: 0.5162893898319646},{0: 0.41611867091338695},{0: 0.952426304825917},{0: 0.7855765074616414},{0: 0.255855044100866},{0: 70.56852518673108},{0: 41.07725097029412},{0: 964709.1140842438},{0: 39627598.39256859},{0: 2011300649.9168987},{0: 114770571912.60742},{0: 68078099.41512299},{0: 2771634283.6301327},{0: 142399600317.247},{0: 8348110763522.08},{0: 5814435943.535461},{0: 241777389052.07272},{0: 12664948274930.285},{0: 757688287245935.1},{0: 548267405924.035},{0: 23322268521842.562},{0: 1237755212452200.2},{0: 7.482510266824346e+16},{0: nan},{0: nan},{0: 0.0004120799551770429},{0: 7.055884499753138e-07},{0: nan},{0: -2.6676545241671464e-05},{0: 2.7401121883057857e-06},{0: 7.343780903543616e-08},{0: 0.0010855316454837578},{0: 7.0455963891956725e-06},{0: 3.8920373929175804e-07},{0: 6.03635761141255e-09},{0: -5.070120002569029e-06},{0: -2.134029547160451e-07},{0: 7.576208073899975e-10},{0: 1.4354516769505075e-11},{0: 964709.1140842438},{0: 2.2464519133791327e-09},{0: 383507845.39533484},{0: 644974310.4934425},{0: 5.980837158858776e-09},{0: -24826891.625507895},{0: 2504720661.7243156},{0: 65933913822.9991},{0: 1010264870.2945725},{0: 6440338802.733456},{0: 349434795823.8944},{0: 5323071456173.355},{0: -4634567293.286023},{0: -191597383018.7611},{0: 668096549945.2886},{0: 12432947596267.365},{0: 0.0014976116006608009},{0: 4.5638373144109526e-07},{0: 5.940701985355791e-10},{0: 6.550980282552194e-11},{0: -1.2348921798774969e-20},{0: -3.487828672755192e-14},{0: 3.810456485982111e-21},{0: 6809.0},{0: 280674.0},{0: 14316306.0},{0: 820441884.0},{0: 480707.0},{0: 19563020.0},{0: 1007331656.0},{0: 59202746798.0},{0: 41336427.0},{0: 1714458320.0},{0: 89821797168.0},{0: 5379177040970.0},{0: 3922929473.0},{0: 166125560198.0},{0: 8803634587346.0},{0: 532200691675856.0},{0: nan},{0: nan},{0: 0.059242609306487753},{0: 0.001011792486181338},{0: nan},{0: -0.00544013473609616},{0: 0.004551219628793161},{0: 0.0013085610901607684},{0: 0.15959253409318722},{0: 0.012060808440077415},{0: 0.008134380775300423},{0: 0.0014637386652331917},{0: -0.0104835724332817},{0: -0.005013819902060683},{0: 0.00011310069024269675},{0: -1.7923085344600715e-05},{0: 6809.0},{0: 1.801936377887614e-11},{0: 2746634.3483624617},{0: 3870791.559322808},{0: -2.6830093702301383e-11},{0: -252218.14333969823},{0: 17411497.677992724},{0: 413089356.271561},{0: 7399105.829637244},{0: 46140761.21938492},{0: 2567878674.8303666},{0: 38128982386.51814},{0: -40106765.21175825},{0: -1582773361.8071504},{0: 2946164044.576774},{0: -38525307114.413895},{0: 0.21883514339967497},{0: 0.01018848766848376},{0: 0.0018195793497264526},{0: 0.0002060857047741442},{0: -9.840121497969159e-08},{0: -1.192993567607767e-05},{0: 7.901575968541444e-08}
5,{0: 4502.0},{0: 292.36857838867365},{0: 0.800151976449635},{0: 0.9564478436371362},{0: 75.7107946755131},{0: 98.6300201712236},{0: 59.15802090731652},{0: 1.0189226005096117},{0: 62},{0: 102},{0: 0.6078431372549019},{0: 26.02075798371371},{0: 54.916728422387855},{0: 37.490483985104945},{0: 38.26634735699993},{0: 26.02075798371371},{0: 31.997003714475998},{0: 44.43392611894103},{0: 7.380870449639463},{0: 101.78899744078434},{0: 36.358507330075525},{0: 43.42647712127943},{0: 6750.0},{0: 4707.0},{0: 0.04355215636286382},{0: 0.5997973112508449},{0: 1.5109358901950136},{0: 0.666962962962963},{0: 0.02125100012359582},{0: 0.05040257128243888},{0: 106},{0: 0.17932362480912517},{0: 0.06078366728208762},{0: 0.054669086858868565},{0: 0.0325872857696716},{0: 7.415607408414689},{0: 122},{0: 0.11654689095463854},{0: 0.03669124817226776},{0: 0.03370623582501704},{0: 0.022686907118949814},{0: 2.421622379369672},{0: 66},{0: 6},{0: 0.17675552494413393},{0: 6.360330184132413},{0: 0.11529319760658878},{0: 4},{0: 0.18923305373715363},{0: 8.094966396509964},{0: -0.07268863946160725},{0: 0.41728150361566446},{0: 0.22574245277568733},{0: 0.3625560605185281},{0: 15.440604209899902},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 145.0172882080078},{0: 150.0},{0: 16.234643936157227},{0: 14.004347162625848},{0: -3.7026381361774234},{0: 2.028367310579159},{0: 1.0},{0: 0.8718347401155042},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 512.7139826062015},{0: 2235.994433850251},{0: 6646.37539226481},{0: 6.2994963221648606},{0: 18.530505603770067},{0: 48.39426991970738},{0: 0.8637238877716507},{0: 0.7738900789517771},{0: 0.5611544866140883},{0: 0.40051814178528705},{0: 0.3435478266262729},{0: 0.2622897026723721},{0: 0.6328535667623909},{0: 0.5859581817269641},{0: 0.5109040935158582},{0: 0.946205086339208},{0: 0.753565614957654},{0: 0.20429374536978873},{0: 36.3438028390948},{0: 43.34527290762844},{0: 652867.850564003},{0: 28298735.15531349},{0: 1547001103.532486},{0: 94785413387.08472},{0: 23727700.44088173},{0: 1140934742.8929672},{0: 66829095214.71362},{0: 4305509653569.69},{0: 1074254787.6669235},{0: 55380385490.42929},{0: 3372924188732.711},{0: 223185538117200.25},{0: 54358766129.285934},{0: 2949933876685.4814},{0: 184582407297685.38},{0: 1.2430283326625984e+16},{0: nan},{0: nan},{0: 0.0007516596013606336},{0: -1.2803890637902107e-07},{0: nan},{0: 0.00026382327698580305},{0: 2.4876465205813178e-06},{0: 4.147537869713764e-07},{0: 0.0004971417409564036},{0: 1.866195793217039e-06},{0: 3.7671184899289633e-07},{0: 4.077593292007606e-09},{0: -2.5039477936593844e-07},{0: 2.805177894124161e-07},{0: 3.4513696639965827e-09},{0: 4.0198501477278713e-10},{0: 652867.850564003},{0: -6.075424607843161e-10},{0: 320384705.2847236},{0: -44096605.926144764},{0: -2.219167072325945e-09},{0: 112451091.81249303},{0: 856745589.3202877},{0: 115416050572.02225},{0: 211899921.01841527},{0: 642717926.9316568},{0: 104829889877.4003},{0: 916837559812.74},{0: -86235974.86047328},{0: 78061385781.6558},{0: 776032604073.7563},{0: 73031630316470.72},{0: 0.0012488013423170373},{0: 3.4319022718285813e-07},{0: 9.228977527759648e-11},{0: 8.026484716833677e-12},{0: 1.8942478728874738e-22},{0: 3.598722116055357e-15},{0: 1.088185179092466e-22},{0: 4502.0},{0: 195506.0},{0: 10745614.0},{0: 662761232.0},{0: 163686.0},{0: 7890694.0},{0: 464805604.0},{0: 30138030256.0},{0: 7417804.0},{0: 383580176.0},{0: 23492379490.0},{0: 1563892560962.0},{0: 376095396.0},{0: 20479371952.0},{0: 1288273189594.0},{0: 87242989526614.0},{0: nan},{0: nan},{0: 0.11128264845058958},{0: 0.00016340400467792425},{0: nan},{0: 0.03860210733756789},{0: 0.004528526148134595},{0: 0.008902089803789833},{0: 0.07235174066322751},{0: 0.003351800908683553},{0: 0.008074920805765969},{0: 0.0010783868130557748},{0: -0.00017571619926325794},{0: 0.005993391392174597},{0: 0.0009218998715609551},{0: 0.0012612614515791407},{0: 4502.0},{0: 6.30961949354969e-12},{0: 2255477.1639271434},{0: 222216.5611994017},{0: -3.7829295251867734e-11},{0: 782387.6659262553},{0: 6158438.466202378},{0: 812285018.0655751},{0: 1466425.3691692578},{0: 4558184.930784101},{0: 736808697.4136474},{0: 6602277676.88483},{0: -238960.17496188846},{0: 546876311.3571417},{0: 5644207503.875589},{0: 518116096741.07983},{0: 0.18363438911381708},{0: 0.007476106344752539},{0: 0.00028722486897345904},{0: 3.130362003391396e-05},{0: 2.632398104916204e-09},{0: 2.10604037055764e-06},{0: 1.3715265936782696e-09}
