label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4914.0},{0: 315.445742854949},{0: 0.8977073864722884},{0: 0.9573348918760959},{0: 79.09929912981903},{0: 119.42271148060838},{0: 52.61670997327736},{0: -0.9078536545292855},{0: 53},{0: 118},{0: 0.4491525423728814},{0: 24.547506296198662},{0: 58.596049672984655},{0: 41.846883622840025},{0: 41.30716809707537},{0: 24.547506296198662},{0: 29.894940315867903},{0: 52.55052889686206},{0: 11.38225139430962},{0: 116.8289347721702},{0: 41.21815221815222},{0: 48.402116402116405},{0: 8686.0},{0: 5133.0},{0: 0.04266510812390415},{0: 0.440592156390798},{0: 1.6114035839287544},{0: 0.5657379691457518},{0: 0.01921947736194359},{0: 0.05331452518353181},{0: 90},{0: 0.15174115516527187},{0: 0.060683862917548015},{0: 0.057304942986567436},{0: 0.029950616863313833},{0: 8.010269905116338},{0: 132},{0: 0.1457557560588045},{0: 0.03909025078817611},{0: 0.03334291605556694},{0: 0.029868305686398398},{0: 3.205400564630441},{0: 82},{0: 6},{0: 0.19221339433895723},{0: 6.3726642116353025},{0: 0.11895860252951189},{0: 6},{0: 0.1808088335575976},{0: 8.42655959712364},{0: -0.07929443597697833},{0: 0.41845548082320255},{0: 0.2599496168750198},{0: 0.28531055510672904},{0: 13.10368537902832},{0: 140.33702850341797},{0: 150.0},{0: 150.0},{0: 150.0},{0: 139.2261962890625},{0: 150.0},{0: 21.820741653442383},{0: 4.519171700738647},{0: -2.2346227761982442},{0: 3.0757763678981997},{0: 1.1456126278433607},{0: 3.5025432349949135},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 492.36627176592594},{0: 1867.837479405889},{0: 6123.012060081751},{0: 8.200956031341843},{0: 18.626325868309227},{0: 47.25686381734053},{0: 0.7567179900055332},{0: 0.6787018491317531},{0: 0.5003439368794259},{0: 0.2836287805348465},{0: 0.2286539440211827},{0: 0.15722381084554582},{0: 0.5325468988236182},{0: 0.47782232982243744},{0: 0.3945708719835581},{0: 0.9509017168904106},{0: 0.8123236030690912},{0: 0.3730517881865586},{0: 40.7500515657642},{0: 49.151927688522385},{0: 684157.4936132431},{0: 33627659.65363884},{0: 2059076237.546711},{0: 141246205256.27213},{0: 27879453.14384365},{0: 1141882631.2926369},{0: 61525734124.065125},{0: 3840344320743.274},{0: 1429885588.7972078},{0: 51350602362.1409},{0: 2488443301888.843},{0: 142264588268208.38},{0: 82608817613.63013},{0: 2689457772898.6953},{0: 119359600451012.12},{0: 6307596635358288.0},{0: nan},{0: nan},{0: 0.0008678416923199425},{0: 2.7492250364005023e-07},{0: nan},{0: -0.00048805843831496113},{0: 1.9479497774754203e-07},{0: -8.457814111495495e-07},{0: 0.0006276742988673823},{0: -8.075195996706724e-07},{0: 6.691043206341533e-07},{0: -1.4798087080935893e-09},{0: 1.0240380648944108e-06},{0: -6.078482680340533e-07},{0: 1.862195918202692e-09},{0: -1.0028361297232263e-09},{0: 684157.4936132431},{0: -1.862645149230957e-09},{0: 406211941.9168131},{0: 106438932.60255623},{0: 1.3969838619232178e-09},{0: -228446233.62911427},{0: 75416778.30394459},{0: -270848478566.85565},{0: 293796435.5602721},{0: -312639100.4976597},{0: 214270359761.10614},{0: -391969150098.2041},{0: 396466339.1631856},{0: -194654051775.33655},{0: 493255207502.1919},{0: -219712276940287.3},{0: 0.0014955159911873247},{0: 1.0104845337195517e-06},{0: 7.469700254328718e-12},{0: 1.7692136525360921e-12},{0: 6.335275897741273e-24},{0: 9.786307394206828e-16},{0: -1.109200738184421e-24},{0: 4914.0},{0: 237848.0},{0: 14555506.0},{0: 1002406040.0},{0: 202546.0},{0: 8091388.0},{0: 433680742.0},{0: 27131871490.0},{0: 10535844.0},{0: 367145354.0},{0: 17626998652.0},{0: 1007740996064.0},{0: 616839100.0},{0: 19429724422.0},{0: 851494476220.0},{0: 44893860287344.0},{0: nan},{0: nan},{0: 0.12602433065616755},{0: 0.0019483497666152904},{0: nan},{0: -0.07090897373708821},{0: -0.0003046083818206268},{0: -0.01749754944869525},{0: 0.09058004187375487},{0: -0.000979969399491847},{0: 0.01383067457294813},{0: -6.716357630551257e-05},{0: 0.0013353843737197388},{0: -0.012593728162123277},{0: 0.00027804434301328224},{0: -0.0029439302370535057},{0: 4914.0},{0: -1.4551915228366852e-11},{0: 3043159.417989418},{0: 3298031.5368550494},{0: -1.8189894035458565e-11},{0: -1712267.068783069},{0: -515619.97073042765},{0: -2076264535.857348},{0: 2187272.140822141},{0: -1658824.3240799904},{0: 1641152048.5765774},{0: -558671923.0753479},{0: 2260446.1754329056},{0: -1494375611.5056605},{0: 2312794766.9859657},{0: -1716596105115.6965},{0: 0.21660437252992243},{0: 0.021368627833079325},{0: 2.895400939445116e-05},{0: 2.000259680905733e-06},{0: -1.4708632550953685e-11},{0: -2.875418660608683e-07},{0: 3.921535540153882e-12}
2,{0: 5727.0},{0: 318.33304448274095},{0: 0.7900502264835448},{0: 0.9623592673500252},{0: 85.39228813363813},{0: 109.65161593794276},{0: 67.22105898326635},{0: -0.1974118627197504},{0: 68},{0: 106},{0: 0.6415094339622641},{0: 28.013903187270625},{0: 54.14141670313181},{0: 42.79313997141627},{0: 42.33051760564258},{0: 28.013903187270625},{0: 35.38584972971565},{0: 49.99737207197738},{0: 7.6937854527673455},{0: 106.04244433244644},{0: 53.01292125021826},{0: 37.00349222978872},{0: 7526.0},{0: 5951.0},{0: 0.03764073264997479},{0: 0.6130421189716898},{0: 1.4080769799385726},{0: 0.7609619984055275},{0: 0.020115417063362572},{0: 0.043206410765522237},{0: 106},{0: 0.12891076630320464},{0: 0.05103989908409037},{0: 0.037562556751545254},{0: 0.024885658173681303},{0: 7.553905064445376},{0: 148},{0: 0.09805198742241039},{0: 0.042290107293414446},{0: 0.037562556751545254},{0: 0.01987471959610513},{0: 2.28366579384438},{0: 54},{0: 5},{0: 0.16436390716243085},{0: 7.2909746829637045},{0: 0.10136025895577924},{0: 6},{0: 0.17198911577655596},{0: 7.526936372682477},{0: -0.06726978307475363},{0: 0.4649218878312965},{0: 0.16963366177628386},{0: 0.3329845953386313},{0: 27.37697410583496},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 144.51869201660156},{0: 150.0},{0: 16.68120574951172},{0: 12.717476045940343},{0: -3.533445566091139},{0: 2.294520813243448},{0: 1.0},{0: 0.8482626156801117},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 494.0555106650686},{0: 2071.1639892876456},{0: 5091.12933372507},{0: 7.083439378408819},{0: 18.25836421653566},{0: 38.53335188740969},{0: 0.8191107927341946},{0: 0.7383490317373594},{0: 0.6067569185295136},{0: 0.4081775590010799},{0: 0.3690739386300318},{0: 0.33102975067931717},{0: 0.6388863385935392},{0: 0.6074821868295477},{0: 0.5748347861985186},{0: 0.9360813699681859},{0: 0.7038127749491067},{0: 0.17278995727160068},{0: 53.01331033079568},{0: 36.960646876178714},{0: 827658.5326499939},{0: 30590794.759332657},{0: 1371422636.2853909},{0: 68233534635.64328},{0: 43876918.639305115},{0: 1546355789.9792747},{0: 67434709291.843185},{0: 3292319379819.388},{0: 2926546546.392277},{0: 100862943952.91307},{0: 4304816146641.669},{0: 206083808774974.97},{0: 217685138698.17618},{0: 7419440124150.921},{0: 311416740207734.4},{0: 1.4656797711500308e+16},{0: nan},{0: nan},{0: 0.00035147521121510136},{0: -4.0588316960112963e-07},{0: nan},{0: -0.00011001672177749279},{0: 4.846324685004287e-07},{0: -8.747548881523962e-08},{0: 0.0008765978052250786},{0: 1.1014561426178679e-06},{0: 2.4365699471670655e-07},{0: 6.286847153548809e-10},{0: -1.8104376544094365e-06},{0: -1.7656513407594357e-07},{0: -9.512388260326888e-11},{0: -1.1472720170087178e-10},{0: 827658.5326499939},{0: 2.0586928416339856e-09},{0: 240767073.52403808},{0: -252946709.96498442},{0: 2.0954757928848267e-09},{0: -75363505.86290552},{0: 302023334.86717504},{0: -49595236795.93448},{0: 600485842.2077214},{0: 686428332.8616662},{0: 138144142017.70718},{0: 324273971376.7957},{0: -1128266167.650219},{0: -100105638196.52266},{0: -49064655830.11666},{0: -53835802071691.34},{0: 0.00122807301644018},{0: 3.241684550224324e-07},{0: 2.4421850299777737e-11},{0: 2.2415811517745634e-12},{0: 1.368599495640372e-23},{0: 1.074800587995461e-15},{0: 9.368177061738259e-24},{0: 5727.0},{0: 211919.0},{0: 9562479.0},{0: 479244923.0},{0: 303605.0},{0: 10717818.0},{0: 471447136.0},{0: 23235961362.0},{0: 20295307.0},{0: 700171934.0},{0: 30144425320.0},{0: 1457402107754.0},{0: 1512794759.0},{0: 51553879608.0},{0: 2180785873198.0},{0: 103595548777428.0},{0: nan},{0: nan},{0: 0.05246381415933026},{0: -0.0007842864987002504},{0: nan},{0: -0.015751537467579853},{0: 0.0011064113566669905},{0: -0.0018786588531042397},{0: 0.12806425080306144},{0: 0.0015916165487541796},{0: 0.005266572536601693},{0: 0.00012523744940337003},{0: -0.00340886498802177},{0: -0.0037125635339880403},{0: -2.6381677730899195e-07},{0: -0.0003625246723131307},{0: 5727.0},{0: -1.1425527191022411e-11},{0: 1720735.9301554041},{0: -1946671.6160653385},{0: 2.086153472191654e-11},{0: -516627.2584250044},{0: 2746215.301787505},{0: -352881972.8510985},{0: 4200319.043827484},{0: 3950539.4575252123},{0: 989258110.278258},{0: 1780243279.8672833},{0: -8461118.132440409},{0: -697357448.3967545},{0: -3750140.61016112},{0: -389983561484.9853},{0: 0.1805280649623917},{0: 0.006707869751093098},{0: 7.617131161279824e-05},{0: 5.9530745342588905e-06},{0: 1.2028481291390231e-10},{0: 4.6862340730832396e-07},{0: 4.001931937845781e-11}
3,{0: 4347.0},{0: 309.47518010647184},{0: 0.8253471635182863},{0: 0.9324324324324325},{0: 74.39605030486331},{0: 99.53240463488861},{0: 56.1985429369572},{0: -1.320576908138679},{0: 57},{0: 102},{0: 0.5588235294117647},{0: 24.314434302972362},{0: 52.53552346251496},{0: 37.47540067994313},{0: 37.97183646546613},{0: 24.314434302972362},{0: 30.91515131611019},{0: 44.62526893842665},{0: 7.8223503181874},{0: 102.45974819410792},{0: 30.222912353347137},{0: 46.107660455486545},{0: 6014.0},{0: 4662.0},{0: 0.06756756756756757},{0: 0.5646255924701954},{0: 1.7532834950932688},{0: 0.7228134353175922},{0: 0.020490178172394437},{0: 0.073694455024841},{0: 93},{0: 0.21993346892863908},{0: 0.0772590430697801},{0: 0.06789082782797856},{0: 0.043900643936680854},{0: 10.120934642141194},{0: 131},{0: 0.21501638046766652},{0: 0.0563919132271346},{0: 0.037562556751545254},{0: 0.03957632401900754},{0: 5.018880277214979},{0: 89},{0: 6},{0: 0.22887133288054085},{0: 7.294264447882132},{0: 0.1348632546600693},{0: 9},{0: 0.24706521684660826},{0: 7.101093243270673},{0: -0.10651817879408852},{0: 0.4232972736454366},{0: 0.2875836439270524},{0: 0.30050875151927947},{0: 19.196613311767578},{0: 150.0},{0: 150.0},{0: 150.0},{0: 150.0},{0: 139.10067749023438},{0: 150.0},{0: 24.030378341674805},{0: 4.411941579249772},{0: -2.2958745145835846},{0: 3.065890931984221},{0: 1.0976209837834494},{0: 3.7804597701149425},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 596.7371813219062},{0: 2411.725954734705},{0: 5887.788209385251},{0: 9.319665188671788},{0: 22.928696104860077},{0: 46.34643700450186},{0: 0.755133387348782},{0: 0.660598738461186},{0: 0.5067548493989523},{0: 0.3137149677043022},{0: 0.2697601703993463},{0: 0.22081598931019158},{0: 0.5600939919887283},{0: 0.5192098480483254},{0: 0.4692627417688219},{0: 0.9284251126301599},{0: 0.6844286281244891},{0: 0.17439101602196794},{0: 30.595650954285485},{0: 44.954507654726704},{0: 604670.6110897064},{0: 27182669.61482048},{0: 1563377559.7779255},{0: 101691693888.96379},{0: 18500290.959215164},{0: 781180486.8065853},{0: 42969112298.23874},{0: 2695129870963.38},{0: 692136643.0683651},{0: 27955453344.20936},{0: 1473776415039.5454},{0: 88824524283552.39},{0: 28977250377.163475},{0: 1133076735001.5176},{0: 57558249177088.766},{0: 3341231837383631.5},{0: nan},{0: nan},{0: 0.000933723309887712},{0: 2.51984108605246e-06},{0: nan},{0: -0.0001380944163435838},{0: -1.1390502261147343e-06},{0: -3.003644825381052e-07},{0: 0.00034490985144931336},{0: -2.447989171901085e-07},{0: 2.6828407058700967e-07},{0: 3.7791545737572165e-10},{0: 2.9599178352224965e-07},{0: -9.679619127571595e-08},{0: -3.932248265440638e-10},{0: -1.817262156697807e-10},{0: 604670.6110897064},{0: -1.862645149230957e-09},{0: 341394030.5025712},{0: 716424295.6873913},{0: -1.979060471057892e-09},{0: -50490984.73412402},{0: -323847111.03953457},{0: -66405669569.548325},{0: 126108198.3274945},{0: -69599584.19747281},{0: 59313215702.57295},{0: 64969671255.48572},{0: 84154396.16923833},{0: -21400053159.183147},{0: -67601595043.15759},{0: -24293664354061.453},{0: 0.0012786331613370253},{0: 4.229815601392881e-07},{0: 2.437749084593148e-11},{0: 5.8865644077283776e-12},{0: 6.891533769991172e-23},{0: 3.688549691815917e-15},{0: -1.4939049799969703e-23},{0: 4347.0},{0: 200430.0},{0: 11820468.0},{0: 786422340.0},{0: 131379.0},{0: 5617721.0},{0: 314068967.0},{0: 20032117115.0},{0: 4941137.0},{0: 200750969.0},{0: 10687810031.0},{0: 651397290263.0},{0: 209045991.0},{0: 8194557797.0},{0: 418630190399.0},{0: 24471484956875.0},{0: nan},{0: nan},{0: 0.13648675866969395},{0: 0.0028693065355151486},{0: nan},{0: -0.023277296918232798},{0: -0.002101671019427466},{0: -0.006919294299806518},{0: 0.05135795896085899},{0: -0.0003898945190213633},{0: 0.0058725810180790036},{0: 2.2483523842894038e-05},{0: 0.0008419120189687264},{0: -0.002370159872891104},{0: -7.045422352733942e-05},{0: -0.0006021179609982322},{0: 4347.0},{0: -1.4551915228366852e-11},{0: 2579109.6149068326},{0: 3574794.2278461233},{0: -1.3642420526593924e-11},{0: -439857.32298136654},{0: -2618417.1457762737},{0: -568369446.1549882},{0: 970480.9979296065},{0: -485759.41915392876},{0: 482389601.61575925},{0: 121766583.22206974},{0: 1048916.2410886614},{0: -194691307.50683105},{0: -381566970.21492386},{0: -215000833241.05652},{0: 0.18784471763055294},{0: 0.00941424274714522},{0: 6.739197902779424e-05},{0: 7.734476686770581e-06},{0: 1.6564140713896753e-10},{0: 6.790521152860005e-07},{0: -6.119405381604605e-11}
