label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4153.0},{0: 279.6051224213831},{0: 0.7097561877881188},{0: 0.952960073428178},{0: 72.71701196614951},{0: 86.7958898189261},{0: 61.1431398087417},{0: -1.4509615954611328},{0: 61},{0: 87},{0: 0.7011494252873564},{0: 27.52541847955199},{0: 43.494623814998064},{0: 37.03355834695516},{0: 36.306853476241734},{0: 27.52541847955199},{0: 32.316625593212336},{0: 40.79884612625599},{0: 4.64842617912877},{0: 86.28441342444185},{0: 30.501565133638334},{0: 43.14567782326029},{0: 5481.0},{0: 4358.0},{0: 0.04703992657182194},{0: 0.7044474103128471},{0: 1.4980228982392172},{0: 0.7577084473636198},{0: 0.02364799453911754},{0: 0.06428136745257902},{0: 84},{0: 0.17435455991009635},{0: 0.06989153911029747},{0: 0.06789082782797856},{0: 0.03551236853620399},{0: 9.016008545228374},{0: 129},{0: 0.12791897995841642},{0: 0.0569986528882608},{0: 0.05067930008603597},{0: 0.03166613449629764},{0: 3.6479137848486913},{0: 64},{0: 8},{0: 0.21099510662479037},{0: 7.270501635283116},{0: 0.12737421802421592},{0: 7},{0: 0.22978710647885542},{0: 6.6344713959372275},{0: -0.09094463759706897},{0: 0.4613649381057784},{0: 0.22889423285868074},{0: 0.30042368062701846},{0: 18.530555725097656},{0: 94.49073028564453},{0: 124.12222290039062},{0: 150.0},{0: 150.0},{0: 117.83901977539062},{0: 150.0},{0: 31.381135940551758},{0: -0.6555457449388307},{0: -0.6475985560657358},{0: 6.759294143378758},{0: 1.7075566119703356},{0: 1.4657039711191335},{0: 0.4276383636988656},{0: 0.2995424993980255},{0: 0.6162168383598328},{0: 0.3812711238861084},{0: 1062.0949756117182},{0: 2671.5330270658774},{0: 5307.730931946663},{0: 21.227490216150066},{0: 35.17307512983904},{0: 55.55646253064114},{0: 0.3449621556732514},{0: 0.2366915292470722},{0: 0.10212380166598777},{0: 0.05808762322187826},{0: 0.026951647143618595},{0: 0.008623976524577885},{0: 0.240928834420102},{0: 0.16315775647620323},{0: 0.09249731777922932},{0: 0.8341991861778449},{0: 0.5469508130020921},{0: 0.007923882314008954},{0: 30.033135565668015},{0: 43.28323544900901},{0: 489385.44733810425},{0: 21182185.542453766},{0: 1148092738.6300316},{0: 69657200558.73355},{0: 14697779.48377037},{0: 624650868.6494617},{0: 33572919996.317947},{0: 2029951207486.9573},{0: 556847265.2589436},{0: 23476395757.6072},{0: 1240040512532.078},{0: 73690486750104.9},{0: 23643495267.08445},{0: 991070647410.4047},{0: 51347817411506.07},{0: 2989226766490889.5},{0: nan},{0: nan},{0: 0.0009655993052044533},{0: -3.2983564639343503e-07},{0: nan},{0: -4.80863128000405e-05},{0: 5.314734875366536e-07},{0: -7.600729986328788e-08},{0: 0.00048195310846041293},{0: 3.9394280302349955e-07},{0: 3.1609875622189735e-07},{0: 5.780042466908682e-10},{0: -8.138362672389548e-08},{0: -6.040275970884517e-08},{0: 6.3538973822202e-11},{0: -7.016044455252182e-11},{0: 489385.44733810425},{0: 1.006468647248189e-09},{0: 231259214.47141063},{0: -55261824.125550315},{0: 6.898801530041965e-10},{0: -11516581.324185297},{0: 89044937.12789918},{0: -8908579437.04168},{0: 115426861.50857395},{0: 66002562.59216817},{0: 37048952992.908394},{0: 47392509623.00927},{0: -13635299.022079451},{0: -7079619774.030357},{0: 5209773882.362753},{0: -4024357326810.549},{0: 0.0014475524136648662},{0: 2.431628175397884e-07},{0: 5.093447562409742e-12},{0: 2.0669061033763957e-13},{0: -8.500255810186291e-26},{0: -1.0153974567522166e-16},{0: 1.942932487792153e-25},{0: 4153.0},{0: 179184.0},{0: 9672358.0},{0: 583892658.0},{0: 126673.0},{0: 5348476.0},{0: 285766310.0},{0: 17171667724.0},{0: 4848173.0},{0: 202500620.0},{0: 10631244402.0},{0: 628291392728.0},{0: 207441739.0},{0: 8600076796.0},{0: 443134782950.0},{0: 25687810722004.0},{0: nan},{0: nan},{0: 0.1125585219737601},{0: -0.0008537128061246102},{0: nan},{0: -0.006778783230910288},{0: 0.0007495637137293605},{0: -0.0012965927025436808},{0: 0.05707803646487604},{0: 0.00040952209980722526},{0: 0.0045423590623873585},{0: 5.700209193321184e-05},{0: -0.0004404453294855192},{0: -0.0009140300386851688},{0: -3.003208692831041e-07},{0: -0.0001379632586192007},{0: 4153.0},{0: -7.453593298123451e-12},{0: 1941342.8649169276},{0: -948891.6476160483},{0: -9.066525308298878e-12},{0: -116916.44690585119},{0: 833131.1680125368},{0: -92872976.8797643},{0: 984448.2398266312},{0: 455178.9515554506},{0: 325362318.7552044},{0: 263122237.22468778},{0: -489549.7541819757},{0: -65470591.09902552},{0: -1386284.1929313883},{0: -41040360602.35568},{0: 0.16963655843863612},{0: 0.003261891880668176},{0: 1.1567341231301509e-05},{0: 2.9285955905626044e-07},{0: 3.299575952702873e-13},{0: 9.36831790472023e-09},{0: -4.2622984868349753e-13}
2,{0: 4826.0},{0: 476.7544007200504},{0: 0.9550817352634976},{0: 0.8037974683544303},{0: 78.38784371885666},{0: 154.19537026340177},{0: 45.694641944106785},{0: -0.02392307752549237},{0: 52},{0: 147},{0: 0.35374149659863946},{0: 7.188191679123654},{0: 82.02276970103688},{0: 43.92681374727941},{0: 44.687566579930696},{0: 7.188191679123654},{0: 28.805934977319602},{0: 61.818761176960315},{0: 19.064719825062},{0: 148.33745312630927},{0: 81.86179030252798},{0: 30.13634479900539},{0: 8046.0},{0: 6004.0},{0: 0.1962025316455696},{0: 0.29634250280050334},{0: 3.7479366318911707},{0: 0.5998011434253046},{0: 0.0208577999642292},{0: 0.10626045326578688},{0: 171},{0: 0.3447928245313648},{0: 0.09685159108806274},{0: 0.0833326811582345},{0: 0.05827333349074105},{0: 19.660872990876737},{0: 203},{0: 0.38742588672279304},{0: 0.07943085678671533},{0: 0.05441980723783743},{0: 0.07871341484448394},{0: 11.755766804433868},{0: 148},{0: 7},{0: 0.3797592254337044},{0: 7.288634849248759},{0: 0.20366940672051956},{0: 4},{0: 0.18715761174576612},{0: 8.036134257655313},{0: -0.06493080319746669},{0: 0.4257957549912609},{0: 0.31043237309707694},{0: 0.3586752418891902},{0: 8.178072929382324},{0: 70.78279113769531},{0: 93.57061004638672},{0: 120.86747741699219},{0: 150.0},{0: 96.01593017578125},{0: 150.0},{0: 33.14971160888672},{0: -0.8537689087540024},{0: 0.08862180190558247},{0: 6.668920948507892},{0: 1.9708389705786828},{0: 0.9979423868312757},{0: 0.25513654096228866},{0: 0.2032739328636552},{0: 0.4431599974632263},{0: 0.3070761263370514},{0: 962.8141907261202},{0: 2164.6223331562105},{0: 5209.7077248279875},{0: 19.112602622566868},{0: 30.52081636915559},{0: 56.247936313444576},{0: 0.4194656156180753},{0: 0.32742902386313943},{0: 0.14495403351386532},{0: 0.13711358475006058},{0: 0.08798447539009421},{0: 0.026145273505746306},{0: 0.3702283374934067},{0: 0.2950281917479315},{0: 0.14151073553435614},{0: 0.8319238630249405},{0: 0.6188944567352543},{0: 0.0849587438631893},{0: 80.91905637200546},{0: 30.064597375730504},{0: 463372.8856935501},{0: 13931119.243206978},{0: 477320403.0136175},{0: 17648531548.1552},{0: 37495696.65869522},{0: 1106747882.910843},{0: 38041355950.810524},{0: 1420643589242.457},{0: 3662205292.1748695},{0: 106449883751.32553},{0: 3634960876468.1807},{0: 135385900169376.16},{0: 393121633072.32385},{0: 11345924068053.23},{0: 384877394168613.0},{0: 1.4257555462047366e+16},{0: nan},{0: nan},{0: 0.0002723939497104776},{0: -1.4962103898386387e-06},{0: nan},{0: -9.568588539165838e-05},{0: 4.4636363854241925e-06},{0: -1.0644508172343242e-07},{0: 0.002925229091700146},{0: -2.243148677648309e-06},{0: 5.614439295097682e-07},{0: -2.7318157513467572e-09},{0: -3.33149153741494e-05},{0: 1.0103540247147535e-07},{0: 9.239246274646176e-09},{0: -8.916162255138721e-11},{0: 463372.8856935501},{0: 4.31100488640368e-10},{0: 58486911.973308265},{0: -218685108.1252399},{0: -9.89530235528946e-10},{0: -20545140.4553525},{0: 652402103.4792553},{0: -10590524079.013855},{0: 628088900.5422945},{0: -327857107.8265355},{0: 55859654182.41049},{0: -185015692574.00455},{0: -4869285710.256826},{0: 10052299696.543575},{0: 625739692555.3029},{0: -4110554709022.789},{0: 0.0031976230414106233},{0: 7.074157445228086e-06},{0: 2.2088208003628453e-09},{0: 8.463791055208533e-10},{0: 1.1137402494610088e-18},{0: 2.1298236764143278e-12},{0: -3.1434536628353177e-19},{0: 4826.0},{0: 145438.0},{0: 5016506.0},{0: 187178398.0},{0: 395065.0},{0: 11749377.0},{0: 407802335.0},{0: 15389925267.0},{0: 39508485.0},{0: 1162534789.0},{0: 40128648367.0},{0: 1509266573515.0},{0: 4323935947.0},{0: 126831957537.0},{0: 4353340552847.0},{0: 162749988346791.0},{0: nan},{0: nan},{0: 0.027201750856119283},{0: -0.0013508923464749943},{0: nan},{0: -0.00671688296090023},{0: 0.004061353507781257},{0: -0.0008958354447086764},{0: 0.307757487035868},{0: -0.0015414073874238275},{0: 0.005513674574481917},{0: -0.0001912114409108935},{0: -0.05181220713980839},{0: 0.0025075657366004324},{0: 0.0005099218398506775},{0: -3.786817110595773e-05},{0: 4826.0},{0: -6.544098596350523e-12},{0: 633536.2851222544},{0: -2185692.3645298183},{0: 2.3931079340400174e-11},{0: -156438.05801906355},{0: 6571115.28892521},{0: -100690893.46137355},{0: 7167756.814131788},{0: -2493938.4445498283},{0: 619730802.6145194},{0: -1493033270.9901628},{0: -83830177.75651656},{0: 281847560.1995561},{0: 3981614640.184458},{0: -20541095469.91696},{0: 0.33495923789198734},{0: 0.07889198717020249},{0: 0.004106236962896798},{0: 0.00228850942033799},{0: 6.955829721612032e-06},{0: 0.0006336498555827032},{0: -9.121172062613395e-07}
3,{0: 4524.0},{0: 340.21529547664943},{0: 0.7416591464422053},{0: 0.9452569995821145},{0: 75.89555784353836},{0: 93.04721098491265},{0: 62.413923963729715},{0: -0.5095712836807628},{0: 61},{0: 91},{0: 0.6703296703296703},{0: 20.087511300498488},{0: 46.402176203293536},{0: 37.90726588632071},{0: 37.061443279163235},{0: 20.087511300498488},{0: 31.571675750855395},{0: 43.08771791055143},{0: 6.4028172645172505},{0: 91.706052144883},{0: 44.35322723253758},{0: 37.45733863837312},{0: 6600.0},{0: 4786.0},{0: 0.0547430004178855},{0: 0.6707769454137638},{0: 2.035987978486167},{0: 0.6854545454545454},{0: 0.03288563356672963},{0: 0.09250352714778014},{0: 112},{0: 0.2493517698850324},{0: 0.0961456949811042},{0: 0.08639673948396281},{0: 0.05177768936963832},{0: 14.806437027090046},{0: 154},{0: 0.3090169943749474},{0: 0.06964205170505705},{0: 0.05255480363370354},{0: 0.05924972839852218},{0: 6.058858498339964},{0: 87},{0: 6},{0: 0.24723918745535747},{0: 6.343545298575475},{0: 0.14174287475732825},{0: 2},{0: 0.3048144371856183},{0: 5.675145976265416},{0: -0.14646029987945658},{0: 0.4526545456583381},{0: 0.25572042514464555},{0: 0.3292033059333368},{0: 7.344930171966553},{0: 80.44575500488281},{0: 109.89013671875},{0: 149.74822998046875},{0: 150.0},{0: 108.43222045898438},{0: 150.0},{0: 35.58716583251953},{0: -1.021897068565655},{0: -0.3484090887882315},{0: 6.63526753984061},{0: 2.0420976994929343},{0: 1.2461368653421634},{0: 0.3873045078196872},{0: 0.2791777188328912},{0: 0.6270150542259216},{0: 0.38537752628326416},{0: 924.816010342239},{0: 1985.119755387931},{0: 4974.4995113222},{0: 18.885557408897967},{0: 28.392229836668804},{0: 52.582552501187024},{0: 0.4110752345781529},{0: 0.3271202608456259},{0: 0.15283142336318123},{0: 0.09280763726512464},{0: 0.056793635282429936},{0: 0.019125634493685144},{0: 0.30459387499482404},{0: 0.23785466729936966},{0: 0.13716729564157198},{0: 0.8625934814753161},{0: 0.6960139742676509},{0: 0.18932599704841924},{0: 43.085450444036226},{0: 34.69448354992406},{0: 490547.3698039055},{0: 17019287.652120113},{0: 735484258.6379638},{0: 35931634033.68303},{0: 21135454.39213848},{0: 672757893.7344437},{0: 27520895383.100822},{0: 1295246865757.8008},{0: 1127343469.717104},{0: 34070773854.057396},{0: 1329201788406.7834},{0: 59930000181687.0},{0: 67453906707.22768},{0: 1979184487302.2534},{0: 74414173833870.1},{0: 3227113509650929.0},{0: nan},{0: nan},{0: 0.0006026048806760382},{0: 2.090736809102142e-06},{0: nan},{0: -0.0002515234602820092},{0: 1.901404790181124e-07},{0: -3.189776117171473e-07},{0: 0.0009005811543304038},{0: 1.03082774662576e-06},{0: 4.244858881200839e-07},{0: 1.5260759842210814e-09},{0: 1.2309258446822195e-06},{0: -3.937370633592244e-07},{0: 2.6656495344676337e-10},{0: -3.95515212826353e-10},{0: 490547.3698039055},{0: 1.0578228575204573e-09},{0: 145008863.16005683},{0: 352372286.14054185},{0: -1.0459189070388675e-10},{0: -60525780.99377509},{0: 32046231.255785346},{0: -37653301034.028145},{0: 216712896.89243364},{0: 173735464.03079402},{0: 50107889528.79697},{0: 126170983414.03897},{0: 207459950.0385803},{0: -46478184143.11024},{0: 22038720658.632225},{0: -22902716564582.45},{0: 0.001503186035006442},{0: 3.418460639498832e-07},{0: 1.4397619840665876e-12},{0: 1.1763594771931911e-11},{0: -3.7068540085796205e-23},{0: -6.764770226039919e-15},{0: -3.11395422462378e-23},{0: 4524.0},{0: 169457.0},{0: 7769271.0},{0: 396735263.0},{0: 200654.0},{0: 6942570.0},{0: 302214218.0},{0: 14857552392.0},{0: 11027230.0},{0: 363062572.0},{0: 15095009264.0},{0: 711319628086.0},{0: 676433486.0},{0: 21594660870.0},{0: 865514864558.0},{0: 39273543012324.0},{0: nan},{0: nan},{0: 0.0694724298953184},{0: -0.0005806657269409607},{0: nan},{0: -0.028016158010217243},{0: 0.00041963244867575234},{0: -0.004215770635498304},{0: 0.10395376065260771},{0: 0.0006361385597857735},{0: 0.005613192283640268},{0: -1.3351717430199402e-05},{0: -0.0010094555007727419},{0: -0.005133301299477489},{0: 3.2854819927858784e-05},{0: -0.0006112269652170307},{0: 4524.0},{0: -1.752198386384407e-11},{0: 1421862.766357206},{0: -799342.0937635244},{0: 4.311573320592288e-11},{0: -573394.82714412},{0: 577664.333493021},{0: -390341532.85761434},{0: 2127577.542882405},{0: 875705.7713423031},{0: 519729906.9762346},{0: -83150759.31159346},{0: -1389612.3640698916},{0: -475296421.7231862},{0: 204610623.18979368},{0: -256031199319.57965},{0: 0.17342619054792613},{0: 0.004328582609407425},{0: 1.1340950884765487e-05},{0: 3.5096846796883657e-07},{0: 5.967834674807547e-13},{0: 1.5556305631453164e-08},{0: -3.662517188587852e-13}
4,{0: 4652.0},{0: 311.9604614807104},{0: 0.8269713048357061},{0: 0.9453363137573664},{0: 76.96174609575836},{0: 103.35796949087445},{0: 58.11241156684213},{0: 1.4801581144981235},{0: 59},{0: 102},{0: 0.5784313725490197},{0: 26.453977013692466},{0: 52.86192369964453},{0: 39.276085121236214},{0: 38.70282129408974},{0: 26.453977013692466},{0: 29.851836708345335},{0: 45.71012032161316},{0: 8.148907722794243},{0: 101.83319694480774},{0: 29.45335339638865},{0: 52.181642304385214},{0: 6222.0},{0: 4921.0},{0: 0.05466368624263361},{0: 0.5622441293409205},{0: 1.6647519725550437},{0: 0.7476695596271296},{0: 0.019951118924372378},{0: 0.057998478543903706},{0: 113},{0: 0.1570668175678952},{0: 0.06527131495898765},{0: 0.06789082782797856},{0: 0.03042661909787962},{0: 8.681084889545357},{0: 133},{0: 0.12121212121212122},{0: 0.047003244017425755},{0: 0.037562556751545254},{0: 0.030276416532527668},{0: 3.7132562773766344},{0: 79},{0: 5},{0: 0.1992393109511939},{0: 5.680334328466759},{0: 0.11887582258306958},{0: 7},{0: 0.18538350461142827},{0: 6.778361066697668},{0: -0.075262678047698},{0: 0.4263360791579796},{0: 0.25323721995098036},{0: 0.3622253905627947},{0: 10.684367179870605},{0: 94.46955871582031},{0: 125.9578857421875},{0: 150.0},{0: 150.0},{0: 118.35157012939453},{0: 150.0},{0: 31.79766273498535},{0: -0.5971046515132508},{0: -0.693892051812272},{0: 6.662879287618548},{0: 1.711123460018912},{0: 1.518796992481203},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 1024.6254237465732},{0: 2718.0963226498534},{0: 5538.716011419412},{0: 20.49850196205743},{0: 34.92786335890307},{0: 56.86922032491664},{0: 0.3644766818903939},{0: 0.25758104829771133},{0: 0.11562604923006332},{0: 0.06462477378827979},{0: 0.03160357533596309},{0: 0.011751164734656452},{0: 0.25412111297029527},{0: 0.1761177901795515},{0: 0.10534236256882384},{0: 0.845136834940922},{0: 0.554246329284258},{0: 0.006799336710494236},{0: 29.179837594788808},{0: 52.462087812684054},{0: 550571.496588707},{0: 28884130.201197624},{0: 1887918293.4652815},{0: 136801766113.60889},{0: 16065586.85477829},{0: 867318382.9318867},{0: 57309080329.66403},{0: 4175129375290.7354},{0: 587947584.8540325},{0: 32613528720.336456},{0: 2160841214041.1907},{0: 156742088049066.97},{0: 24298106310.30909},{0: 1376844064685.4844},{0: 91184379078825.0},{0: 6567622527471620.0},{0: nan},{0: nan},{0: 0.0012291682809024663},{0: -5.943146585705293e-06},{0: nan},{0: 8.077141014772698e-05},{0: -1.551856621899513e-06},{0: 2.1600785362524924e-07},{0: 0.0003930880260108321},{0: 1.510220115341266e-06},{0: 3.607239652050404e-07},{0: 6.441358179473388e-10},{0: 8.356817837734801e-07},{0: 5.8940900321060195e-08},{0: -3.291546351636688e-10},{0: 1.1469231141853009e-10},{0: 550571.496588707},{0: 9.313225746154785e-10},{0: 372596518.4570521},{0: -1336751721.3277912},{0: 1.1641532182693481e-10},{0: 24484154.594205406},{0: -349048602.5647849},{0: 36050451929.13729},{0: 119156369.56662807},{0: 339683585.05946493},{0: 60202727581.71617},{0: 79767408557.7987},{0: 187964245.34242052},{0: 9836892770.439896},{0: -40761298363.22824},{0: 10538752396959.217},{0: 0.0016222563069132985},{0: 7.251262754086693e-07},{0: 1.3985447632096553e-10},{0: 2.016374349041892e-11},{0: 1.070763894304966e-21},{0: 1.7026562237649294e-14},{0: -2.5309002807163877e-24},{0: 4652.0},{0: 242749.0},{0: 15755683.0},{0: 1135080091.0},{0: 137017.0},{0: 7341250.0},{0: 481256668.0},{0: 34847545834.0},{0: 5034891.0},{0: 276961838.0},{0: 18215379724.0},{0: 1314239650154.0},{0: 208160155.0},{0: 11699603506.0},{0: 770037075340.0},{0: 55235292483886.0},{0: nan},{0: nan},{0: 0.1427210696946327},{0: -0.006380634725038372},{0: nan},{0: 0.008847881160778654},{0: -0.0018863231254709282},{0: 0.002854338108066323},{0: 0.04617513402675836},{0: 0.002001040335832966},{0: 0.005015913858267479},{0: 0.00014627621517538246},{0: 0.0006784252286316382},{0: 0.0007763752927417066},{0: -6.67542393137015e-05},{0: 0.00018905896241600088},{0: 4652.0},{0: -2.1827872842550278e-11},{0: 3088641.5122527946},{0: -9418096.764984384},{0: 1.3642420526593924e-12},{0: 191477.91638005158},{0: -2784295.6839385824},{0: 287358821.548089},{0: 999280.8776870165},{0: 2953623.318940012},{0: 504974197.42432976},{0: 1004413834.3334455},{0: 1001385.3991651274},{0: 78161129.0445363},{0: -458371727.67081094},{0: 88543379565.60245},{0: 0.18889620372139104},{0: 0.009634257698126376},{0: 0.00019351997642319584},{0: 2.0639864343148256e-05},{0: 1.2322112700639941e-09},{0: 1.8981954341045235e-06},{0: 4.280323180069989e-10}
