label,area,perimeter,eccentricity,solidity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,min_calliper,max_calliper,smallest_largest_calliper,min_radius,max_radius,med_radius,avg_radius,mode_radius,d25_radius,d75_radius,std_radius,feret_max,centroid-0,centroid-1,bbox_area,convex_area,concavity,a_r,shape_factor,area_bbarea,avg_curvature,std_curvature,npolarity_changes,max_posi_curv,avg_posi_curv,med_posi_curv,std_posi_curv,sum_posi_curv,len_posi_curv,max_neg_curv,avg_neg_curv,med_neg_curv,std_neg_curv,sum_neg_curv,len_neg_curv,num_prominant_pos_curv,prominance_prominant_pos_curv,width_prominant_pos_curv,prominant_pos_curv,num_prominant_neg_curv,prominance_prominant_neg_curv,width_prominant_neg_curv,prominant_neg_curv,frac_peri_w_posi_curvature,frac_peri_w_neg_curvature,frac_peri_w_polarity_changes,int_min,int_d25,int_median,int_d75,int_max,int_mean,int_mode,int_sd,kurtosis,skewness,entropy,i80_i20,nhigh_nlow,hc_area_ec_area,hc_area_nuc_area,hc_content_ec_content,hc_content_dna_content,contrast_1,contrast_5,contrast_20,dissimilarity_1,dissimilarity_5,dissimilarity_20,homogeneity_1,homogeneity_5,homogeneity_20,asm_1,asm_5,asm_20,energy_1,energy_5,energy_20,correlation_1,correlation_5,correlation_20,weighted_centroid-0,weighted_centroid-1,weighted_moments-0-0,weighted_moments-0-1,weighted_moments-0-2,weighted_moments-0-3,weighted_moments-1-0,weighted_moments-1-1,weighted_moments-1-2,weighted_moments-1-3,weighted_moments-2-0,weighted_moments-2-1,weighted_moments-2-2,weighted_moments-2-3,weighted_moments-3-0,weighted_moments-3-1,weighted_moments-3-2,weighted_moments-3-3,weighted_moments_normalized-0-0,weighted_moments_normalized-0-1,weighted_moments_normalized-0-2,weighted_moments_normalized-0-3,weighted_moments_normalized-1-0,weighted_moments_normalized-1-1,weighted_moments_normalized-1-2,weighted_moments_normalized-1-3,weighted_moments_normalized-2-0,weighted_moments_normalized-2-1,weighted_moments_normalized-2-2,weighted_moments_normalized-2-3,weighted_moments_normalized-3-0,weighted_moments_normalized-3-1,weighted_moments_normalized-3-2,weighted_moments_normalized-3-3,weighted_moments_central-0-0,weighted_moments_central-0-1,weighted_moments_central-0-2,weighted_moments_central-0-3,weighted_moments_central-1-0,weighted_moments_central-1-1,weighted_moments_central-1-2,weighted_moments_central-1-3,weighted_moments_central-2-0,weighted_moments_central-2-1,weighted_moments_central-2-2,weighted_moments_central-2-3,weighted_moments_central-3-0,weighted_moments_central-3-1,weighted_moments_central-3-2,weighted_moments_central-3-3,weighted_moments_hu-0,weighted_moments_hu-1,weighted_moments_hu-2,weighted_moments_hu-3,weighted_moments_hu-4,weighted_moments_hu-5,weighted_moments_hu-6,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,{0: 4809.0},{0: 385.91378028648444},{0: 0.6087692132552823},{0: 0.9186246418338109},{0: 78.2496579585585},{0: 89.00285438582617},{0: 70.61018019744033},{0: -0.9485535031385753},{0: 69},{0: 91},{0: 0.7582417582417582},{0: 13.958341532281432},{0: 48.254273721105356},{0: 39.12432002148628},{0: 38.1696428656024},{0: 13.958341532281432},{0: 35.10382363541549},{0: 42.63657662252273},{0: 6.207760272049753},{0: 91.67878707749138},{0: 42.660220420045746},{0: 44.62320648783531},{0: 7298.0},{0: 5235.0},{0: 0.08137535816618911},{0: 0.7933473671680927},{0: 2.4644268531289906},{0: 0.6589476568922993},{0: 0.03745231456703894},{0: 0.10707964426150411},{0: 136},{0: 0.4142135623730951},{0: 0.10199022405129099},{0: 0.08152888642874392},{0: 0.07133471622994081},{0: 18.970181673540125},{0: 186},{0: 0.2597106754733818},{0: 0.08923150641365046},{0: 0.06741116767825085},{0: 0.06453818189796061},{0: 7.584678045160289},{0: 85},{0: 10},{0: 0.25156606685495636},{0: 7.10222525398725},{0: 0.15301889944118216},{0: 4},{0: 0.27452929270922666},{0: 6.991109852503669},{0: -0.11327763000711136},{0: 0.4819729418885282},{0: 0.2202564519383059},{0: 0.35241032310128945},{0: 5.424582481384277},{0: 75.7083969116211},{0: 103.50423431396484},{0: 135.22315979003906},{0: 150.0},{0: 103.47181701660156},{0: 150.0},{0: 34.35172653198242},{0: -1.0384534795125135},{0: -0.16770100381413933},{0: 6.914608424690066},{0: 2.0396179661313205},{0: 0.9989615784008308},{0: 0.30113636363636365},{0: 0.2314410480349345},{0: 0.4964473843574524},{0: 0.33175063133239746},{0: 1022.8609612364778},{0: 2121.9399795658874},{0: 4751.473040866626},{0: 20.30241169651518},{0: 31.04239754644903},{0: 52.38258538223033},{0: 0.3825492127553437},{0: 0.2934261299113506},{0: 0.1359288238933815},{0: 0.09968904631128811},{0: 0.05821687706246045},{0: 0.014229428388558635},{0: 0.31568846043128884},{0: 0.24085582624831278},{0: 0.11743524791176325},{0: 0.8380427892409993},{0: 0.6550135829924639},{0: 0.18694376921564707},{0: 42.746013108187114},{0: 41.69872670506527},{0: 497595.9691925049},{0: 20749118.328900337},{0: 1063347214.5118246},{0: 61307997416.756},{0: 21270243.821683884},{0: 846698129.0425749},{0: 42290403262.87692},{0: 2409470652739.391},{0: 1091117325.6141148},{0: 42490204805.65764},{0: 2077729402648.6025},{0: 116402799834330.06},{0: 61871842841.61185},{0: 2380399038952.8486},{0: 114056846429373.47},{0: 6262662696835251.0},{0: nan},{0: nan},{0: 0.0008002180965964945},{0: 2.540857042536442e-06},{0: nan},{0: -0.00016253501949207885},{0: 1.1038202450054356e-06},{0: -2.0610114014646415e-07},{0: 0.0007346442642608314},{0: 2.4764698060499473e-06},{0: 4.2897504550048566e-07},{0: 4.36176540351301e-09},{0: -1.8321606930189333e-06},{0: -2.795496457546237e-07},{0: -2.194727782726288e-09},{0: -3.02048354292641e-10},{0: 497595.9691925049},{0: -1.837460919529299e-09},{0: 198135399.9439489},{0: 443784740.5119475},{0: -1.7143975128419697e-09},{0: -40243955.02792438},{0: 192792657.2809323},{0: -25392821237.310055},{0: 181899204.39807954},{0: 432538900.0108558},{0: 52852141613.1897},{0: 379080366018.7518},{0: -320004212.7973973},{0: -34442090793.65587},{0: -190743456884.9854},{0: -18517565456795.566},{0: 0.001534862360857326},{0: 1.0997045773234745e-07},{0: 5.035478572405871e-11},{0: 2.5704048513758334e-11},{0: -8.593463024583749e-22},{0: 3.9917630246739885e-15},{0: -3.415844491163197e-22},{0: 4809.0},{0: 214593.0},{0: 11656975.0},{0: 702737013.0},{0: 205153.0},{0: 8736683.0},{0: 463017747.0},{0: 27604521299.0},{0: 10550177.0},{0: 438373759.0},{0: 22720744587.0},{0: 1332046112095.0},{0: 599257609.0},{0: 24499660025.0},{0: 1241952924597.0},{0: 71365829935733.0},{0: nan},{0: nan},{0: 0.08998979352526472},{0: -0.001976314515702404},{0: nan},{0: -0.0180702667474086},{0: 0.0018861095154817029},{0: -0.002543844615289139},{0: 0.07775955192518719},{0: 0.0020243715162732516},{0: 0.005032979891496888},{0: 0.00020848928755523615},{0: -0.0026484320702346116},{0: -0.0033720706400577082},{0: -0.00013214527631987824},{0: -0.00037900336689582106},{0: 4809.0},{0: -2.941646926046815e-11},{0: 2081147.2501559576},{0: -3169516.3991338876},{0: 4.418154730956303e-11},{0: -417901.68059887673},{0: 3024850.0389914215},{0: -282914307.5471575},{0: 1798304.8001663547},{0: 3246587.862300444},{0: 559744102.428114},{0: 1607960829.7439485},{0: -4247425.605543005},{0: -375025669.57046324},{0: -1019162330.3511944},{0: -202703933515.809},{0: 0.1677493454504519},{0: 0.0014557169708862708},{0: 0.00013379558020759532},{0: 5.834451527888679e-07},{0: 4.309639021376168e-12},{0: -4.4311720737855135e-09},{0: -2.828443090435272e-12}
2,{0: 4346.0},{0: 381.07925650732847},{0: 0.1338976889921623},{0: 0.9398788927335641},{0: 74.38749264102815},{0: 75.92452859094188},{0: 75.24084042552634},{0: -0.6097539445185621},{0: 74},{0: 77},{0: 0.961038961038961},{0: 0.8237889706929171},{0: 39.56318473518843},{0: 36.71761658777673},{0: 32.33645437231431},{0: 0.8237889706929171},{0: 34.57222078199521},{0: 37.4990721270665},{0: 10.402391547209922},{0: 77.79460135510689},{0: 37.92936033133916},{0: 36.820754716981135},{0: 5928.0},{0: 4624.0},{0: 0.060121107266435984},{0: 0.9909951608774678},{0: 2.659077727953688},{0: 0.7331309041835358},{0: 0.03916312684721006},{0: 0.11981290262710906},{0: 118},{0: 0.4721359549995794},{0: 0.100867730449929},{0: 0.06828483558139288},{0: 0.07432300265251417},{0: 20.476149281335587},{0: 203},{0: 0.4142135623730951},{0: 0.09561257059539646},{0: 0.048199761075358345},{0: 0.10127394892597152},{0: 8.413906212394888},{0: 88},{0: 12},{0: 0.31591894998097364},{0: 7.564154004542467},{0: 0.17231117402948834},{0: 1},{0: 0.17528868895787517},{0: 8.975593998501878},{0: -0.07308137385340571},{0: 0.5326975859576764},{0: 0.2309230914496331},{0: 0.3096468726256444},{0: 8.67933177947998},{0: 89.00205993652344},{0: 124.2069091796875},{0: 150.0},{0: 150.0},{0: 116.06513214111328},{0: 150.0},{0: 34.38920593261719},{0: -0.6957007168612983},{0: -0.6650807110722426},{0: 6.4842278323423646},{0: 1.8430969593606157},{0: 1.603448275862069},{0: 0.0},{0: 0.0},{0: 0.0},{0: 0.0},{0: 1066.3213937232372},{0: 2715.9416764674456},{0: 6092.911480222207},{0: 20.09855819618979},{0: 34.43948675589572},{0: 60.62632860213235},{0: 0.39159484747787104},{0: 0.2833467916383393},{0: 0.12237392080076227},{0: 0.074296556476091},{0: 0.03848574305295927},{0: 0.012680920004882745},{0: 0.2725110306264661},{0: 0.1957787621484731},{0: 0.1122916466017856},{0: 0.8445328189487227},{0: 0.5809641285430398},{0: -0.022391802023710272},{0: 35.917652873380284},{0: 37.488112809024805},{0: 504419.06612586975},{0: 18909718.853949547},{0: 891944978.9238329},{0: 47199375070.58461},{0: 18117548.919823647},{0: 680323301.1444445},{0: 32222555766.138855},{0: 1711173135388.462},{0: 826634261.8836546},{0: 31001546173.07563},{0: 1448338850078.4438},{0: 75686643829309.66},{0: 42628593945.53258},{0: 1595183553989.4453},{0: 73209249403242.56},{0: 3746254475572969.5},{0: nan},{0: nan},{0: 0.0007194478725379483},{0: 2.0610648826097218e-07},{0: nan},{0: 4.443443095997693e-06},{0: 5.601215108150324e-07},{0: -2.0862718404694866e-09},{0: 0.0006913040428033329},{0: -3.797722258587587e-07},{0: 3.2920076347614477e-07},{0: -8.159036997927486e-10},{0: 1.6734204006602732e-06},{0: 1.0695792628499786e-09},{0: 9.908786859059272e-10},{0: -4.501364261446482e-12},{0: 504419.06612586975},{0: -1.2623786460608244e-09},{0: 183055305.34002906},{0: 37245207.48973372},{0: 1.4806573744863272e-09},{0: 1130583.415070142},{0: 101218753.7898066},{0: -267759801.54047233},{0: 175894428.86494288},{0: -68628093.51754837},{0: 42250836820.72241},{0: -74371943488.82117},{0: 302401397.2875364},{0: 137273736.62296414},{0: 90321411278.30678},{0: -291413813065.7889},{0: 0.001410751915341281},{0: 8.710518983204962e-10},{0: 1.8102117161377685e-12},{0: 5.018869258732146e-12},{0: 3.4138758207862605e-24},{0: -1.4644684127837813e-16},{0: -1.4737482753529498e-23},{0: 4346.0},{0: 160023.0},{0: 7439093.0},{0: 388235097.0},{0: 164841.0},{0: 6056391.0},{0: 280430379.0},{0: 14580247095.0},{0: 7808899.0},{0: 286101775.0},{0: 13013231019.0},{0: 663275015767.0},{0: 415283535.0},{0: 15170491029.0},{0: 676313810349.0},{0: 33678441866277.0},{0: nan},{0: nan},{0: 0.08190113446880122},{0: 0.00032458483326200876},{0: nan},{0: -0.000697756589620831},{0: -0.0006096709613950815},{0: -9.505582031404295e-05},{0: 0.08241257511610832},{0: -0.00034376008353742045},{0: 0.004427595626248136},{0: -6.393213685030421e-05},{0: 0.0008162987465788037},{0: -0.00018245896236883087},{0: -6.0153142180194936e-05},{0: -1.63873693606093e-05},{0: 4346.0},{0: -6.87805368215777e-12},{0: 1546925.3679245282},{0: 404159.25453896483},{0: -2.6503244043851737e-12},{0: -13179.028301886803},{0: -759136.3983189865},{0: -7802753.371985277},{0: 1556585.313621721},{0: -428035.46212089056},{0: 363443675.39365804},{0: -345965862.1878853},{0: 1016420.544308272},{0: -14977328.891264157},{0: -325516003.7339275},{0: -5846125449.672953},{0: 0.16431370958490954},{0: 2.209028569155075e-06},{0: 8.836043749524929e-06},{0: 4.3062731833055134e-08},{0: 2.6054490770922848e-14},{0: 3.270636375790326e-11},{0: -5.173976976020881e-15}
3,{0: 4278.0},{0: 315.06706319850866},{0: 0.8462371282335771},{0: 0.9427060379021596},{0: 73.80324364400948},{0: 101.60487867797916},{0: 54.13573563000764},{0: 0.7314951405758549},{0: 54},{0: 101},{0: 0.5346534653465347},{0: 23.942053780672474},{0: 51.202677911918045},{0: 37.72304572494714},{0: 37.56550519873982},{0: 23.942053780672474},{0: 30.39208998946337},{0: 45.07262426879569},{0: 8.05206456776274},{0: 100.12492197250393},{0: 42.723936418887334},{0: 40.22019635343619},{0: 7055.0},{0: 4538.0},{0: 0.05729396209784046},{0: 0.5328064590439837},{0: 1.8465257376110216},{0: 0.6063784549964564},{0: 0.022253194425252743},{0: 0.08386521309396372},{0: 94},{0: 0.24082098886434905},{0: 0.08084386002507231},{0: 0.07142857142857142},{0: 0.044255897662545084},{0: 11.479828123560267},{0: 142},{0: 0.3090169943749474},{0: 0.06452772668567665},{0: 0.046393368424897906},{0: 0.05856347146532934},{0: 5.872023128396576},{0: 91},{0: 5},{0: 0.3030467981184149},{0: 11.396109095291468},{0: 0.16460035384011584},{0: 4},{0: 0.20615549060717872},{0: 5.545480294848589},{0: -0.09711656080164943},{0: 0.4506976976851833},{0: 0.2888273978123358},{0: 0.2983491801577974},{0: 9.347677230834961},{0: 76.5644302368164},{0: 101.5838851928711},{0: 129.63150024414062},{0: 150.0},{0: 101.89767456054688},{0: 150.0},{0: 33.000186920166016},{0: -0.9205571780442128},{0: -0.12902195457485843},{0: 6.602633465828401},{0: 1.9188159038437675},{0: 0.9988331388564761},{0: 0.2762529832935561},{0: 0.21645628798503974},{0: 0.4530714750289917},{0: 0.31180262565612793},{0: 934.8228156528553},{0: 1809.5976781195359},{0: 4657.479390859069},{0: 18.83695541543093},{0: 27.748615541126362},{0: 50.769114556472715},{0: 0.41792098682925},{0: 0.34120920598919574},{0: 0.1920033233310876},{0: 0.13604004964215977},{0: 0.09265809083914922},{0: 0.03243046259913488},{0: 0.3687974929967403},{0: 0.303884078211452},{0: 0.174363075348477},{0: 0.8505243842977881},{0: 0.7082741869236362},{0: 0.2508395014318848},{0: 41.40869062607121},{0: 39.177756439759875},{0: 435918.2577018738},{0: 17078299.32788849},{0: 831989482.0726814},{0: 45681518890.78749},{0: 18050804.271432877},{0: 795841308.3310966},{0: 41494378613.15224},{0: 2380605315741.6416},{0: 913874886.9164944},{0: 43101143423.78424},{0: 2327156323998.005},{0: 136473570682843.88},{0: 51777484611.178345},{0: 2547312916510.681},{0: 140381775757888.88},{0: 8331701975005937.0},{0: nan},{0: nan},{0: 0.0008572570150741632},{0: 2.5658910973032887e-06},{0: nan},{0: 0.0004665250478561205},{0: 7.688842620818732e-07},{0: 8.383360098992869e-07},{0: 0.0008757529589323312},{0: -3.5303412438766454e-07},{0: 7.887603982832784e-07},{0: 3.012477732920851e-09},{0: 1.2202173140252305e-06},{0: 8.240910984537756e-07},{0: 1.4575530877501698e-09},{0: 1.319206562509451e-09},{0: 435918.2577018738},{0: -1.934697471293271e-09},{0: 162900030.59935153},{0: 321922156.00037175},{0: 5.493347998708487e-10},{0: 88651295.04312228},{0: 96465855.32187709},{0: 69443771360.72476},{0: 166414717.28896558},{0: -44292412.325692326},{0: 65337163273.42123},{0: 164756118668.14954},{0: 153091060.2296517},{0: 68263790587.15082},{0: 79715374114.204},{0: 47635753520502.64},{0: 0.0017330099740064944},{0: 8.709245810478267e-07},{0: 1.4320919696221923e-11},{0: 8.853261062653064e-12},{0: -3.273745598634835e-23},{0: 8.196431462088712e-15},{0: 9.41585943808999e-23},{0: 4278.0},{0: 172062.0},{0: 8585950.0},{0: 481371864.0},{0: 182773.0},{0: 8333763.0},{0: 445455309.0},{0: 26049310395.0},{0: 9687049.0},{0: 470977943.0},{0: 25971896665.0},{0: 1546761903095.0},{0: 572040577.0},{0: 28878893865.0},{0: 1619589715659.0},{0: 97309901090565.0},{0: nan},{0: nan},{0: 0.09100905570532991},{0: 0.0017235719653939732},{0: nan},{0: 0.0536900608664074},{0: -0.0003431564286904001},{0: 0.009761249977878236},{0: 0.10263033833640887},{0: -0.00217030171008861},{0: 0.009598465098146838},{0: -0.00013758757282625057},{0: -0.0019399866079580948},{0: 0.010519233036791475},{0: -0.0003968549819439708},{0: 0.0016845306502289276},{0: 4278.0},{0: -2.2026824808563106e-12},{0: 1665582.575035063},{0: 2063152.6976703876},{0: 1.5205614545266144e-11},{0: 982597.051893408},{0: -410765.6226664746},{0: 764236499.5957332},{0: 1878266.9689107065},{0: -2597897.806317863},{0: 751491600.4327186},{0: -704566419.2616441},{0: -2322205.6775205676},{0: 823581186.0866568},{0: -2032237998.3220441},{0: 564211635739.5663},{0: 0.1936393940417388},{0: 0.011665544753345544},{0: 6.863565483240199e-05},{0: 5.412309590591444e-06},{0: 6.638428850474357e-11},{0: 2.773037801999283e-07},{0: 8.046644906488646e-11}
